gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	proteinMW	Copies/Cell_MG1655.Glucose	g/Protein	cumulativeAbundance
b0026	22391	25207	1	gene		22391	0	P00956	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	104212.5396	1979.5032126473495	206289056.93633914	3289468501.186487
PM0-9328	25014	25206	1	promoter	[b0029, b0028, b0027]	25207	1						0.0	3289468501.186487
b0027	25207	25701	1	gene		25207	0	P00804					5809958.571344681	3295278459.757832
b0028	25826	26275	1	gene		25826	0	P0AEM0	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2	fkpB	16052.92141	456.9740059498948	7335767.803926534	3302614227.5617585
b0029	26277	27227	1	gene		26277	0	P62623	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) GN=ispH PE=1 SV=1	ispH	34734.93615	220.2220303446042	7649398.16284319	3310263625.7246017
b0030	27293	28207	1	gene		27293	0	P22564	Non-specific ribonucleoside hydrolase rihC OS=Escherichia coli (strain K12) GN=rihC PE=1 SV=1	rihC	32521.71177	46.113880277914085	1499702.3229946094	3311763328.0475965
PM0-9557	28288	28373	1	promoter	[b0031]	28288	0						0.0	3311763328.0475965
b0031	28374	29195	1	gene		28374	0	P04036	Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	dapB	28720.56121	3108.885778055264	89288944.28353468	3401052272.331131
PM00151	29551	29650	1	promoter	[b0032, b0033]	29551	0						0.0	3401052272.331131
b0032	29651	30799	1	gene		29651	0	P0A6F1	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1	carA	41387.12046	9270.2399070087	383668535.72446823	3784720808.055599
PM00319	30775	30816	1	promoter	[b0033]	30799	0						0.0	3784720808.055599
b0033	30817	34038	1	gene		30817	0	P00968	Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2	carB	117749.3328	4413.609039539936	519699519.6458763	4304420327.701475
PM338	34218	34299	1	promoter	[b0034]	34218	0						0.0	4304420327.701475
b0034	34300	34695	1	gene		34300	0	P0AE58					5809958.571344681	4310230286.2728195
b0035	34781	35371	-1	gene		34781	0	P39206					5809958.571344681	4316040244.844164
b0036	35377	36162	-1	gene		35377	0	P31551					5809958.571344681	4321850203.415508
b0037	36271	37824	-1	gene		36271	0	P31552					5809958.571344681	4327660161.986853
b0038	37898	39115	-1	gene		37898	0	P31572					5809958.571344681	4333470120.558197
b0039	39244	40386	-1	gene		39244	0	P60584					5809958.571344681	4339280079.129541
b0040	40417	41931	-1	gene		40417	0	P31553					5809958.571344681	4345090037.700886
PM00528	41932	42037	-1	promoter	[b0035, b0036, b0037, b0038, b0039, b0040]	41932	0						0.0	4345090037.700886
PM339	42325	42402	1	promoter	[b0044, b0043, b0042, b0041]	42325	0						0.0	4345090037.700886
b0041	42403	43173	1	gene		42403	0	P60566					5809958.571344681	4350899996.27223
b0042	43188	44129	1	gene		43188	0	P31574					5809958.571344681	4356709954.843575
b0043	44180	45466	1	gene		44180	0	P68644					5809958.571344681	4362519913.414919
b0044	45463	45750	1	gene		45466	0	P68646					5809958.571344681	4368329871.986263
PM0-10464	45592	45806	1	promoter	[b0045]	45750	0						0.0	4368329871.986263
b0045	45807	47138	1	gene		45807	0	P31679					5809958.571344681	4374139830.557608
b0046	47246	47776	1	gene		47246	0	P0A754					5809958.571344681	4379949789.128952
b0047	47769	49631	1	gene		47776	0	P03819					5809958.571344681	4385759747.700296
PM00320	49799	49822	1	promoter	[b0048]	49799	0						0.0	4385759747.700296
b0048	49823	50302	1	gene		49823	0	P0ABQ4	Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1	folA	17969.89353	248.950469397662	4473613.429319509	4390233361.129616
b0049	50380	51222	-1	gene		50380	0	P05637	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) GN=apaH PE=1 SV=2	apaH	31258.68847	44.40289618486112	1387976.2990083254	4391621337.428624
b0050	51229	51606	-1	gene		51229	0	P62672	Protein ApaG OS=Escherichia coli (strain K12) GN=apaG PE=3 SV=1	apaG	13840.01621	0.01319444274010949	182.61130140503215	4391621520.039926
PM0-5442	51607	52034	-1	promoter	[b0049, b0050]	51607	0						0.0	4391621520.039926
b0051	51609	52430	-1	gene		52034	0	P06992	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	rsmA	30382.61031	196.79403925068658	5979116.605884455	4397600636.64581
b0052	52427	53416	-1	gene		52430	0	P19624	4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1	pdxA	35073.53746	120.56260496351658	4228557.041463081	4401829193.687273
PM0-5426	52431	52588	-1	promoter	[b0049, b0050, b0051]	53416	1						0.0	4401829193.687273
b0053	53416	54702	-1	gene		53416	0	P0ABZ6	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	surA	47236.24996	1532.6019626421314	72394369.3965503	4474223563.083823
b0054	54755	57109	-1	gene		54755	0	P31554	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	lptD	89597.20601	456.3405810305086	40886841.049313575	4515110404.133137
PM0-4527	57110	57336	-1	promoter	[b0052, b0053, b0054]	57110	0						0.0	4515110404.133137
PM0-4525	57110	57241	-1	promoter	[b0054]	57336	1						0.0	4515110404.133137
b0055	57364	58179	1	gene		57364	0	P31680	DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1	djlA	30541.54864	0.8278065024347802	25282.492558620117	4515135686.625695
b4659	58474	59279	1	gene		58474	0						5809958.571344681	4520945645.19704
b0058	59687	60346	-1	gene		59687	0	P0AA37					5809958.571344681	4526755603.768384
b0059	60358	63264	-1	gene		60358	0	P60240	RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2	rapA	109682.6916	77.21861607265815	8469545.652476167	4535225149.42086
PM0-4081	63265	63358	-1	promoter	[b0058, b0059]	63265	0						0.0	4535225149.42086
PM0-9741	63265	63588	-1	promoter	[b0059]	63358	0						0.0	4535225149.42086
b0060	63429	65780	-1	gene		63588	0	P21189					5809958.571344681	4541035107.992205
PM0-7961	65781	65803	-1	promoter	[b0060]	65781	0						0.0	4541035107.992205
b0061	65855	66550	-1	gene		65855	0	P08203					5809958.571344681	4546845066.563549
b0062	66835	68337	-1	gene		66835	0	P08202					5809958.571344681	4552655025.134893
b0063	68348	70048	-1	gene		68348	0	P08204					5809958.571344681	4558464983.706238
PM00003	70049	70075	-1	promoter	[b0061, b0062, b0063]	70049	0						0.0	4558464983.706238
PM00004	70241	70386	1	promoter	[b0064]	70241	0						0.0	4558464983.706238
b0064	70387	71265	1	gene		70387	0	P0A9E0					5809958.571344681	4564274942.277582
PM0-9957	71271	71350	1	promoter	[b0065]	71271	0						0.0	4564274942.277582
b0065	71351	72115	1	gene		71351	0	P30149					5809958.571344681	4570084900.848927
b0066	72229	72927	-1	gene		72229	0	P31548					5809958.571344681	4575894859.420271
b0067	72911	74521	-1	gene		72927	0	P31549					5809958.571344681	4581704817.991615
b0068	74497	75480	-1	gene		74521	0	P31550	Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=thiB PE=1 SV=2	thiB	36122.50419	9.973192412516514	360256.684708804	4582065074.676324
sroA	75516	75608	-1	gene		75516	0						5809958.571344681	4587875033.247668
PM0-9626	75609	75608	-1	promoter	[sroA]	75609	1						0.0	4587875033.247668
b0069	75644	77299	-1	gene		75644	0	P33595					5809958.571344681	4593684991.819013
PM0-9592	77300	77338	-1	promoter	[b0069, b0068, b0067, b0066]	77300	0						0.0	4593684991.819013
PM0-9591	77367	77366	1	promoter	[b4662, b0070, b4577]	77367	1						0.0	4593684991.819013
b4577	77367	77593	1	gene		77367	0						5809958.571344681	4599494950.390357
b4662	77388	77519	1	gene		77593	1	C1P5Z7					5809958.571344681	4605304908.961701
b0070	77621	78799	1	gene		77621	0	P31675					5809958.571344681	4611114867.533046
b0071	78848	79453	-1	gene		78848	0	P30126	3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) GN=leuD PE=1 SV=3	leuD	22455.24259	6487.3210939189685	145674368.92317462	4756789236.456221
b0072	79464	80864	-1	gene		79464	0	P0A6A6	3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) GN=leuC PE=1 SV=2	leuC	49832.04222	4175.182141874766	208057852.77009338	4964847089.226314
b0073	80867	81958	-1	gene		80867	0	P30125	3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) GN=leuB PE=1 SV=3	leuB	39474.00703	3580.7473714714606	141346446.91411847	5106193536.140432
b0074	81958	83529	-1	gene		81958	0	P09151	2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5	leuA	57244.09138	1314.91787178987	75271278.80993445	5181464814.950367
b0075	83622	83708	-1	gene		83622	0	P0AD79					5809958.571344681	5187274773.521711
PM0-46180	83709	84024	-1	promoter	[b0071, b0072, b0073, b0074, b0075]	83709	0						0.0	5187274773.521711
PM0-46177	84154	84367	1	promoter	[b0076]	84154	0						0.0	5187274773.521711
b0076	84368	85312	1	gene		84368	0	P10151					5809958.571344681	5193084732.093056
PM00321	85420	85629	1	promoter	[b0078, b0077]	85420	0						0.0	5193084732.093056
b0077	85630	87354	1	gene		85630	0	P00893	Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) GN=ilvI PE=1 SV=2	ilvI	62925.97681	594.4372025509264	37405541.62272087	5230490273.715776
b0078	87357	87848	1	gene		87357	0	P00894	Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3	ilvH	17947.67665	1338.2656577535238	24018759.297159813	5254509033.012937
PM0-44353	87947	88027	1	promoter	[b0080]	87947	0						0.0	5254509033.012937
b0080	88028	89032	1	gene		88028	0	P0ACP1	Fructose repressor OS=Escherichia coli (strain K12) GN=fruR PE=1 SV=1	fruR	37957.71142	92.49834249624504	3511025.391300792	5258020058.404238
PM0-1101	89596	89633	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083, b0082, b0081]	89596	0						0.0	5258020058.404238
b0081	89634	90092	1	gene		89634	0	P22186	Protein MraZ OS=Escherichia coli (strain K12) GN=mraZ PE=3 SV=1	mraZ	17356.92635	47.92411123273021	831815.2690557061	5258851873.673293
PM0-9672	90010	90093	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083, b0082]	90092	0						0.0	5258851873.673293
b0082	90094	91035	1	gene		90094	0	P60390	Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	rsmH	34838.18791	332.697405164677	11590574.718296422	5270442448.391589
PM0-9676	90688	91031	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083]	91035	1						0.0	5270442448.391589
b0083	91032	91397	1	gene		91035	0	P0AEN4	Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1	ftsL	13600.25765	33.47069338992517	455210.0538271342	5270897658.445416
b0084	91413	93179	1	gene		91413	0	P0AD68	Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1	ftsI	63819.49979	1.8452919471789668	117765.60903547677	5271015424.054452
b0085	93166	94653	1	gene		93179	0	P22188	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2	murE	53291.93557	377.55962019301967	20120882.953160077	5291136307.007612
b0086	94650	96008	1	gene		94653	0	P11880	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	murF	47399.59944	388.81925145580266	18429876.773565684	5309566183.7811775
b0087	96002	97084	1	gene		96008	0	P0A6W3	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	mraY	39830.55502	6.466308245216862	257556.64633738986	5309823740.427515
b0088	97087	98403	1	gene		97087	0	P14900	UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Escherichia coli (strain K12) GN=murD PE=1 SV=3	murD	46925.84164	122.82826184953832	5763819.564467888	5315587559.991982
b0089	98403	99647	1	gene		98403	0	P0ABG4					5809958.571344681	5321397518.563327
b0090	99644	100711	1	gene		99647	0	P17443	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3	murG	37772.88165	69.22920006770244	2614986.3808814962	5324012504.944208
b0091	100765	102240	1	gene		100765	0	P17952	UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2	murC	53574.3631	348.02322921591133	18645122.84924776	5342657627.793456
b0092	102233	103153	1	gene		102240	0	P07862	D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3	ddlB	32800.79555	373.17377675252527	12240396.755880926	5354898024.549337
PM00607	102742	103154	1	promoter	[b0093]	103153	0						0.0	5354898024.549337
PM00296	102867	103154	1	promoter	[b0093, b0094, b0095]	103154	0						0.0	5354898024.549337
b0093	103155	103985	1	gene		103155	0	P06136					5809958.571344681	5360707983.120682
PM0-1582	103561	103981	1	promoter	[b0095, b0094]	103985	1						0.0	5360707983.120682
b0094	103982	105244	1	gene		103985	0	P0ABH0	Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1	ftsA	45283.45163	344.5015181270213	15600217.832566539	5376308200.953248
PM00610	104636	105304	1	promoter	[b0095]	105244	0						0.0	5376308200.953248
b0095	105305	106456	1	gene		105305	0	P0A9A6	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	ftsZ	40280.55906	6072.775048066182	244614773.98172417	5620922974.934972
PM0-9872	106508	106556	1	promoter	[b0096]	106508	0						0.0	5620922974.934972
b0096	106557	107474	1	gene		106557	0	P0A725	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase OS=Escherichia coli (strain K12) GN=lpxC PE=3 SV=1	lpxC	33916.22523	76.84005237430837	2606124.523012039	5623529099.457984
b0097	107705	108217	1	gene		107705	0	P62395					5809958.571344681	5629339058.029328
b0098	108279	110984	1	gene		108279	0	P10408	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	secA	101940.9335	547.3153595835515	55793838.67483541	5685132896.704164
b0099	111044	111433	1	gene		111044	0	P08337	Mutator mutT protein OS=Escherichia coli (strain K12) GN=mutT PE=1 SV=1	mutT	14899.60803	3.5269337432545265	52549.930322273096	5685185446.634486
b0101	111649	111846	-1	gene		111649	0	P0A8H8	UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1	yacG	7283.40821	151.45572990375985	1103113.9066325868	5686288560.541119
b0102	111856	112599	-1	gene		111856	0	P36680	UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2	yacF	28255.84769	285.6296277558993	8070707.257622087	5694359267.79874
b0103	112599	113219	-1	gene		112599	0	P0A6I9	Dephospho-CoA kinase OS=Escherichia coli (strain K12) GN=coaE PE=1 SV=1	coaE	22589.85479	63.85582230135969	1442493.753283759	5695801761.552024
b0104	113444	114487	1	gene		113444	0	P60560	GMP reductase OS=Escherichia coli (strain K12) GN=guaC PE=1 SV=1	guaC	37341.7954	848.3379278183869	31678461.330654174	5727480222.882678
b0106	114522	115724	-1	gene		114522	0	P36646					5809958.571344681	5733290181.454022
b0107	115714	117099	-1	gene		115724	0	P36645					5809958.571344681	5739100140.025367
b0108	117109	117549	-1	gene		117109	0	P36647					5809958.571344681	5744910098.596711
PM0-10364	117550	117705	-1	promoter	[b0108, b0107, b0106]	117550	0						0.0	5744910098.596711
b0109	117752	118645	-1	gene		117752	0	P30011	Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) GN=nadC PE=1 SV=7	nadC	32723.94863	509.68495109560814	16678904.157136742	5761589002.753848
PM0-36221	118646	118663	-1	promoter	[b0109]	118646	0						0.0	5761589002.753848
PM0-36222	118703	118732	1	promoter	[b0110, b0111]	118703	0						0.0	5761589002.753848
b0110	118733	119284	1	gene		118733	0	P13016					5809958.571344681	5767398961.325192
b0111	119281	120135	1	gene		119284	0	P0AE14	Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1	ampE	32083.28877	0.5083483309322102	16309.486297045623	5767415270.811489
b0112	120178	121551	-1	gene		120178	0	P15993	Aromatic amino acid transport protein AroP OS=Escherichia coli (strain K12) GN=aroP PE=1 SV=3	aroP	49639.28287	144.14933841214156	7155469.784963652	5774570740.596453
PM00014	121552	121671	-1	promoter	[b0112]	121552	0						0.0	5774570740.596453
PM00324	122034	122091	1	promoter	[b0113, b0114, b0115, b0116]	122034	0						0.0	5774570740.596453
b0113	122092	122856	1	gene		122092	0	P0ACL9	Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1	pdhR	29389.36331	53.019618573079704	1558212.8328018633	5776128953.429255
PM00325	122969	123016	1	promoter	[b0115, b0114]	122969	0						0.0	5776128953.429255
b0114	123017	125680	1	gene		123017	0	P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	aceE	99587.94042	4470.052880856243	445163359.9729609	6221292313.402215
b0115	125695	127587	1	gene		125695	0						5809958.571344681	6227102271.973559
PM00326	127717	127911	1	promoter	[b0116]	127717	0						0.0	6227102271.973559
b0116	127912	129336	1	gene		127912	0	P0A9P0	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	lpdA	50638.58341	12054.7228025701	610434086.122375	6837536358.095934
b0117	129407	131260	-1	gene		129407	0	P36682					5809958.571344681	6843346316.667278
PM263	131519	131614	1	promoter	[b0118]	131519	0						0.0	6843346316.667278
b0118	131615	134212	1	gene		131615	0	P36683	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	acnB	93420.9457	9625.639731367994	899236366.6718919	7742582683.33917
PM0-9961	134339	134387	1	promoter	[b0119]	134339	0						0.0	7742582683.33917
b0119	134388	134750	1	gene		134388	0	P0A8E5	UPF0231 protein yacL OS=Escherichia coli (strain K12) GN=yacL PE=3 SV=1	yacL	13914.52935	279.96750236409673	3895616.0286914185	7746478299.367862
b0120	134788	135582	-1	gene		134788	0	P0A7F6	S-adenosylmethionine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=speD PE=1 SV=1	speD	30347.05278	1479.8272563615978	44908395.854088	7791386695.22195
b0121	135598	136464	-1	gene		135598	0	P09158	Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2	speE	32282.72207	1276.2585367166848	41201099.63028963	7832587794.85224
b0122	136570	136917	-1	gene		136570	0	P0AA95	Uncharacterized protein yacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	yacC	12827.36993	43.26106167185575	554925.641629438	7833142720.493869
PM0-7801	136918	136940	-1	promoter	[b0122, b0120, b0121]	136918	0						0.0	7833142720.493869
PM0-3304	137045	137082	1	promoter	[b0123]	137045	0						0.0	7833142720.493869
b0123	137083	138633	1	gene		137083	0	P36649	Blue copper oxidase CueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2	cueO	56501.41538	494.27210306322513	27927073.40592145	7861069793.89979
b0124	138835	141225	-1	gene		138835	0	P15877	Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) GN=gcd PE=1 SV=3	gcd	86673.81201	2.813905851586928	243891.94679428436	7861313685.846584
PM0-2223	141226	141279	-1	promoter	[b0124]	141226	0						0.0	7861313685.846584
PM0-2221	141360	141430	1	promoter	[b0125]	141360	0						0.0	7861313685.846584
b0125	141431	141967	1	gene		141431	0	P0A9M2	Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1	hpt	20084.39054	1231.6745847546838	24737433.3784054	7886051119.22499
b0126	142008	142670	-1	gene		142008	0	P61517	Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1	can	25062.79563	5015.244755630901	125696054.34480655	8011747173.569797
PM0-9710	142671	142703	-1	promoter	[b0126]	142671	0						0.0	8011747173.569797
b0127	142779	143705	1	gene		142779	0	P36879	Uncharacterized ABC transporter ATP-binding protein YadG OS=Escherichia coli (strain K12) GN=yadG PE=1 SV=1	yadG	34607.32501	61.94312942862984	2143686.0122730886	8013890859.582069
b0128	143702	144472	1	gene		143705	0	P0AFN6					5809958.571344681	8019700818.153414
b0129	144577	145017	1	gene		144577	0	P36881					5809958.571344681	8025510776.724758
b0130	145081	146310	1	gene		145081	0	P31666					5809958.571344681	8031320735.296103
b0131	146314	146694	-1	gene		146314	0						5809958.571344681	8037130693.867447
PM0-46355	146695	146754	-1	promoter	[b0131]	146695	0						0.0	8037130693.867447
b0132	146968	147870	1	gene		146968	0	P31665					5809958.571344681	8042940652.438791
b0133	147944	148795	-1	gene		147944	0	P31663	Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1	panC	31559.67743	1324.1975938754028	41791248.91628986	8084731901.355082
b0134	148807	149601	-1	gene		148807	0	P31057	3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1	panB	28201.38237	2236.941151740946	63084832.75943461	8147816734.114516
PM0-10209	149602	149630	-1	promoter	[b0133, b0134]	149602	0						0.0	8147816734.114516
b0135	149715	150953	-1	gene		149715	0	P31058					5809958.571344681	8153626692.685861
b0136	151003	151599	-1	gene		151003	0	P37016					5809958.571344681	8159436651.257205
b0137	151626	152231	-1	gene		151626	0	P37017					5809958.571344681	8165246609.828549
b0138	152243	152812	-1	gene		152243	0	P37018					5809958.571344681	8171056568.399894
b0139	152829	155426	-1	gene		152829	0						5809958.571344681	8176866526.971238
b0140	155461	156201	-1	gene		155461	0	P33128					5809958.571344681	8182676485.5425825
PM00553	156202	156235	-1	promoter	[b0139, b0140]	156202	0						0.0	8182676485.5425825
b0141	156299	156883	-1	gene		156299	0	P37050					5809958.571344681	8188486444.113927
b0142	157253	157732	-1	gene		157253	0	P26281	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase OS=Escherichia coli (strain K12) GN=folK PE=1 SV=3	folK	18049.36747	63.70052784777676	1149754.2351574912	8189636198.349085
b0143	157729	159126	-1	gene		157732	0	P0ABF1	Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2	pcnB	53819.05532	46.87354879507087	2522690.1156466384	8192158888.464731
PM0-36157	159127	159391	-1	promoter	[b0142, b0143]	159127	0						0.0	8192158888.464731
b0144	159186	160112	-1	gene		159391	0	P27305					5809958.571344681	8197968847.036076
b0145	160149	160604	-1	gene		160149	0	P0ABS1	DnaK suppressor protein OS=Escherichia coli (strain K12) GN=dksA PE=1 SV=1	dksA	17498.7338	5979.363229929793	104631285.45404966	8302600132.490126
