gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass	iBAQ_W3110	iBAQ_W3110_cumulative_abundance
PM00316	12048	12162	1	promoter	[b0014, b0015]	12048	0					0.0			0.8331591972153958	-8.181174514997334e-07	0.005404201325321812
b0014	12163	14079	1	gene		12163	0	P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	Cytoplasm	2.114441455149417	2.133413986320252	2.2363928690562127	2.9476006523648133	0.001854291351629906	0.005403383207870312
b0015	14168	15298	1	gene		14168	0	P08622	Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3	dnaJ	Cytoplasm	0.04693180647397386	0.04663530395802948	0.05045943262516426	2.994532458838787	0.00010266138982974517	0.007257674559500218
b0016	15445	16557	1	gene		15445	0	P0CF91				0.017911945107084437			3.0124444039458718	-8.181174514997334e-07	0.0073603359493299636
b4412	16751	16903	-1	gene		16960	1	P0ACG4				0.017911945107084437			3.04826829416004	-8.181174514997334e-07	0.007359517831878464
b0018	16751	16960	-1	gene		16751	0	P33236				0.017911945107084437			3.030356349052956	-8.181174514997334e-07	0.007358699714426964
b4413	16952	17006	1	gene		16960	0					0.017911945107084437			3.0661802392671245	-8.181174514997334e-07	0.007357881596975465
b0019	17489	18655	1	gene		17489	0	P13738				0.017911945107084437			3.084092184374209	-8.181174514997334e-07	0.007357063479523965
b0020	18715	19620	1	gene		18715	0	P0A9G2				0.017911945107084437			3.102004129481293	-8.181174514997334e-07	0.007356245362072466
b0021	19811	20314	-1	gene		19811	0	P0CF25				0.017911945107084437			3.1199160745883776	-8.181174514997334e-07	0.007355427244620966
b0022	20233	20508	-1	gene		20314	0	P0CF07				0.017911945107084437			3.137828019695462	-8.181174514997334e-07	0.007354609127169467
b0023	20815	21078	-1	gene		20815	0	P0A7U7	30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2	rpsT	Cytoplasm	0.4704343703722755	0.4346239323438462	0.4626712272243929	3.6082623900677375	0.009410425496094658	0.007353791009717967
PM0-8222	21079	21210	-1	promoter	[b0023]	21079	0					0.0			3.6082623900677375	-8.181174514997334e-07	0.016764216505812626
b0024	21181	21399	1	gene		21210	0	P75620				0.017911945107084437			3.6261743351748215	-8.181174514997334e-07	0.016763398388361127
PM0-8866	21383	21406	1	promoter	[b0025, b0026, b0027, b0028, b0029]	21399	0					0.0			3.6261743351748215	-8.181174514997334e-07	0.016762580270909627
b0025	21407	22348	1	gene		21407	0	P0AG40				0.017911945107084437			3.6440862802819054	9.491793787882877e-06	0.016761762153458128
PM0-9552	21833	22390	1	promoter	[b0029, b0028, b0027, b0026]	22348	0					0.0			3.6440862802819054	-8.181174514997334e-07	0.01677125394724601
b0026	22391	25207	1	gene		22391	0	P00956	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	Cytoplasm	0.3748599907977855	0.3780899461397523	0.3744246537270105	4.018946271079692	0.00026104596842534936	0.01677043582979451
PM0-9328	25014	25206	1	promoter	[b0029, b0028, b0027]	25207	1					0.0			4.018946271079692	-8.181174514997334e-07	0.01703148179821986
b0027	25207	25701	1	gene		25207	0	P00804				0.017911945107084437			4.0368582161867765	-8.181174514997334e-07	0.01703066368076836
b0028	25826	26275	1	gene		25826	0	P0AEM0				0.017911945107084437			4.054770161293861	0.00013698608634163826	0.01702984556331686
b0029	26277	27227	1	gene		26277	0	P62623				0.017911945107084437			4.072682106400946	5.1940524652068346e-05	0.017166831649658498
b0030	27293	28207	1	gene		27293	0	P22564				0.017911945107084437			4.090594051508032	-8.181174514997334e-07	0.017218772174310566
PM0-9557	28288	28373	1	promoter	[b0031]	28288	0					0.0			4.090594051508032	-8.181174514997334e-07	0.017217954056859067
b0031	28374	29195	1	gene		28374	0	P04036	Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	dapB	Cytoplasm	0.1469743266959885	0.14885869228505613	0.1447985833596966	4.2375683782040205	0.0003146867944837492	0.017217135939407567
PM00151	29551	29650	1	promoter	[b0032, b0033]	29551	0					0.0			4.2375683782040205	-8.181174514997334e-07	0.017531822733891315
b0032	29651	30799	1	gene		29651	0	P0A6F1	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1	carA	Cytoplasm	0.634904795642827	0.6459442426032354	0.6361261226631417	4.872473173846847	0.000627510124875982	0.017531004616439815
PM00319	30775	30816	1	promoter	[b0033]	30799	0					0.0			4.872473173846847	-8.181174514997334e-07	0.018158514741315798
b0033	30817	34038	1	gene		30817	0	P00968				0.017911945107084437			4.890385118953932	0.0005016024202753652	0.018157696623864298
PM338	34218	34299	1	promoter	[b0034]	34218	0					0.0			4.890385118953932	-8.181174514997334e-07	0.01865929904413966
b0034	34300	34695	1	gene		34300	0	P0AE58				0.017911945107084437			4.908297064061016	-8.181174514997334e-07	0.018658480926688162
b0035	34781	35371	-1	gene		34781	0	P39206				0.017911945107084437			4.926209009168102	-8.181174514997334e-07	0.018657662809236662
b0036	35377	36162	-1	gene		35377	0	P31551				0.017911945107084437			4.944120954275187	-8.181174514997334e-07	0.018656844691785163
b0037	36271	37824	-1	gene		36271	0	P31552				0.017911945107084437			4.9620328993822715	-8.181174514997334e-07	0.018656026574333663
b0038	37898	39115	-1	gene		37898	0	P31572				0.017911945107084437			4.979944844489356	-8.181174514997334e-07	0.018655208456882164
b0039	39244	40386	-1	gene		39244	0	P60584				0.017911945107084437			4.99785678959644	-8.181174514997334e-07	0.018654390339430664
b0040	40417	41931	-1	gene		40417	0	P31553				0.017911945107084437			5.015768734703525	-8.181174514997334e-07	0.018653572221979164
PM00528	41932	42037	-1	promoter	[b0035, b0036, b0037, b0038, b0039, b0040]	41932	0					0.0			5.015768734703525	-8.181174514997334e-07	0.018652754104527665
PM339	42325	42402	1	promoter	[b0044, b0043, b0042, b0041]	42325	0					0.0			5.015768734703525	-8.181174514997334e-07	0.018651935987076165
b0041	42403	43173	1	gene		42403	0	P60566				0.017911945107084437			5.033680679810611	-8.181174514997334e-07	0.018651117869624666
b0042	43188	44129	1	gene		43188	0	P31574				0.017911945107084437			5.051592624917696	-8.181174514997334e-07	0.018650299752173166
b0043	44180	45466	1	gene		44180	0	P68644				0.017911945107084437			5.06950457002478	-8.181174514997334e-07	0.018649481634721667
b0044	45463	45750	1	gene		45466	0	P68646				0.017911945107084437			5.0874165151318635	-8.181174514997334e-07	0.018648663517270167
PM0-10464	45592	45806	1	promoter	[b0045]	45750	0					0.0			5.0874165151318635	-8.181174514997334e-07	0.018647845399818667
b0045	45807	47138	1	gene		45807	0	P31679				0.017911945107084437			5.105328460238949	-8.181174514997334e-07	0.018647027282367168
b0046	47246	47776	1	gene		47246	0	P0A754				0.017911945107084437			5.123240405346034	-8.181174514997334e-07	0.01864620916491567
b0047	47769	49631	1	gene		47776	0	P03819	Glutathione-regulated potassium-efflux system protein kefC OS=Escherichia coli (strain K12) GN=kefC PE=1 SV=2	kefC	Cell inner membrane	0.00039448745401556457	0.00019359249523034864	0.00025131561928561	5.12363489280005	-8.181174514997334e-07	0.01864539104746417
PM00320	49799	49822	1	promoter	[b0048]	49799	0					0.0			5.12363489280005	-8.181174514997334e-07	0.01864457293001267
b0048	49823	50302	1	gene		49823	0	P0ABQ4				0.017911945107084437			5.141546837907135	3.867436722536374e-05	0.01864375481256117
b0049	50380	51222	-1	gene		50380	0	P05637				0.017911945107084437			5.15945878301422	2.148366119608036e-05	0.018682429179786533
b0050	51229	51606	-1	gene		51229	0	P62672				0.017911945107084437			5.1773707281213035	-8.181174514997334e-07	0.018703912840982613
PM0-5442	51607	52034	-1	promoter	[b0049, b0050]	51607	0					0.0			5.1773707281213035	-8.181174514997334e-07	0.018703094723531113
b0051	51609	52430	-1	gene		52034	0	P06992	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	rsmA	Cytoplasm	0.012745992434463938	0.01274044803529487	0.012799541338110341	5.190116720555769	4.445700107513837e-05	0.018702276606079614
b0052	52427	53416	-1	gene		52430	0	P19624	4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1	pdxA	Cytoplasm	0.011438975841378608	0.010485626448740109	0.010716102883703742	5.201555696397147	6.673173307606718e-05	0.01874673360715475
PM0-5426	52431	52588	-1	promoter	[b0049, b0050, b0051]	53416	1					0.0			5.201555696397147	-8.181174514997334e-07	0.018813465340230817
b0053	53416	54702	-1	gene		53416	0	P0ABZ6	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	surA	Periplasm	0.12189058892395588	0.11861074435095335	0.12195630037490765	5.3234462853211015	0.00019267793884484785	0.018812647222779318
b0054	54755	57109	-1	gene		54755	0	P31554	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	lptD	Cell outer membrane	0.0677138401868904	0.0778787134848524	0.07817803851352463	5.3911601255079935	0.0001843902996292926	0.019005325161624165
PM0-4527	57110	57336	-1	promoter	[b0052, b0053, b0054]	57110	0					0.0			5.3911601255079935	-8.181174514997334e-07	0.01918971546125346
PM0-4525	57110	57241	-1	promoter	[b0054]	57336	1					0.0			5.3911601255079935	-8.181174514997334e-07	0.01918889734380196
b0055	57364	58179	1	gene		57364	0	P31680	DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1	djlA	Cell inner membrane	5.13264721788695e-05	5.6384305656364765e-06	0.0003013042076583072	5.391211451980173	1.2651143964214637e-05	0.01918807922635046
b4659	58474	59279	1	gene		58474	0					0.017911945107084437			5.4091233970872565	-8.181174514997334e-07	0.019200730370314674
b0058	59687	60346	-1	gene		59687	0	P0AA37				0.017911945107084437			5.4270353421943405	-8.181174514997334e-07	0.019199912252863174
b0059	60358	63264	-1	gene		60358	0	P60240				0.017911945107084437			5.444947287301426	3.6279170061473383e-05	0.019199094135411675
PM0-9741	63265	63588	-1	promoter	[b0059]	63358	0					0.0			5.444947287301426	-8.181174514997334e-07	0.019235373305473147
PM0-4081	63265	63358	-1	promoter	[b0058, b0059]	63265	0					0.0			5.444947287301426	-8.181174514997334e-07	0.019234555188021647
b0060	63429	65780	-1	gene		63588	0	P21189				0.017911945107084437			5.462859232408512	-8.181174514997334e-07	0.019233737070570148
PM0-7961	65781	65803	-1	promoter	[b0060]	65781	0					0.0			5.462859232408512	-8.181174514997334e-07	0.019232918953118648
b0061	65855	66550	-1	gene		65855	0	P08203				0.017911945107084437			5.480771177515596	-8.181174514997334e-07	0.01923210083566715
b0062	66835	68337	-1	gene		66835	0	P08202				0.017911945107084437			5.4986831226226816	-8.181174514997334e-07	0.01923128271821565
b0063	68348	70048	-1	gene		68348	0	P08204				0.017911945107084437			5.5165950677297655	-8.181174514997334e-07	0.01923046460076415
PM00003	70049	70075	-1	promoter	[b0061, b0062, b0063]	70049	0					0.0			5.5165950677297655	-8.181174514997334e-07	0.01922964648331265
PM00004	70241	70386	1	promoter	[b0064]	70241	0					0.0			5.5165950677297655	-8.181174514997334e-07	0.01922882836586115
b0064	70387	71265	1	gene		70387	0	P0A9E0				0.017911945107084437			5.534507012836849	-8.181174514997334e-07	0.01922801024840965
PM0-9957	71271	71350	1	promoter	[b0065]	71271	0					0.0			5.534507012836849	-8.181174514997334e-07	0.01922719213095815
b0065	71351	72115	1	gene		71351	0	P30149				0.017911945107084437			5.552418957943934	-8.181174514997334e-07	0.01922637401350665
b0066	72229	72927	-1	gene		72229	0	P31548				0.017911945107084437			5.57033090305102	-8.181174514997334e-07	0.019225555896055152
b0067	72911	74521	-1	gene		72927	0	P31549				0.017911945107084437			5.588242848158106	-8.181174514997334e-07	0.019224737778603652
b0068	74497	75480	-1	gene		74521	0	P31550	Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=thiB PE=1 SV=2	thiB	Periplasm	0.0021441311645017305	0.0011084325759222816	0.000897934048369433	5.590386979322607	-8.181174514997334e-07	0.019223919661152153
sroA	75516	75608	-1	gene		75516	0					0.017911945107084437			5.608298924429692	-8.181174514997334e-07	0.019223101543700653
PM0-9626	75609	75608	-1	promoter	[sroA]	75609	1					0.0			5.608298924429692	-8.181174514997334e-07	0.019222283426249154
b0069	75644	77299	-1	gene		75644	0	P33595				0.017911945107084437			5.626210869536776	-8.181174514997334e-07	0.019221465308797654
PM0-9592	77300	77338	-1	promoter	[b0069, b0068, b0067, b0066]	77300	0					0.0			5.626210869536776	-8.181174514997334e-07	0.019220647191346155
b4577	77367	77593	1	gene		77367	0					0.017911945107084437			5.644122814643861	-8.181174514997334e-07	0.019219829073894655
PM0-9591	77367	77366	1	promoter	[b4662, b0070, b4577]	77367	1					0.0			5.626210869536776	-8.181174514997334e-07	0.019219010956443155
b4662	77388	77519	1	gene		77593	1	C1P5Z7				0.017911945107084437			5.662034759750947	-8.181174514997334e-07	0.019218192838991656
b0070	77621	78799	1	gene		77621	0	P31675				0.017911945107084437			5.679946704858032	-8.181174514997334e-07	0.019217374721540156
b0071	78848	79453	-1	gene		78848	0	P30126				0.017911945107084437			5.697858649965116	0.0011639070418837663	0.019216556604088657
b0072	79464	80864	-1	gene		79464	0	P0A6A6				0.017911945107084437			5.7157705950722	0.0004911996089253637	0.020380463645972423
b0073	80867	81958	-1	gene		80867	0	P30125	3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) GN=leuB PE=1 SV=3	leuB	Cytoplasm	0.2882814692959456	0.30073493377493266	0.30748877680586595	6.004052064368147	0.0007332482668604676	0.020871663254897786
b0074	81958	83529	-1	gene		81958	0	P09151				0.017911945107084437			6.021964009475231	0.0011573904146638925	0.021604911521758252
b0075	83622	83708	-1	gene		83622	0	P0AD79				0.017911945107084437			6.039875954582317	-8.181174514997334e-07	0.022762301936422143
PM0-46180	83709	84024	-1	promoter	[b0071, b0072, b0073, b0074, b0075]	83709	0					0.0			6.039875954582317	-8.181174514997334e-07	0.022761483818970644
PM0-46177	84154	84367	1	promoter	[b0076]	84154	0					0.0			6.039875954582317	-8.181174514997334e-07	0.022760665701519144
b0076	84368	85312	1	gene		84368	0	P10151				0.017911945107084437			6.0577878996894015	-8.181174514997334e-07	0.022759847584067645
PM00321	85420	85629	1	promoter	[b0078, b0077]	85420	0					0.0			6.0577878996894015	-8.181174514997334e-07	0.022759029466616145
b0077	85630	87354	1	gene		85630	0	P00893				0.017911945107084437			6.075699844796486	0.00025784647204003553	0.022758211349164646
b0078	87357	87848	1	gene		87357	0	P00894				0.017911945107084437			6.09361178990357	0.0003504857870347914	0.02301605782120468
PM0-44353	87947	88027	1	promoter	[b0080]	87947	0					0.0			6.09361178990357	-8.181174514997334e-07	0.023366543608239473
b0080	88028	89032	1	gene		88028	0	P0ACP1				0.017911945107084437			6.111523735010655	4.621287068470446e-05	0.023365725490787973
PM0-1101	89596	89633	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083, b0082, b0081]	89596	0					0.0			6.111523735010655	-8.181174514997334e-07	0.02341193836147268
b0081	89634	90092	1	gene		89634	0	P22186	Protein MraZ OS=Escherichia coli (strain K12) GN=mraZ PE=3 SV=1	mraZ	Cytoplasm	0.004150994641816253	0.00425735913252852	0.00480137239634365	6.115674729652471	-8.181174514997334e-07	0.02341112024402118
PM0-9672	90010	90093	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083, b0082]	90092	0					0.0			6.115674729652471	-8.181174514997334e-07	0.02341030212656968
b0082	90094	91035	1	gene		90094	0	P60390	Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	rsmH	Cytoplasm	0.01981824345237026	0.021607664944238818	0.02228919051090804	6.13549297310484	0.0001675120578177458	0.02340948400911818
PM0-9676	90688	91031	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083]	91035	1					0.0			6.13549297310484	-8.181174514997334e-07	0.023576996066935925
b0083	91032	91397	1	gene		91035	0	P0AEN4	Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1	ftsL	Cell inner membrane	0.001221405416689421	0.001326322846615134	0.001392993361015461	6.136714378521532	1.8327911028207286e-05	0.023576177949484425
b0084	91413	93179	1	gene		91413	0	P0AD68	Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1	ftsI	Cell inner membrane	0.0012170394141930027	0.0015717161422442295	0.000984974863210715	6.137931417935723	2.3132530807470266e-05	0.02359450586051263
b0085	93166	94653	1	gene		93179	0	P22188	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2	murE	Cytoplasm	0.04530184714511274	0.047710072207370606	0.04474387749340148	6.183233265080839	0.00013431088597616527	0.0236176383913201
b0086	94650	96008	1	gene		94653	0	P11880	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	murF	Cytoplasm	0.04240013621220905	0.04175439537553944	0.03977585256641565	6.225633401293046	3.394460483469261e-05	0.023751949277296267
b0087	96002	97084	1	gene		96008	0	P0A6W3	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	mraY	Cell inner membrane	0.000991937197258839	0.0013487914298944553	0.0014343381543342269	6.2266253384903045	-8.181174514997334e-07	0.02378589388213096
b0088	97087	98403	1	gene		97087	0	P14900	UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Escherichia coli (strain K12) GN=murD PE=1 SV=3	murD	Cytoplasm	0.005725753834725454	0.007022631984181672	0.006330942533944526	6.232351092325031	4.414604461239181e-05	0.02378507576467946
b0089	98403	99647	1	gene		98403	0	P0ABG4				0.017911945107084437			6.250263037432115	-8.181174514997334e-07	0.023829221809291853
b0090	99644	100711	1	gene		99647	0	P17443	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3	murG	Cell inner membrane	0.003560170233904461	0.0060752452287665465	0.005772529248176631	6.253823207666018	3.074914788197446e-05	0.023828403691840354
b0091	100765	102240	1	gene		100765	0	P17952	UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2	murC	Cytoplasm	0.04032001513387989	0.03768763950109412	0.038675214305676414	6.2941432227999	8.022945998782227e-05	0.023859152839722328
b0092	102233	103153	1	gene		102240	0	P07862	D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3	ddlB	Cytoplasm	0.02729814136397941	0.02784206112451846	0.02799766727563933	6.32144136416388	4.121275407017554e-05	0.02393938229971015
PM00607	102742	103154	1	promoter	[b0093]	103153	0					0.0			6.32144136416388	-8.181174514997334e-07	0.023980595053780328
PM00296	102867	103154	1	promoter	[b0093, b0094, b0095]	103154	0					0.0			6.32144136416388	-8.181174514997334e-07	0.023979776936328828
b0093	103155	103985	1	gene		103155	0	P06136				0.017911945107084437			6.339353309270964	1.2472019221903222e-05	0.02397895881887733
PM0-1582	103561	103981	1	promoter	[b0095, b0094]	103985	1					0.0			6.339353309270964	-8.181174514997334e-07	0.023991430838099233
b0094	103982	105244	1	gene		103985	0	P0ABH0	Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1	ftsA	Cell inner membrane	0.0429739515738747	0.04782865368751306	0.042885619887981584	6.382327260844837	0.00020163842042009397	0.023990612720647734
PM00610	104636	105304	1	promoter	[b0095]	105244	0					0.0			6.382327260844837	-8.181174514997334e-07	0.02419225114106783
b0095	105305	106456	1	gene		105305	0	P0A9A6	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	ftsZ	Cytoplasm	0.3730339518604517	0.4059799467547192	0.40843238016768396	6.7553612127052896	0.0016847467157323633	0.02419143302361633
PM0-9872	106508	106556	1	promoter	[b0096]	106508	0					0.0			6.7553612127052896	-8.181174514997334e-07	0.025876179739348693
b0096	106557	107474	1	gene		106557	0	P0A725				0.017911945107084437			6.7732731578123735	8.446875137809122e-05	0.025875361621897193
b0097	107705	108217	1	gene		107705	0	P62395				0.017911945107084437			6.791185102919459	-8.181174514997334e-07	0.025959830373275285
b0098	108279	110984	1	gene		108279	0	P10408	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	secA	Cell inner membrane	0.1195635385408645	0.1251557400720593	0.11855883530627895	6.910748641460325	0.00017799671917570977	0.025959012255823786
b0099	111044	111433	1	gene		111044	0	P08337				0.017911945107084437			6.928660586567409	-8.181174514997334e-07	0.026137008974999494
b0101	111649	111846	-1	gene		111649	0	P0A8H8				0.017911945107084437			6.9465725316744935	2.9746287622009783e-05	0.026136190857547995
b0102	111856	112599	-1	gene		111856	0	P36680	UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2	zapD	Cytoplasm	0.013804066675754432	0.013472811735049236	0.014783547964178976	6.960376598350247	4.116748751874058e-05	0.026165937145170005
b0103	112599	113219	-1	gene		112599	0	P0A6I9	Dephospho-CoA kinase OS=Escherichia coli (strain K12) GN=coaE PE=1 SV=1	coaE	Cytoplasm	0.0026781355387897107	0.002942222719867208	0.002354177680178176	6.963054733889037	2.2076601750430236e-05	0.026207104632688744
b0104	113444	114487	1	gene		113444	0	P60560				0.017911945107084437			6.980966678996122	0.000629055498931058	0.026229181234439174
b0106	114522	115724	-1	gene		114522	0	P36646				0.017911945107084437			6.998878624103208	-8.181174514997334e-07	0.026858236733370233
b0107	115714	117099	-1	gene		115724	0	P36645				0.017911945107084437			7.016790569210293	-8.181174514997334e-07	0.026857418615918734
b0108	117109	117549	-1	gene		117109	0	P36647				0.017911945107084437			7.0347025143173765	-8.181174514997334e-07	0.026856600498467234
PM0-10364	117550	117705	-1	promoter	[b0108, b0107, b0106]	117550	0					0.0			7.0347025143173765	-8.181174514997334e-07	0.026855782381015735
b0109	117752	118645	-1	gene		117752	0	P30011				0.017911945107084437			7.052614459424461	8.373179055130125e-05	0.026854964263564235
PM0-36221	118646	118663	-1	promoter	[b0109]	118646	0					0.0			7.052614459424461	-8.181174514997334e-07	0.026938696054115537
PM0-36222	118703	118732	1	promoter	[b0110, b0111]	118703	0					0.0			7.052614459424461	-8.181174514997334e-07	0.026937877936664037
b0110	118733	119284	1	gene		118733	0	P13016				0.017911945107084437			7.070526404531545	-8.181174514997334e-07	0.026937059819212537
b0111	119281	120135	1	gene		119284	0	P0AE14	Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1	ampE	Cell inner membrane	0.00019712866576622337	0.00026041764820717206	0.0002191460015961675	7.070723533197312	2.092181692006184e-06	0.026936241701761038
b0112	120178	121551	-1	gene		120178	0	P15993	Aromatic amino acid transport protein AroP OS=Escherichia coli (strain K12) GN=aroP PE=1 SV=3	aroP	Cell inner membrane	0.017501967197345848	0.01647115111936228	0.015664404681755	7.088225500394657	0.0001387046497282193	0.026938333883453045
PM00014	121552	121671	-1	promoter	[b0112]	121552	0					0.0			7.088225500394657	-8.181174514997334e-07	0.027077038533181264
PM00324	122034	122091	1	promoter	[b0113, b0114, b0115, b0116]	122034	0					0.0			7.088225500394657	-8.181174514997334e-07	0.027076220415729765
b0113	122092	122856	1	gene		122092	0	P0ACL9				0.017911945107084437			7.106137445501743	4.1015986914137584e-05	0.027075402298278265
PM00325	122969	123016	1	promoter	[b0115, b0114]	122969	0					0.0			7.106137445501743	-8.181174514997334e-07	0.027116418285192404
b0114	123017	125680	1	gene		123017	0	P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	aceE	Cytoplasm	0.9296258336419188	0.9615553862712533	0.9726102853377636	8.035763279143662	0.00260884046651895	0.027115600167740905
b0115	125695	127587	1	gene		125695	0					0.017911945107084437			8.053675224250746	-8.181174514997334e-07	0.029724440634259854
PM00326	127717	127911	1	promoter	[b0116]	127717	0					0.0			8.053675224250746	-8.181174514997334e-07	0.029723622516808355
b0116	127912	129336	1	gene		127912	0	P0A9P0	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	lpdA	Cytoplasm	1.0408688612673829	1.1394193911617692	1.0591210855455817	9.094544085518127	0.002392080085598694	0.029722804399356855
b0117	129407	131260	-1	gene		129407	0	P36682				0.017911945107084437			9.112456030625214	-8.181174514997334e-07	0.03211488448495555
PM263	131519	131614	1	promoter	[b0118]	131519	0					0.0			9.112456030625214	-8.181174514997334e-07	0.03211406636750405
b0118	131615	134212	1	gene		131615	0	P36683	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	acnB	Cytoplasm	1.1923550422160252	1.1700069995610978	1.1782833956965348	10.304811072841238	0.0007124650897222524	0.03211324825005255
