gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	kDa/Protein	cumulativeAbundance
b0068	74497	75480	-1	gene		74521	0	P31550	Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=thiB PE=1 SV=2	thiB	Periplasm	0.0021441311645	0.00110843257592	0.000897934048369	110.730908037	7668.97083848
sroA	75516	75608	-1	gene		75516	0								110.730908037	7779.70174652
PM0-9626	75609	75608	-1	promoter	[sroA]	75609	1								10.0	7789.70174652
b0069	75644	77299	-1	gene		75644	0	P33595							110.730908037	7900.43265456
PM0-9592	77300	77338	-1	promoter	[b0069, b0068, b0067, b0066]	77300	0								10.0	7910.43265456
PM0-9591	77367	77366	1	promoter	[b4662, b0070, b4577]	77367	1								10.0	7920.43265456
b4577	77367	77593	1	gene		77367	0								110.730908037	8031.16356259
b4662	77388	77519	1	gene		77593	1	C1P5Z7							110.730908037	8141.89447063
b0070	77621	78799	1	gene		77621	0	P31675							110.730908037	8252.62537867
b0071	78848	79453	-1	gene		78848	0	P30126							110.730908037	8363.3562867
b0072	79464	80864	-1	gene		79464	0	P0A6A6							110.730908037	8474.08719474
b0073	80867	81958	-1	gene		80867	0	P30125	3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) GN=leuB PE=1 SV=3	leuB	Cytoplasm	0.288281469296	0.300734933775	0.307488776806	110.730908037	8584.81810278
b0074	81958	83529	-1	gene		81958	0	P09151							110.730908037	8695.54901082
b0075	83622	83708	-1	gene		83622	0	P0AD79							110.730908037	8806.27991885
PM0-46180	83709	84024	-1	promoter	[b0071, b0072, b0073, b0074, b0075]	83709	0								10.0	8816.27991885
PM0-46177	84154	84367	1	promoter	[b0076]	84154	0								10.0	8826.27991885
b0076	84368	85312	1	gene		84368	0	P10151							110.730908037	8937.01082689
PM00321	85420	85629	1	promoter	[b0078, b0077]	85420	0								10.0	8947.01082689
b0077	85630	87354	1	gene		85630	0	P00893							110.730908037	9057.74173493
b0078	87357	87848	1	gene		87357	0	P00894							110.730908037	9168.47264296
PM0-44353	87947	88027	1	promoter	[b0080]	87947	0								10.0	9178.47264296
b0080	88028	89032	1	gene		88028	0	P0ACP1							110.730908037	9289.203551
PM0-1101	89596	89633	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083, b0082, b0081]	89596	0								10.0	9299.203551
b0081	89634	90092	1	gene		89634	0	P22186	Protein MraZ OS=Escherichia coli (strain K12) GN=mraZ PE=3 SV=1	mraZ	Cytoplasm	0.00415099464182	0.00425735913253	0.00480137239634	110.730908037	9409.93445904
PM0-9672	90010	90093	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083, b0082]	90092	0								10.0	9419.93445904
b0082	90094	91035	1	gene		90094	0	P60390	Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	rsmH	Cytoplasm	0.0198182434524	0.0216076649442	0.0222891905109	110.730908037	9530.66536708
PM0-9676	90688	91031	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083]	91035	1								10.0	9540.66536708
b0083	91032	91397	1	gene		91035	0	P0AEN4	Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1	ftsL	Cell inner membrane	0.00122140541669	0.00132632284662	0.00139299336102	110.730908037	9651.39627511
b0084	91413	93179	1	gene		91413	0	P0AD68	Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1	ftsI	Cell inner membrane	0.00121703941419	0.00157171614224	0.000984974863211	110.730908037	9762.12718315
b0085	93166	94653	1	gene		93179	0	P22188	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2	murE	Cytoplasm	0.0453018471451	0.0477100722074	0.0447438774934	110.730908037	9872.85809119
b0086	94650	96008	1	gene		94653	0	P11880	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	murF	Cytoplasm	0.0424001362122	0.0417543953755	0.0397758525664	110.730908037	9983.58899922
b0087	96002	97084	1	gene		96008	0	P0A6W3	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	mraY	Cell inner membrane	0.000991937197259	0.00134879142989	0.00143433815433	110.730908037	10094.3199073
b0088	97087	98403	1	gene		97087	0	P14900	UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Escherichia coli (strain K12) GN=murD PE=1 SV=3	murD	Cytoplasm	0.00572575383473	0.00702263198418	0.00633094253394	110.730908037	10205.0508153
b0089	98403	99647	1	gene		98403	0	P0ABG4							110.730908037	10315.7817233
b0090	99644	100711	1	gene		99647	0	P17443	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3	murG	Cell inner membrane	0.0035601702339	0.00607524522877	0.00577252924818	110.730908037	10426.5126314
b0091	100765	102240	1	gene		100765	0	P17952	UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2	murC	Cytoplasm	0.0403200151339	0.0376876395011	0.0386752143057	110.730908037	10537.2435394
b0092	102233	103153	1	gene		102240	0	P07862	D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3	ddlB	Cytoplasm	0.027298141364	0.0278420611245	0.0279976672756	110.730908037	10647.9744474
PM00607	102742	103154	1	promoter	[b0093]	103153	0								10.0	10657.9744474
PM00296	102867	103154	1	promoter	[b0093, b0094, b0095]	103154	0								10.0	10667.9744474
b0093	103155	103985	1	gene		103155	0	P06136							110.730908037	10778.7053555
PM0-1582	103561	103981	1	promoter	[b0095, b0094]	103985	1								10.0	10788.7053555
b0094	103982	105244	1	gene		103985	0	P0ABH0	Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1	ftsA	Cell inner membrane	0.0429739515739	0.0478286536875	0.042885619888	110.730908037	10899.4362635
PM00610	104636	105304	1	promoter	[b0095]	105244	0								10.0	10909.4362635
b0095	105305	106456	1	gene		105305	0	P0A9A6	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	ftsZ	Cytoplasm	0.37303395186	0.405979946755	0.408432380168	110.730908037	11020.1671716
PM0-9872	106508	106556	1	promoter	[b0096]	106508	0								10.0	11030.1671716
b0096	106557	107474	1	gene		106557	0	P0A725							110.730908037	11140.8980796
b0097	107705	108217	1	gene		107705	0	P62395							110.730908037	11251.6289876
b0098	108279	110984	1	gene		108279	0	P10408	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	secA	Cell inner membrane	0.119563538541	0.125155740072	0.118558835306	110.730908037	11362.3598957
b0099	111044	111433	1	gene		111044	0	P08337							110.730908037	11473.0908037
b0101	111649	111846	-1	gene		111649	0	P0A8H8							110.730908037	11583.8217117
b0102	111856	112599	-1	gene		111856	0	P36680	UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2	zapD	Cytoplasm	0.0138040666758	0.013472811735	0.0147835479642	110.730908037	11694.5526198
b0103	112599	113219	-1	gene		112599	0	P0A6I9	Dephospho-CoA kinase OS=Escherichia coli (strain K12) GN=coaE PE=1 SV=1	coaE	Cytoplasm	0.00267813553879	0.00294222271987	0.00235417768018	110.730908037	11805.2835278
b0104	113444	114487	1	gene		113444	0	P60560							110.730908037	11916.0144359
b0106	114522	115724	-1	gene		114522	0	P36646							110.730908037	12026.7453439
b0107	115714	117099	-1	gene		115724	0	P36645							110.730908037	12137.4762519
b0108	117109	117549	-1	gene		117109	0	P36647							110.730908037	12248.20716
PM0-10364	117550	117705	-1	promoter	[b0108, b0107, b0106]	117550	0								10.0	12258.20716
b0109	117752	118645	-1	gene		117752	0	P30011							110.730908037	12368.938068
PM0-36221	118646	118663	-1	promoter	[b0109]	118646	0								10.0	12378.938068
PM0-36222	118703	118732	1	promoter	[b0110, b0111]	118703	0								10.0	12388.938068
b0110	118733	119284	1	gene		118733	0	P13016							110.730908037	12499.668976
b0111	119281	120135	1	gene		119284	0	P0AE14	Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1	ampE	Cell inner membrane	0.000197128665766	0.000260417648207	0.000219146001596	110.730908037	12610.3998841
b0112	120178	121551	-1	gene		120178	0	P15993	Aromatic amino acid transport protein AroP OS=Escherichia coli (strain K12) GN=aroP PE=1 SV=3	aroP	Cell inner membrane	0.0175019671973	0.0164711511194	0.0156644046818	110.730908037	12721.1307921
PM00014	121552	121671	-1	promoter	[b0112]	121552	0								10.0	12731.1307921
PM00324	122034	122091	1	promoter	[b0113, b0114, b0115, b0116]	122034	0								10.0	12741.1307921
b0113	122092	122856	1	gene		122092	0	P0ACL9							110.730908037	12851.8617002
PM00325	122969	123016	1	promoter	[b0115, b0114]	122969	0								10.0	12861.8617002
b0114	123017	125680	1	gene		123017	0	P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	aceE	Cytoplasm	0.929625833642	0.961555386271	0.972610285338	110.730908037	12972.5926082
b0115	125695	127587	1	gene		125695	0								110.730908037	13083.3235162
PM00326	127717	127911	1	promoter	[b0116]	127717	0								10.0	13093.3235162
b0116	127912	129336	1	gene		127912	0	P0A9P0	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	lpdA	Cytoplasm	1.04086886127	1.13941939116	1.05912108555	110.730908037	13204.0544243
b0117	129407	131260	-1	gene		129407	0	P36682							110.730908037	13314.7853323
PM263	131519	131614	1	promoter	[b0118]	131519	0								10.0	13324.7853323
b0118	131615	134212	1	gene		131615	0	P36683	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	acnB	Cytoplasm	1.19235504222	1.17000699956	1.1782833957	110.730908037	13435.5162403
PM0-9961	134339	134387	1	promoter	[b0119]	134339	0								10.0	13445.5162403
b0119	134388	134750	1	gene		134388	0	P0A8E5							110.730908037	13556.2471484
b0120	134788	135582	-1	gene		134788	0	P0A7F6							110.730908037	13666.9780564
b0121	135598	136464	-1	gene		135598	0	P09158	Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2	speE	Cytoplasm	0.0551393429539	0.0557354567309	0.0601392314156	110.730908037	13777.7089644
b0122	136570	136917	-1	gene		136570	0	P0AA95							110.730908037	13888.4398725
PM0-7801	136918	136940	-1	promoter	[b0122, b0120, b0121]	136918	0								10.0	13898.4398725
PM0-3304	137045	137082	1	promoter	[b0123]	137045	0								10.0	13908.4398725
b0123	137083	138633	1	gene		137083	0	P36649	Blue copper oxidase CueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2	cueO	Periplasm	0.0947476287818	0.0995140887604	0.0970018869085	110.730908037	14019.1707805
b0124	138835	141225	-1	gene		138835	0	P15877	Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) GN=gcd PE=1 SV=3	gcd	Cell inner membrane	0.00613101703937	0.00706031013318	0.0062322527468	110.730908037	14129.9016886
PM0-2223	141226	141279	-1	promoter	[b0124]	141226	0								10.0	14139.9016886
PM0-2221	141360	141430	1	promoter	[b0125]	141360	0								10.0	14149.9016886
b0125	141431	141967	1	gene		141431	0	P0A9M2	Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1	hpt	Cytoplasm	0.0428409420533	0.0427505766965	0.0449805384247	110.730908037	14260.6325966
b0126	142008	142670	-1	gene		142008	0	P61517	Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1	can	Cytoplasm	0.145092939105	0.157219702276	0.151571004136	110.730908037	14371.3635046
PM0-9710	142671	142703	-1	promoter	[b0126]	142671	0								10.0	14381.3635046
b0127	142779	143705	1	gene		142779	0	P36879							110.730908037	14492.0944127
b0128	143702	144472	1	gene		143705	0	P0AFN6							110.730908037	14602.8253207
b0129	144577	145017	1	gene		144577	0	P36881							110.730908037	14713.5562287
b0130	145081	146310	1	gene		145081	0	P31666							110.730908037	14824.2871368
b0131	146314	146694	-1	gene		146314	0								110.730908037	14935.0180448
PM0-46355	146695	146754	-1	promoter	[b0131]	146695	0								10.0	14945.0180448
b0132	146968	147870	1	gene		146968	0	P31665							110.730908037	15055.7489529
b0133	147944	148795	-1	gene		147944	0	P31663	Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1	panC	Cytoplasm	0.0617786911665	0.0692479410266	0.0673809803014	110.730908037	15166.4798609
b0134	148807	149601	-1	gene		148807	0	P31057	3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1	panB	Cytoplasm	0.120783932272	0.115250127226	0.151533071249	110.730908037	15277.2107689
PM0-10209	149602	149630	-1	promoter	[b0133, b0134]	149602	0								10.0	15287.2107689
b0135	149715	150953	-1	gene		149715	0	P31058							110.730908037	15397.941677
b0136	151003	151599	-1	gene		151003	0	P37016							110.730908037	15508.672585
b0137	151626	152231	-1	gene		151626	0	P37017							110.730908037	15619.403493
b0138	152243	152812	-1	gene		152243	0	P37018							110.730908037	15730.1344011
b0139	152829	155426	-1	gene		152829	0								110.730908037	15840.8653091
b0140	155461	156201	-1	gene		155461	0	P33128							110.730908037	15951.5962172
PM00553	156202	156235	-1	promoter	[b0139, b0140]	156202	0								10.0	15961.5962172
b0141	156299	156883	-1	gene		156299	0	P37050							110.730908037	16072.3271252
b0142	157253	157732	-1	gene		157253	0	P26281							110.730908037	16183.0580332
b0143	157729	159126	-1	gene		157732	0	P0ABF1	Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2	pcnB	Cytoplasm	0.00404373646828	0.00387208239283	0.00258200077713	110.730908037	16293.7889413
PM0-36157	159127	159391	-1	promoter	[b0142, b0143]	159127	0								10.0	16303.7889413
b0144	159186	160112	-1	gene		159391	0	P27305							110.730908037	16414.5198493
b0145	160149	160604	-1	gene		160149	0	P0ABS1	DnaK suppressor protein OS=Escherichia coli (strain K12) GN=dksA PE=1 SV=1	dksA	Cytoplasm	0.170848659762	0.151309027706	0.169802272528	110.730908037	16525.2507573
PM0-46206	160605	160751	-1	promoter	[b0144, b0145]	160605	0								10.0	16535.2507573
b0146	160782	161486	-1	gene		160782	0	P0A823							110.730908037	16645.9816654
PM0-3841	161487	161515	-1	promoter	[b0145, b0146]	161487	0								10.0	16655.9816654
b0147	161501	162031	-1	gene		161515	0	P37025							110.730908037	16766.7125734
b0148	162105	164534	1	gene		162105	0	P37024							110.730908037	16877.4434814
PM0-9962	164721	164729	1	promoter	[b0149]	164721	0								10.0	16887.4434814
b0149	164730	167264	1	gene		164730	0	P02919	Penicillin-binding protein 1B OS=Escherichia coli (strain K12) GN=mrcB PE=1 SV=2	mrcB	Cell inner membrane	0.0112420508818	0.0134078187288	0.0136720960403	110.730908037	16998.1743895
PM00027	167442	167483	1	promoter	[b0150, b0151, b0152, b0153]	167442	0								10.0	17008.1743895
b0150	167484	169727	1	gene		167484	0	P06971	Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2	fhuA	Cell outer membrane	0.11903376469	0.131545134795	0.116600265588	110.730908037	17118.9052975
b0151	169778	170575	1	gene		169778	0	P07821							110.730908037	17229.6362056
b0152	170575	171465	1	gene		170575	0	P07822							110.730908037	17340.3671136
b0153	171462	173444	1	gene		171465	0	P06972							110.730908037	17451.0980216
b0154	173602	174882	-1	gene		173602	0	P23893	Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain K12) GN=hemL PE=1 SV=2	hemL	Cytoplasm	0.212054676924	0.22194617771	0.218938055373	110.730908037	17561.8289297
PM0-10531	174883	174941	-1	promoter	[b0154]	174883	0								10.0	17571.8289297
b0155	175107	176528	1	gene		175107	0	P37019							110.730908037	17682.5598377
PM0-8916	176561	176609	1	promoter	[b0156]	176561	0								10.0	17692.5598377
b0156	176610	176954	1	gene		176610	0	P0ACC3							110.730908037	17803.2907457
b0157	177001	177624	-1	gene		177001	0	P0AFP0							110.730908037	17914.0216538
b0158	177662	178462	-1	gene		177662	0	P37028							110.730908037	18024.7525618
b0159	178455	179153	-1	gene		178462	0	P0AF12							110.730908037	18135.4834699
PM0-9547	179154	179183	-1	promoter	[b0159, b0158, b0157]	179154	0								10.0	18145.4834699
PM0-9548	179196	179236	1	promoter	[b0160]	179196	0								10.0	18155.4834699
b0160	179237	180754	1	gene		179237	0	P15723							110.730908037	18266.2143779
PM00327	180845	180883	1	promoter	[b0161]	180845	0								10.0	18276.2143779
b0161	180884	182308	1	gene		180884	0	P0C0V0	Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1	degP	Cell inner membrane	0.258747207891	0.275304153009	0.273286370322	110.730908037	18386.9452859
PM0-4741	182447	182462	1	promoter	[b0162]	182447	0								10.0	18396.9452859
b0162	182463	183620	1	gene		182463	0	P37047							110.730908037	18507.676194
b0163	183709	184095	-1	gene		183709	0	P62768							110.730908037	18618.407102
b0164	184257	185069	-1	gene		184257	0	P37049							110.730908037	18729.13801
b0166	185123	185947	-1	gene		185123	0	P0A9D8	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain K12) GN=dapD PE=1 SV=1	dapD	Cytoplasm	0.547342309357	0.545132995998	0.513174702288	110.730908037	18839.8689181
PM00328	185948	185977	-1	promoter	[b0166]	185948	0								10.0	18849.8689181
b0167	185978	188650	-1	gene		185978	0	P27249							110.730908037	18960.5998261
