gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	proteinMW	Copies/Cell_MG1655.Glucose	g/Protein	cumulativeAbudance
b0074	81958	83529	-1	gene		81958	0	P09151	2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5	leuA	57244.09138	1314.91787178987	75271278.80993445	5344143654.948013
b0075	83622	83708	-1	gene		83622	0	P0AD79					5809958.571344681	5349953613.519358
PM0-46180	83709	84024	-1	promoter	[b0071, b0072, b0073, b0074, b0075]	83709	0						5809958.571344681	5355763572.090702
PM0-46177	84154	84367	1	promoter	[b0076]	84154	0						5809958.571344681	5361573530.662046
b0076	84368	85312	1	gene		84368	0	P10151					5809958.571344681	5367383489.233391
PM00321	85420	85629	1	promoter	[b0078, b0077]	85420	0						5809958.571344681	5373193447.804735
b0077	85630	87354	1	gene		85630	0	P00893	Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) GN=ilvI PE=1 SV=2	ilvI	62925.97681	594.4372025509264	37405541.62272087	5410598989.427456
b0078	87357	87848	1	gene		87357	0	P00894	Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3	ilvH	17947.67665	1338.2656577535238	24018759.297159813	5434617748.724616
PM0-44353	87947	88027	1	promoter	[b0080]	87947	0						5809958.571344681	5440427707.29596
b0080	88028	89032	1	gene		88028	0	P0ACP1	Fructose repressor OS=Escherichia coli (strain K12) GN=fruR PE=1 SV=1	fruR	37957.71142	92.49834249624504	3511025.391300792	5443938732.687262
PM0-1101	89596	89633	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083, b0082, b0081]	89596	0						5809958.571344681	5449748691.258606
b0081	89634	90092	1	gene		89634	0	P22186	Protein MraZ OS=Escherichia coli (strain K12) GN=mraZ PE=3 SV=1	mraZ	17356.92635	47.92411123273021	831815.2690557061	5450580506.527661
PM0-9672	90010	90093	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083, b0082]	90092	0						5809958.571344681	5456390465.099006
b0082	90094	91035	1	gene		90094	0	P60390	Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	rsmH	34838.18791	332.697405164677	11590574.718296422	5467981039.817302
PM0-9676	90688	91031	1	promoter	[b0096, b0095, b0094, b0093, b0092, b0091, b0090, b0089, b0088, b0087, b0086, b0085, b0084, b0083]	91035	1						5809958.571344681	5473790998.388646
b0083	91032	91397	1	gene		91035	0	P0AEN4	Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1	ftsL	13600.25765	33.47069338992517	455210.0538271342	5474246208.442473
b0084	91413	93179	1	gene		91413	0	P0AD68	Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1	ftsI	63819.49979	1.8452919471789668	117765.60903547677	5474363974.051509
b0085	93166	94653	1	gene		93179	0	P22188	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2	murE	53291.93557	377.55962019301967	20120882.953160077	5494484857.004669
b0086	94650	96008	1	gene		94653	0	P11880	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	murF	47399.59944	388.81925145580266	18429876.773565684	5512914733.7782345
b0087	96002	97084	1	gene		96008	0	P0A6W3	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	mraY	39830.55502	6.466308245216862	257556.64633738986	5513172290.424572
b0088	97087	98403	1	gene		97087	0	P14900	UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Escherichia coli (strain K12) GN=murD PE=1 SV=3	murD	46925.84164	122.82826184953832	5763819.564467888	5518936109.989039
b0089	98403	99647	1	gene		98403	0	P0ABG4					5809958.571344681	5524746068.560384
b0090	99644	100711	1	gene		99647	0	P17443	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3	murG	37772.88165	69.22920006770244	2614986.3808814962	5527361054.941265
b0091	100765	102240	1	gene		100765	0	P17952	UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2	murC	53574.3631	348.02322921591133	18645122.84924776	5546006177.790513
b0092	102233	103153	1	gene		102240	0	P07862	D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3	ddlB	32800.79555	373.17377675252527	12240396.755880926	5558246574.546394
PM00607	102742	103154	1	promoter	[b0093]	103153	0						5809958.571344681	5564056533.117739
PM00296	102867	103154	1	promoter	[b0093, b0094, b0095]	103154	0						5809958.571344681	5569866491.689083
b0093	103155	103985	1	gene		103155	0	P06136					5809958.571344681	5575676450.260427
PM0-1582	103561	103981	1	promoter	[b0095, b0094]	103985	1						5809958.571344681	5581486408.831772
b0094	103982	105244	1	gene		103985	0	P0ABH0	Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1	ftsA	45283.45163	344.5015181270213	15600217.832566539	5597086626.664338
PM00610	104636	105304	1	promoter	[b0095]	105244	0						5809958.571344681	5602896585.2356825
b0095	105305	106456	1	gene		105305	0	P0A9A6	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	ftsZ	40280.55906	6072.775048066182	244614773.98172417	5847511359.217406
PM0-9872	106508	106556	1	promoter	[b0096]	106508	0						5809958.571344681	5853321317.788751
b0096	106557	107474	1	gene		106557	0	P0A725	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase OS=Escherichia coli (strain K12) GN=lpxC PE=3 SV=1	lpxC	33916.22523	76.84005237430837	2606124.523012039	5855927442.311763
b0097	107705	108217	1	gene		107705	0	P62395					5809958.571344681	5861737400.883107
b0098	108279	110984	1	gene		108279	0	P10408	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	secA	101940.9335	547.3153595835515	55793838.67483541	5917531239.557942
b0099	111044	111433	1	gene		111044	0	P08337	Mutator mutT protein OS=Escherichia coli (strain K12) GN=mutT PE=1 SV=1	mutT	14899.60803	3.5269337432545265	52549.930322273096	5917583789.488265
b0101	111649	111846	-1	gene		111649	0	P0A8H8	UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1	yacG	7283.40821	151.45572990375985	1103113.9066325868	5918686903.394897
b0102	111856	112599	-1	gene		111856	0	P36680	UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2	yacF	28255.84769	285.6296277558993	8070707.257622087	5926757610.652519
b0103	112599	113219	-1	gene		112599	0	P0A6I9	Dephospho-CoA kinase OS=Escherichia coli (strain K12) GN=coaE PE=1 SV=1	coaE	22589.85479	63.85582230135969	1442493.753283759	5928200104.405803
b0104	113444	114487	1	gene		113444	0	P60560	GMP reductase OS=Escherichia coli (strain K12) GN=guaC PE=1 SV=1	guaC	37341.7954	848.3379278183869	31678461.330654174	5959878565.736457
b0106	114522	115724	-1	gene		114522	0	P36646					5809958.571344681	5965688524.307801
b0107	115714	117099	-1	gene		115724	0	P36645					5809958.571344681	5971498482.879146
b0108	117109	117549	-1	gene		117109	0	P36647					5809958.571344681	5977308441.45049
PM0-10364	117550	117705	-1	promoter	[b0108, b0107, b0106]	117550	0						5809958.571344681	5983118400.021834
b0109	117752	118645	-1	gene		117752	0	P30011	Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) GN=nadC PE=1 SV=7	nadC	32723.94863	509.68495109560814	16678904.157136742	5999797304.178971
PM0-36221	118646	118663	-1	promoter	[b0109]	118646	0						5809958.571344681	6005607262.750316
PM0-36222	118703	118732	1	promoter	[b0110, b0111]	118703	0						5809958.571344681	6011417221.32166
b0110	118733	119284	1	gene		118733	0	P13016					5809958.571344681	6017227179.893004
b0111	119281	120135	1	gene		119284	0	P0AE14	Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1	ampE	32083.28877	0.5083483309322102	16309.486297045623	6017243489.379301
b0112	120178	121551	-1	gene		120178	0	P15993	Aromatic amino acid transport protein AroP OS=Escherichia coli (strain K12) GN=aroP PE=1 SV=3	aroP	49639.28287	144.14933841214156	7155469.784963652	6024398959.164265
PM00014	121552	121671	-1	promoter	[b0112]	121552	0						5809958.571344681	6030208917.735609
PM00324	122034	122091	1	promoter	[b0113, b0114, b0115, b0116]	122034	0						5809958.571344681	6036018876.306953
b0113	122092	122856	1	gene		122092	0	P0ACL9	Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1	pdhR	29389.36331	53.019618573079704	1558212.8328018633	6037577089.139755
PM00325	122969	123016	1	promoter	[b0115, b0114]	122969	0						5809958.571344681	6043387047.7111
b0114	123017	125680	1	gene		123017	0	P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	aceE	99587.94042	4470.052880856243	445163359.9729609	6488550407.68406
b0115	125695	127587	1	gene		125695	0						5809958.571344681	6494360366.255404
PM00326	127717	127911	1	promoter	[b0116]	127717	0						5809958.571344681	6500170324.826749
b0116	127912	129336	1	gene		127912	0	P0A9P0	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	lpdA	50638.58341	12054.7228025701	610434086.122375	7110604410.949123
b0117	129407	131260	-1	gene		129407	0	P36682					5809958.571344681	7116414369.520468
PM263	131519	131614	1	promoter	[b0118]	131519	0						5809958.571344681	7122224328.091812
b0118	131615	134212	1	gene		131615	0	P36683	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	acnB	93420.9457	9625.639731367994	899236366.6718919	8021460694.763704
PM0-9961	134339	134387	1	promoter	[b0119]	134339	0						5809958.571344681	8027270653.335049
b0119	134388	134750	1	gene		134388	0	P0A8E5	UPF0231 protein yacL OS=Escherichia coli (strain K12) GN=yacL PE=3 SV=1	yacL	13914.52935	279.96750236409673	3895616.0286914185	8031166269.36374
b0120	134788	135582	-1	gene		134788	0	P0A7F6	S-adenosylmethionine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=speD PE=1 SV=1	speD	30347.05278	1479.8272563615978	44908395.854088	8076074665.217828
b0121	135598	136464	-1	gene		135598	0	P09158	Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2	speE	32282.72207	1276.2585367166848	41201099.63028963	8117275764.848118
b0122	136570	136917	-1	gene		136570	0	P0AA95	Uncharacterized protein yacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	yacC	12827.36993	43.26106167185575	554925.641629438	8117830690.489747
PM0-7801	136918	136940	-1	promoter	[b0122, b0120, b0121]	136918	0						5809958.571344681	8123640649.061091
PM0-3304	137045	137082	1	promoter	[b0123]	137045	0						5809958.571344681	8129450607.632436
b0123	137083	138633	1	gene		137083	0	P36649	Blue copper oxidase CueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2	cueO	56501.41538	494.27210306322513	27927073.40592145	8157377681.038357
b0124	138835	141225	-1	gene		138835	0	P15877	Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) GN=gcd PE=1 SV=3	gcd	86673.81201	2.813905851586928	243891.94679428436	8157621572.985151
PM0-2223	141226	141279	-1	promoter	[b0124]	141226	0						5809958.571344681	8163431531.556496
PM0-2221	141360	141430	1	promoter	[b0125]	141360	0						5809958.571344681	8169241490.12784
b0125	141431	141967	1	gene		141431	0	P0A9M2	Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1	hpt	20084.39054	1231.6745847546838	24737433.3784054	8193978923.506246
b0126	142008	142670	-1	gene		142008	0	P61517	Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1	can	25062.79563	5015.244755630901	125696054.34480655	8319674977.851052
PM0-9710	142671	142703	-1	promoter	[b0126]	142671	0						5809958.571344681	8325484936.422397
b0127	142779	143705	1	gene		142779	0	P36879	Uncharacterized ABC transporter ATP-binding protein YadG OS=Escherichia coli (strain K12) GN=yadG PE=1 SV=1	yadG	34607.32501	61.94312942862984	2143686.0122730886	8327628622.4346695
b0128	143702	144472	1	gene		143705	0	P0AFN6					5809958.571344681	8333438581.006014
b0129	144577	145017	1	gene		144577	0	P36881					5809958.571344681	8339248539.577358
b0130	145081	146310	1	gene		145081	0	P31666					5809958.571344681	8345058498.148703
b0131	146314	146694	-1	gene		146314	0						5809958.571344681	8350868456.720047
PM0-46355	146695	146754	-1	promoter	[b0131]	146695	0						5809958.571344681	8356678415.291391
b0132	146968	147870	1	gene		146968	0	P31665					5809958.571344681	8362488373.862736
b0133	147944	148795	-1	gene		147944	0	P31663	Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1	panC	31559.67743	1324.1975938754028	41791248.91628986	8404279622.779026
b0134	148807	149601	-1	gene		148807	0	P31057	3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1	panB	28201.38237	2236.941151740946	63084832.75943461	8467364455.538461
PM0-10209	149602	149630	-1	promoter	[b0133, b0134]	149602	0						5809958.571344681	8473174414.109805
b0135	149715	150953	-1	gene		149715	0	P31058					5809958.571344681	8478984372.6811495
b0136	151003	151599	-1	gene		151003	0	P37016					5809958.571344681	8484794331.252494
b0137	151626	152231	-1	gene		151626	0	P37017					5809958.571344681	8490604289.823838
b0138	152243	152812	-1	gene		152243	0	P37018					5809958.571344681	8496414248.395183
b0139	152829	155426	-1	gene		152829	0						5809958.571344681	8502224206.966527
b0140	155461	156201	-1	gene		155461	0	P33128					5809958.571344681	8508034165.537871
PM00553	156202	156235	-1	promoter	[b0139, b0140]	156202	0						5809958.571344681	8513844124.109216
b0141	156299	156883	-1	gene		156299	0	P37050					5809958.571344681	8519654082.68056
b0142	157253	157732	-1	gene		157253	0	P26281	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase OS=Escherichia coli (strain K12) GN=folK PE=1 SV=3	folK	18049.36747	63.70052784777676	1149754.2351574912	8520803836.915718
