gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass	iBAQ_W3110	iBAQ_W3110_cumulative_abundance	iBAQ_Step04	iBAQ_Step04_cumulative_abundance	iBAQ_Step05	iBAQ_Step05_cumulative_abundance	iBAQ_Step09	iBAQ_Step09_cumulative_abundance	iBAQ_Step10	iBAQ_Step10_cumulative_abundance
b0009	9306	9893	1	gene		9306	0	P0AF03				4.59165577905e-07			0.654043419469	3.88864363589e-05	0.00536962291488	4.11298431016e-05	0.00597693848246	2.83097429464e-05	0.00783984920752	5.62379544561e-05	0.00825921077792	4.96530717607e-05	0.00870426526038
b0010	9928	10494	-1	gene		9928	0	P0AC98				4.59165577905e-07			0.654043878635	-8.1839794332e-07	0.00540850935124	-3.56448835719e-07	0.00601806832556	-0.0	0.00786815895047	-0.0	0.00831544873237	-0.0	0.00875391833214
b0011	10643	11356	-1	gene		10643	0	P75617				4.59165577905e-07			0.6540443378	-8.1839794332e-07	0.0054076909533	-3.56448835719e-07	0.00601771187673	-0.0	0.00786815895047	-0.0	0.00831544873237	-0.0	0.00875391833214
b0013	11382	11786	-1	gene		11382	0	P28696				4.59165577905e-07			0.654044796966	-8.1839794332e-07	0.00540687255535	-3.56448835719e-07	0.00601735542789	-0.0	0.00786815895047	-0.0	0.00831544873237	-0.0	0.00875391833214
PM00316	12048	12162	1	promoter	[b0014, b0015]	12048	0					4.59165577905e-07			0.654045256131	-8.1839794332e-07	0.00540605415741	-3.56448835719e-07	0.00601699897906	-0.0	0.00786815895047	-0.0	0.00831544873237	-0.0	0.00875391833214
b0014	12163	14079	1	gene		12163	0	P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	Cytoplasm	2.11444145515	2.13341398632	2.23639286906	0.654045715297	0.00185492709599	0.00540523575947	0.00219462300271	0.00601664253022	0.00237254040167	0.00786815895047	0.00233879756994	0.00831544873237	0.00248550733158	0.00875391833214
b0015	14168	15298	1	gene		14168	0	P08622	Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3	dnaJ	Cytoplasm	0.046931806474	0.046635303958	0.0504594326252	2.76848717045	0.000102696587319	0.00726016285546	0.000158380799406	0.00821126553293	0.000175997799773	0.0102406993521	0.000143088754283	0.0106542463023	0.000184393460315	0.0112394256637
b0016	15445	16557	1	gene		15445	0	P0CF91				4.59165577905e-07			2.81541897692	-8.1839794332e-07	0.00736285944278	-3.56448835719e-07	0.00836964633234	-0.0	0.0104166971519	-0.0	0.0107973350566	-0.0	0.011423819124
b0018	16751	16960	-1	gene		16751	0	P33236				4.59165577905e-07			2.81541943609	-8.1839794332e-07	0.00736204104483	-3.56448835719e-07	0.00836893343466	-0.0	0.0104166971519	-0.0	0.0107973350566	-0.0	0.011423819124
b4412	16751	16903	-1	gene		16960	1	P0ACG4				4.59165577905e-07			2.81541989525	-8.1839794332e-07	0.00736122264689	-3.56448835719e-07	0.0083692898835	-0.0	0.0104166971519	-0.0	0.0107973350566	-0.0	0.011423819124
b4413	16952	17006	1	gene		16960	0					4.59165577905e-07			2.81542035442	-8.1839794332e-07	0.00736040424895	-3.56448835719e-07	0.00836857698583	-0.0	0.0104166971519	-0.0	0.0107973350566	-0.0	0.011423819124
b0019	17489	18655	1	gene		17489	0	P13738				4.59165577905e-07			2.81542081358	-8.1839794332e-07	0.007359585851	-3.56448835719e-07	0.00836822053699	-0.0	0.0104166971519	-0.0	0.0107973350566	-0.0	0.011423819124
b0020	18715	19620	1	gene		18715	0	P0A9G2				4.59165577905e-07			2.81542127275	-8.1839794332e-07	0.00735876745306	-3.56448835719e-07	0.00836786408816	-0.0	0.0104166971519	-0.0	0.0107973350566	-0.0	0.011423819124
b0021	19811	20314	-1	gene		19811	0	P0CF25				4.59165577905e-07			2.81542173191	-8.1839794332e-07	0.00735794905512	-3.56448835719e-07	0.00836750763932	-0.0	0.0104166971519	-0.0	0.0107973350566	-0.0	0.011423819124
b0022	20233	20508	-1	gene		20314	0	P0CF07				4.59165577905e-07			2.81542219108	-8.1839794332e-07	0.00735713065717	-3.56448835719e-07	0.00836715119049	-0.0	0.0104166971519	-0.0	0.0107973350566	-0.0	0.011423819124
b0023	20815	21078	-1	gene		20815	0	P0A7U7	30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2	rpsT	Cytoplasm	0.470434370372	0.434623932344	0.462671227224	2.81542265025	0.00941365186337	0.00735631225923	0.0112582838639	0.00836679474165	0.00735779914241	0.0104166971519	0.00888792044262	0.0107973350566	0.00907492935461	0.011423819124
PM0-8222	21079	21210	-1	promoter	[b0023]	21079	0					4.59165577905e-07			3.28585702062	-8.1839794332e-07	0.0167699641226	-3.56448835719e-07	0.0196250786056	-0.0	0.0177744962943	-0.0	0.0196852554992	-0.0	0.0204987484786
b0024	21181	21399	1	gene		21210	0	P75620				4.59165577905e-07			3.28585747978	-8.1839794332e-07	0.0167691457247	-3.56448835719e-07	0.0196247221568	-0.0	0.0177744962943	-0.0	0.0196852554992	-0.0	0.0204987484786
PM0-8866	21383	21406	1	promoter	[b0025, b0026, b0027, b0028, b0029]	21399	0					4.59165577905e-07			3.28585793895	-8.1839794332e-07	0.0167683273267	-3.56448835719e-07	0.0196243657079	-0.0	0.0177744962943	-0.0	0.0196852554992	-0.0	0.0204987484786
b0025	21407	22348	1	gene		21407	0	P0AG40				4.59165577905e-07			3.28585839811	9.49504805231e-06	0.0167675089288	9.15324232964e-06	0.0196240092591	2.01039819719e-05	0.0177744962943	1.74212562818e-05	0.0196852554992	1.15855369903e-05	0.0204987484786
PM0-9552	21833	22390	1	promoter	[b0029, b0028, b0027, b0026]	22348	0					4.59165577905e-07			3.28585885728	-8.1839794332e-07	0.0167770039768	-3.56448835719e-07	0.0196331625014	-0.0	0.0177946002763	-0.0	0.0197026767555	-0.0	0.0205103340156
b0026	22391	25207	1	gene		22391	0	P00956	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	Cytoplasm	0.374859990798	0.37808994614	0.374424653727	3.28585931645	0.000261135468116	0.0167761855789	0.00028417199211	0.0196328060526	0.000315279059138	0.0177946002763	0.000348241255181	0.0197026767555	0.000340609976321	0.0205103340156
PM0-9328	25014	25206	1	promoter	[b0029, b0028, b0027]	25207	1					4.59165577905e-07			3.66071930724	-8.1839794332e-07	0.017037321047	-3.56448835719e-07	0.0199169780447	-0.0	0.0181098793354	-0.0	0.0200509180107	-0.0	0.020850943992
b0027	25207	25701	1	gene		25207	0	P00804				4.59165577905e-07			3.66071976641	-8.1839794332e-07	0.0170365026491	-3.56448835719e-07	0.0199166215958	-0.0	0.0181098793354	-0.0	0.0200509180107	-0.0	0.020850943992
b0028	25826	26275	1	gene		25826	0	P0AEM0				4.59165577905e-07			3.66072022557	0.000137033052064	0.0170356842511	0.000162697702533	0.019916265147	0.000181419661417	0.0181098793354	0.000177089415368	0.0200509180107	0.000151130313268	0.020850943992
b0029	26277	27227	1	gene		26277	0	P62623				4.59165577905e-07			3.66072068474	5.19583324769e-05	0.0171727173032	6.96623868658e-05	0.0200789628495	5.92920752538e-05	0.0182912989968	6.00968462287e-05	0.020228007426	6.26663732959e-05	0.0210020743052
b0030	27293	28207	1	gene		27293	0	P22564				4.59165577905e-07			3.66072114391	-8.1839794332e-07	0.0172246756357	-3.56448835719e-07	0.0201486252364	-0.0	0.0183505910721	-0.0	0.0202881042723	-0.0	0.0210647406785
PM0-9557	28288	28373	1	promoter	[b0031]	28288	0					4.59165577905e-07			3.66072160307	-8.1839794332e-07	0.0172238572377	-3.56448835719e-07	0.0201482687876	-0.0	0.0183505910721	-0.0	0.0202881042723	-0.0	0.0210647406785
b0031	28374	29195	1	gene		28374	0	P04036	Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	dapB	Cytoplasm	0.146974326696	0.148858692285	0.14479858336	3.66072206224	0.000314794684948	0.0172230388398	0.000434512615903	0.0201479123387	0.00036174145827	0.0183505910721	0.000283444935866	0.0202881042723	0.000297421076456	0.0210647406785
PM00151	29551	29650	1	promoter	[b0032, b0033]	29551	0					4.59165577905e-07			3.80769638893	-8.1839794332e-07	0.0175378335247	-3.56448835719e-07	0.0205824249546	-0.0	0.0187123325304	-0.0	0.0205715492081	-0.0	0.021362161755
b0032	29651	30799	1	gene		29651	0	P0A6F1	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1	carA	Cytoplasm	0.634904795643	0.645944242603	0.636126122663	3.8076968481	0.000627725266916	0.0175370151268	0.0022296665182	0.0205820685058	0.00155705483184	0.0187123325304	0.00140842942061	0.0205715492081	0.00137524836705	0.021362161755
PM00319	30775	30816	1	promoter	[b0033]	30799	0					4.59165577905e-07			4.44260164374	-8.1839794332e-07	0.0181647403937	-3.56448835719e-07	0.022811735024	-0.0	0.0202693873622	-0.0	0.0219799786288	-0.0	0.022737410122
b0033	30817	34038	1	gene		30817	0	P00968				4.59165577905e-07			4.44260210291	0.00050177439482	0.0181639219957	0.00174598549805	0.0228113785752	0.00121172256558	0.0202693873622	0.00117819720099	0.0219799786288	0.00120182028762	0.022737410122
PM338	34218	34299	1	promoter	[b0034]	34218	0					4.59165577905e-07			4.44260256207	-8.1839794332e-07	0.0186656963906	-3.56448835719e-07	0.0245573640732	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0034	34300	34695	1	gene		34300	0	P0AE58				4.59165577905e-07			4.44260302124	-8.1839794332e-07	0.0186648779926	-3.56448835719e-07	0.0245570076244	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0035	34781	35371	-1	gene		34781	0	P39206				4.59165577905e-07			4.4426034804	-8.1839794332e-07	0.0186640595947	-3.56448835719e-07	0.0245566511755	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0036	35377	36162	-1	gene		35377	0	P31551				4.59165577905e-07			4.44260393957	-8.1839794332e-07	0.0186632411967	-3.56448835719e-07	0.0245562947267	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0037	36271	37824	-1	gene		36271	0	P31552				4.59165577905e-07			4.44260439873	-8.1839794332e-07	0.0186624227988	-3.56448835719e-07	0.0245559382779	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0038	37898	39115	-1	gene		37898	0	P31572				4.59165577905e-07			4.4426048579	-8.1839794332e-07	0.0186616044008	-3.56448835719e-07	0.024555581829	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0039	39244	40386	-1	gene		39244	0	P60584				4.59165577905e-07			4.44260531707	-8.1839794332e-07	0.0186607860029	-3.56448835719e-07	0.0245552253802	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0040	40417	41931	-1	gene		40417	0	P31553				4.59165577905e-07			4.44260577623	-8.1839794332e-07	0.018659967605	-3.56448835719e-07	0.0245548689314	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
PM00528	41932	42037	-1	promoter	[b0035, b0036, b0037, b0038, b0039, b0040]	41932	0					4.59165577905e-07			4.4426062354	-8.1839794332e-07	0.018659149207	-3.56448835719e-07	0.0245545124825	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
PM339	42325	42402	1	promoter	[b0044, b0043, b0042, b0041]	42325	0					4.59165577905e-07			4.44260669456	-8.1839794332e-07	0.0186583308091	-3.56448835719e-07	0.0245541560337	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0041	42403	43173	1	gene		42403	0	P60566				4.59165577905e-07			4.44260715373	-8.1839794332e-07	0.0186575124111	-3.56448835719e-07	0.0245537995849	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0042	43188	44129	1	gene		43188	0	P31574				4.59165577905e-07			4.44260761289	-8.1839794332e-07	0.0186566940132	-3.56448835719e-07	0.024553443136	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0043	44180	45466	1	gene		44180	0	P68644				4.59165577905e-07			4.44260807206	-8.1839794332e-07	0.0186558756152	-3.56448835719e-07	0.0245530866872	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0044	45463	45750	1	gene		45466	0	P68646				4.59165577905e-07			4.44260853122	-8.1839794332e-07	0.0186550572173	-3.56448835719e-07	0.0245527302384	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
PM0-10464	45592	45806	1	promoter	[b0045]	45750	0					4.59165577905e-07			4.44260899039	-8.1839794332e-07	0.0186542388194	-3.56448835719e-07	0.0245523737895	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0045	45807	47138	1	gene		45807	0	P31679				4.59165577905e-07			4.44260944956	-8.1839794332e-07	0.0186534204214	-3.56448835719e-07	0.0245520173407	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0046	47246	47776	1	gene		47246	0	P0A754				4.59165577905e-07			4.44260990872	-8.1839794332e-07	0.0186526020235	-3.56448835719e-07	0.0245516608918	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0047	47769	49631	1	gene		47776	0	P03819	Glutathione-regulated potassium-efflux system protein kefC OS=Escherichia coli (strain K12) GN=kefC PE=1 SV=2	kefC	Cell inner membrane	0.000394487454016	0.00019359249523	0.000251315619286	4.44261036789	-8.1839794332e-07	0.0186517836255	-3.56448835719e-07	0.024551304443	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
PM00320	49799	49822	1	promoter	[b0048]	49799	0					4.59165577905e-07			4.44300485534	-8.1839794332e-07	0.0186509652276	-3.56448835719e-07	0.0245509479942	-0.0	0.0214811099278	-0.0	0.0231581758297	-0.0	0.0239392304096
b0048	49823	50302	1	gene		49823	0	P0ABQ4				4.59165577905e-07			4.44300531451	3.86876267441e-05	0.0186501468296	3.17431850289e-05	0.0245505915453	3.49194848984e-05	0.0214811099278	2.65917076598e-05	0.0231581758297	2.74573386607e-05	0.0239392304096
b0049	50380	51222	-1	gene		50380	0	P05637				4.59165577905e-07			4.44300577367	2.14910268759e-05	0.0186888344564	1.49780099501e-05	0.0245823347304	1.35071941129e-05	0.0215160294127	9.32366301982e-06	0.0231847675374	9.42533942958e-06	0.0239666877483
b0050	51229	51606	-1	gene		51229	0	P62672				4.59165577905e-07			4.44300623284	-8.1839794332e-07	0.0187103254833	-3.56448835719e-07	0.0245973127403	-0.0	0.0215295366068	-0.0	0.0231940912004	-0.0	0.0239761130877
PM0-5442	51607	52034	-1	promoter	[b0049, b0050]	51607	0					4.59165577905e-07			4.443006692	-8.1839794332e-07	0.0187095070853	-3.56448835719e-07	0.0245969562915	-0.0	0.0215295366068	-0.0	0.0231940912004	-0.0	0.0239761130877
b0051	51609	52430	-1	gene		52034	0	P06992	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	rsmA	Cytoplasm	0.0127459924345	0.0127404480353	0.0127995413381	4.44300715117	4.44722431716e-05	0.0187086886874	4.00381241822e-05	0.0245965998426	2.9701149033e-05	0.0215295366068	4.53588381058e-05	0.0231940912004	3.44272666023e-05	0.0239761130877
b0052	52427	53416	-1	gene		52430	0	P19624	4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1	pdxA	Cytoplasm	0.0114389758414	0.0104856264487	0.0107161028837	4.4557531436	6.67546120713e-05	0.0187531609305	6.56518156811e-05	0.0246366379668	3.28167142007e-05	0.0215592377558	3.73761922019e-05	0.0232394500385	3.92600369241e-05	0.0240105403543
PM0-5426	52431	52588	-1	promoter	[b0049, b0050, b0051]	53416	1					4.59165577905e-07			4.46719211944	-8.1839794332e-07	0.0188199155426	-3.56448835719e-07	0.0247022897825	-0.0	0.02159205447	-0.0	0.0232768262307	-0.0	0.0240498003913
b0053	53416	54702	-1	gene		53416	0	P0ABZ6	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	surA	Periplasm	0.121890588924	0.118610744351	0.121956300375	4.46719257861	0.000192743998536	0.0188190971447	0.000214925042849	0.0247019333337	0.000173144889455	0.02159205447	0.000220654774597	0.0232768262307	0.000201944330248	0.0240498003913
b0054	54755	57109	-1	gene		54755	0	P31554	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	lptD	Cell outer membrane	0.0677138401869	0.0778787134849	0.0781780385135	4.58908316753	0.0001844535179	0.0190118411432	0.000190235439458	0.0249168583765	0.000185672423658	0.0217651993595	0.000183745250614	0.0234974810053	0.000187449217251	0.0242517447215
PM0-4525	57110	57241	-1	promoter	[b0054]	57336	1					4.59165577905e-07			4.65679746689	-8.1839794332e-07	0.0191954762632	-3.56448835719e-07	0.0251067373671	-0.0	0.0219508717831	-0.0	0.0236812262559	-0.0	0.0244391939388
PM0-4527	57110	57336	-1	promoter	[b0052, b0053, b0054]	57110	0					4.59165577905e-07			4.65679700772	-8.1839794332e-07	0.0191962946611	-3.56448835719e-07	0.025107093816	-0.0	0.0219508717831	-0.0	0.0236812262559	-0.0	0.0244391939388
b0055	57364	58179	1	gene		57364	0	P31680	DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1	djlA	Cell inner membrane	5.13264721789e-05	5.63843056564e-06	0.000301304207658	4.65679792605	1.26554814128e-05	0.0191946578652	1.28445649924e-05	0.0251063809183	5.25067225575e-06	0.0219508717831	1.02923247717e-05	0.0236812262559	7.39070423469e-06	0.0244391939388
b4659	58474	59279	1	gene		58474	0					4.59165577905e-07			4.65684925252	-8.1839794332e-07	0.0192073133466	-3.56448835719e-07	0.0251192254833	-0.0	0.0219561224554	-0.0	0.0236915185807	-0.0	0.024446584643
b0058	59687	60346	-1	gene		59687	0	P0AA37				4.59165577905e-07			4.65684971169	-8.1839794332e-07	0.0192064949487	-3.56448835719e-07	0.0251188690345	-0.0	0.0219561224554	-0.0	0.0236915185807	-0.0	0.024446584643
b0059	60358	63264	-1	gene		60358	0	P60240				4.59165577905e-07			4.65685017086	3.62916083861e-05	0.0192056765507	4.7510909606e-05	0.0251185125856	3.73694138419e-05	0.0219561224554	3.10035462113e-05	0.0236915185807	3.0722091336e-05	0.024446584643
PM0-4081	63265	63358	-1	promoter	[b0058, b0059]	63265	0					4.59165577905e-07			4.65685063002	-8.1839794332e-07	0.0192411497612	-3.56448835719e-07	0.0251656670464	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
PM0-9741	63265	63588	-1	promoter	[b0059]	63358	0					4.59165577905e-07			4.65685108919	-8.1839794332e-07	0.0192419681591	-3.56448835719e-07	0.0251660234952	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0060	63429	65780	-1	gene		63588	0	P21189				4.59165577905e-07			4.65685154835	-8.1839794332e-07	0.0192403313632	-3.56448835719e-07	0.0251653105976	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
PM0-7961	65781	65803	-1	promoter	[b0060]	65781	0					4.59165577905e-07			4.65685200752	-8.1839794332e-07	0.0192395129653	-3.56448835719e-07	0.0251649541487	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0061	65855	66550	-1	gene		65855	0	P08203				4.59165577905e-07			4.65685246668	-8.1839794332e-07	0.0192386945674	-3.56448835719e-07	0.0251645976999	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0062	66835	68337	-1	gene		66835	0	P08202				4.59165577905e-07			4.65685292585	-8.1839794332e-07	0.0192378761694	-3.56448835719e-07	0.0251642412511	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0063	68348	70048	-1	gene		68348	0	P08204				4.59165577905e-07			4.65685338501	-8.1839794332e-07	0.0192370577715	-3.56448835719e-07	0.0251638848022	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
PM00003	70049	70075	-1	promoter	[b0061, b0062, b0063]	70049	0					4.59165577905e-07			4.65685384418	-8.1839794332e-07	0.0192362393735	-3.56448835719e-07	0.0251635283534	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
PM00004	70241	70386	1	promoter	[b0064]	70241	0					4.59165577905e-07			4.65685430335	-8.1839794332e-07	0.0192354209756	-3.56448835719e-07	0.0251631719046	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0064	70387	71265	1	gene		70387	0	P0A9E0				4.59165577905e-07			4.65685476251	-8.1839794332e-07	0.0192346025776	-3.56448835719e-07	0.0251628154557	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
PM0-9957	71271	71350	1	promoter	[b0065]	71271	0					4.59165577905e-07			4.65685522168	-8.1839794332e-07	0.0192337841797	-3.56448835719e-07	0.0251624590069	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0065	71351	72115	1	gene		71351	0	P30149				4.59165577905e-07			4.65685568084	-8.1839794332e-07	0.0192329657818	-3.56448835719e-07	0.025162102558	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0066	72229	72927	-1	gene		72229	0	P31548				4.59165577905e-07			4.65685614001	-8.1839794332e-07	0.0192321473838	-3.56448835719e-07	0.0251617461092	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0067	72911	74521	-1	gene		72927	0	P31549				4.59165577905e-07			4.65685659917	-8.1839794332e-07	0.0192313289859	-3.56448835719e-07	0.0251613896604	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0068	74497	75480	-1	gene		74521	0	P31550	Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=thiB PE=1 SV=2	thiB	Periplasm	0.0021441311645	0.00110843257592	0.000897934048369	4.65685705834	-8.1839794332e-07	0.0192305105879	-3.56448835719e-07	0.0251610332115	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
sroA	75516	75608	-1	gene		75516	0					4.59165577905e-07			4.6590011895	-8.1839794332e-07	0.01922969219	-3.56448835719e-07	0.0251606767627	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
PM0-9626	75609	75608	-1	promoter	[sroA]	75609	1					4.59165577905e-07			4.65900164867	-8.1839794332e-07	0.019228873792	-3.56448835719e-07	0.0251603203139	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0069	75644	77299	-1	gene		75644	0	P33595				4.59165577905e-07			4.65900210783	-8.1839794332e-07	0.0192280553941	-3.56448835719e-07	0.025159963865	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
PM0-9592	77300	77338	-1	promoter	[b0069, b0068, b0067, b0066]	77300	0					4.59165577905e-07			4.659002567	-8.1839794332e-07	0.0192272369962	-3.56448835719e-07	0.0251596074162	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
PM0-9591	77367	77366	1	promoter	[b4662, b0070, b4577]	77367	1					4.59165577905e-07			4.65900302617	-8.1839794332e-07	0.0192264185982	-3.56448835719e-07	0.0251588945185	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b4577	77367	77593	1	gene		77367	0					4.59165577905e-07			4.65900348533	-8.1839794332e-07	0.0192256002003	-3.56448835719e-07	0.0251592509674	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b4662	77388	77519	1	gene		77593	1	C1P5Z7				4.59165577905e-07			4.6590039445	-8.1839794332e-07	0.0192247818023	-3.56448835719e-07	0.0251585380697	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0070	77621	78799	1	gene		77621	0	P31675				4.59165577905e-07			4.65900440366	-8.1839794332e-07	0.0192239634044	-3.56448835719e-07	0.0251581816209	-0.0	0.0219934918692	-0.0	0.0237225221269	-0.0	0.0244773067343
b0071	78848	79453	-1	gene		78848	0	P30126				4.59165577905e-07			4.65900486283	0.00116430608777	0.0192231450064	0.00194631147505	0.025157825172	0.00215428886325	0.0219934918692	0.00164324500723	0.0237225221269	0.00166359623039	0.0244773067343
