gene_or_promoter	start	end	strand	class	genes_in_TU	start_if_select_as_start	cannot_as_start	Uniprot	Description	Gene	Cellular protein location (according to www.uniprot.org)	A14.07036	A14.07037	A14.07038	cumulativeMass	W3110_control	W3110_control_cumulative_abundance	W3110_cumate	W3110_cumate_cumulative_abundance	Step_06_control	Step_06_control_cumulative_abundance	Step_06_cumate	Step_06_cumate_cumulative_abundance	Step_07_control	Step_07_control_cumulative_abundance	Step_07_cumate	Step_07_cumate_cumulative_abundance	Step_11_control	Step_11_control_cumulative_abundance	Step_11_cumate	Step_11_cumate_cumulative_abundance	Step_12_lowOD_control	Step_12_lowOD_control_cumulative_abundance	Step_12_lowOD_cumate	Step_12_lowOD_cumate_cumulative_abundance	Step_15_control	Step_15_control_cumulative_abundance	Step_15_cumate	Step_15_cumate_cumulative_abundance	Step_16_control	Step_16_control_cumulative_abundance	Step_16_cumate	Step_16_cumate_cumulative_abundance	MGF-01_control	MGF-01_control_cumulative_abundance	MGF-01_cumate	MGF-01_cumate_cumulative_abundance	MGF-02_control	MGF-02_control_cumulative_abundance	MGF-02_cumate	MGF-02_cumate_cumulative_abundance
b0009	9306	9893	1	gene		9306	0	P0AF03				4.59165577905e-07			0.654043419469	0.000137030345437	0.00367506115193	0.000117361526989	0.00396563849232	0.000161377391118	0.00416858814656	0.0001340460874	0.00490230702508	0.000122283252388	0.00418025653926	0.000122181603039	0.00524563057756	0.000142175931553	0.0045041919419	8.80158710885e-05	0.00484874613755	0.000127475608171	0.00416212819277	7.16715834424e-05	0.00430529722179	0.000170151309965	0.00440861112376	0.000107396381917	0.00426767341503	0.000179717033757	0.00423206617636	9.46434876864e-05	0.00442248334333	0.000154881935448	0.00364593374622	9.787341289e-05	0.00475239516474	0.000159264364312	0.00412714988983	9.6219959146e-05	0.00424129838029
b0010	9928	10494	-1	gene		9928	0	P0AC98				4.59165577905e-07			0.654043878635	-0.0	0.00381209149736	-0.0	0.00408300001931	-0.0	0.00432996553768	-0.0	0.00503635311248	-0.0	0.00430253979165	-0.0	0.00536781218059	-0.0	0.00464636787345	-0.0	0.00493676200864	-0.0	0.00428960380094	-0.0	0.00437696880523	-0.0	0.00457876243372	-0.0	0.00437506979695	-0.0	0.00441178321012	-0.0	0.00451712683102	-0.0	0.00380081568167	-0.0	0.00485026857763	-0.0	0.00428641425414	-0.0	0.00433751833944
b0011	10643	11356	-1	gene		10643	0	P75617				4.59165577905e-07			0.6540443378	-0.0	0.00381209149736	-0.0	0.00408300001931	-0.0	0.00432996553768	-0.0	0.00503635311248	-0.0	0.00430253979165	-0.0	0.00536781218059	-0.0	0.00464636787345	-0.0	0.00493676200864	-0.0	0.00428960380094	-0.0	0.00437696880523	-0.0	0.00457876243372	-0.0	0.00437506979695	-0.0	0.00441178321012	-0.0	0.00451712683102	-0.0	0.00380081568167	-0.0	0.00485026857763	-0.0	0.00428641425414	-0.0	0.00433751833944
b0013	11382	11786	-1	gene		11382	0	P28696				4.59165577905e-07			0.654044796966	-0.0	0.00381209149736	-0.0	0.00408300001931	-0.0	0.00432996553768	-0.0	0.00503635311248	-0.0	0.00430253979165	-0.0	0.00536781218059	-0.0	0.00464636787345	-0.0	0.00493676200864	-0.0	0.00428960380094	-0.0	0.00437696880523	-0.0	0.00457876243372	-0.0	0.00437506979695	-0.0	0.00441178321012	-0.0	0.00451712683102	-0.0	0.00380081568167	-0.0	0.00485026857763	-0.0	0.00428641425414	-0.0	0.00433751833944
PM00316	12048	12162	1	promoter	[b0014, b0015]	12048	0					4.59165577905e-07			0.654045256131	-0.0	0.00381209149736	-0.0	0.00408300001931	-0.0	0.00432996553768	-0.0	0.00503635311248	-0.0	0.00430253979165	-0.0	0.00536781218059	-0.0	0.00464636787345	-0.0	0.00493676200864	-0.0	0.00428960380094	-0.0	0.00437696880523	-0.0	0.00457876243372	-0.0	0.00437506979695	-0.0	0.00441178321012	-0.0	0.00451712683102	-0.0	0.00380081568167	-0.0	0.00485026857763	-0.0	0.00428641425414	-0.0	0.00433751833944
b0014	12163	14079	1	gene		12163	0	P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	Cytoplasm	2.11444145515	2.13341398632	2.23639286906	0.654045715297	0.00422698558694	0.00381209149736	0.00496498590223	0.00408300001931	0.00463939932246	0.00432996553768	0.00726757747297	0.00503635311248	0.00492663640302	0.00430253979165	0.00866486452431	0.00536781218059	0.00541808909753	0.00464636787345	0.00805447221855	0.00493676200864	0.00526254043284	0.00428960380094	0.00706785962942	0.00437696880523	0.00613082607323	0.00457876243372	0.00662710785622	0.00437506979695	0.00706598809746	0.00441178321012	0.00770673858657	0.00451712683102	0.00627738399741	0.00380081568167	0.00978254693028	0.00485026857763	0.00722758355852	0.00428641425414	0.00951641103396	0.00433751833944
b0015	14168	15298	1	gene		14168	0	P08622	Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3	dnaJ	Cytoplasm	0.046931806474	0.046635303958	0.0504594326252	2.76848717045	0.00035819017322	0.00803907708431	0.000443013673526	0.00904798592154	0.000367692116608	0.00896936486014	0.000610820163832	0.0123039305855	0.000377216508133	0.00922917619467	0.000650659766035	0.0140326767049	0.000370358281033	0.010064456971	0.000605623137324	0.0129912342272	0.000409303364173	0.00955214423377	0.000413655651744	0.0114448284347	0.000408251442846	0.010709588507	0.000505907715613	0.0110021776532	0.000362389135442	0.0114777713076	0.000612695501239	0.0122238654176	0.000385972148444	0.0100781996791	0.000629061322072	0.0146328155079	0.000297353176042	0.0115139978127	0.00054687122899	0.0138539293734
b0016	15445	16557	1	gene		15445	0	P0CF91				4.59165577905e-07			2.81541897692	-0.0	0.00839726725752	-0.0	0.00949099959507	-0.0	0.00933705697675	-0.0	0.0129147507493	-0.0	0.0096063927028	-0.0	0.0146833364709	-0.0	0.010434815252	-0.0	0.0135968573645	-0.0	0.00996144759795	-0.0	0.0118584840864	-0.0	0.0111178399498	-0.0	0.0115080853688	-0.0	0.011840160443	-0.0	0.0128365609188	-0.0	0.0104641718275	-0.0	0.01526187683	-0.0	0.0118113509887	-0.0	0.0144008006024
b0018	16751	16960	-1	gene		16751	0	P33236				4.59165577905e-07			2.81541943609	-0.0	0.00839726725752	-0.0	0.00949099959507	-0.0	0.00933705697675	-0.0	0.0129147507493	-0.0	0.0096063927028	-0.0	0.0146833364709	-0.0	0.010434815252	-0.0	0.0135968573645	-0.0	0.00996144759795	-0.0	0.0118584840864	-0.0	0.0111178399498	-0.0	0.0115080853688	-0.0	0.011840160443	-0.0	0.0128365609188	-0.0	0.0104641718275	-0.0	0.01526187683	-0.0	0.0118113509887	-0.0	0.0144008006024
b4412	16751	16903	-1	gene		16960	1	P0ACG4				4.59165577905e-07			2.81541989525	-0.0	0.00839726725752	-0.0	0.00949099959507	-0.0	0.00933705697675	-0.0	0.0129147507493	-0.0	0.0096063927028	-0.0	0.0146833364709	-0.0	0.010434815252	-0.0	0.0135968573645	-0.0	0.00996144759795	-0.0	0.0118584840864	-0.0	0.0111178399498	-0.0	0.0115080853688	-0.0	0.011840160443	-0.0	0.0128365609188	-0.0	0.0104641718275	-0.0	0.01526187683	-0.0	0.0118113509887	-0.0	0.0144008006024
b4413	16952	17006	1	gene		16960	0					4.59165577905e-07			2.81542035442	-0.0	0.00839726725752	-0.0	0.00949099959507	-0.0	0.00933705697675	-0.0	0.0129147507493	-0.0	0.0096063927028	-0.0	0.0146833364709	-0.0	0.010434815252	-0.0	0.0135968573645	-0.0	0.00996144759795	-0.0	0.0118584840864	-0.0	0.0111178399498	-0.0	0.0115080853688	-0.0	0.011840160443	-0.0	0.0128365609188	-0.0	0.0104641718275	-0.0	0.01526187683	-0.0	0.0118113509887	-0.0	0.0144008006024
b0019	17489	18655	1	gene		17489	0	P13738				4.59165577905e-07			2.81542081358	-0.0	0.00839726725752	-0.0	0.00949099959507	-0.0	0.00933705697675	-0.0	0.0129147507493	-0.0	0.0096063927028	-0.0	0.0146833364709	-0.0	0.010434815252	-0.0	0.0135968573645	-0.0	0.00996144759795	-0.0	0.0118584840864	-0.0	0.0111178399498	-0.0	0.0115080853688	-0.0	0.011840160443	-0.0	0.0128365609188	-0.0	0.0104641718275	-0.0	0.01526187683	-0.0	0.0118113509887	-0.0	0.0144008006024
b0020	18715	19620	1	gene		18715	0	P0A9G2				4.59165577905e-07			2.81542127275	0.000304318981545	0.00839726725752	0.000180276621538	0.00949099959507	0.000330733158317	0.00933705697675	0.000264431740327	0.0129147507493	0.000344362792062	0.0096063927028	0.000268972700056	0.0146833364709	0.000366376855675	0.010434815252	0.000162750147596	0.0135968573645	0.000194113807129	0.00996144759795	0.000449332018248	0.0118584840864	0.000327952519803	0.0111178399498	0.000279567815866	0.0115080853688	0.00036691506529	0.011840160443	0.000191138154139	0.0128365609188	0.000209060875412	0.0104641718275	0.000159411553115	0.01526187683	0.000191150963675	0.0118113509887	0.000259727220116	0.0144008006024
b0021	19811	20314	-1	gene		19811	0	P0CF25				4.59165577905e-07			2.81542173191	-0.0	0.00870158623907	-0.0	0.0096712762166	-0.0	0.00966779013506	-0.0	0.0131791824896	-0.0	0.00995075549487	-0.0	0.014952309171	-0.0	0.0108011921077	-0.0	0.0137596075121	-0.0	0.0101555614051	-0.0	0.0123078161046	-0.0	0.0114457924696	-0.0	0.0117876531846	-0.0	0.0122070755083	-0.0	0.013027699073	-0.0	0.0106732327029	-0.0	0.0154212883831	-0.0	0.0120025019524	-0.0	0.0146605278225
b0022	20233	20508	-1	gene		20314	0	P0CF07				4.59165577905e-07			2.81542219108	-0.0	0.00870158623907	-0.0	0.0096712762166	-0.0	0.00966779013506	-0.0	0.0131791824896	-0.0	0.00995075549487	-0.0	0.014952309171	-0.0	0.0108011921077	-0.0	0.0137596075121	-0.0	0.0101555614051	-0.0	0.0123078161046	-0.0	0.0114457924696	-0.0	0.0117876531846	-0.0	0.0122070755083	-0.0	0.013027699073	-0.0	0.0106732327029	-0.0	0.0154212883831	-0.0	0.0120025019524	-0.0	0.0146605278225
b0023	20815	21078	-1	gene		20815	0	P0A7U7	30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2	rpsT	Cytoplasm	0.470434370372	0.434623932344	0.462671227224	2.81542265025	0.0032226224568	0.00870158623907	0.00250554252097	0.0096712762166	0.00283167983456	0.00966779013506	0.00256166225873	0.0131791824896	0.00322026056117	0.00995075549487	0.00251434945941	0.014952309171	0.00311585509686	0.0108011921077	0.00220972901582	0.0137596075121	0.00288832570837	0.0101555614051	0.0043086548665	0.0123078161046	0.00259247653912	0.0114457924696	0.00281823239525	0.0117876531846	0.00305823500559	0.0122070755083	0.0033477048208	0.013027699073	0.0033113631522	0.0106732327029	0.00279907193746	0.0154212883831	0.00290845220378	0.0120025019524	0.00268212541567	0.0146605278225
PM0-8222	21079	21210	-1	promoter	[b0023]	21079	0					4.59165577905e-07			3.28585702062	-0.0	0.0119242086959	-0.0	0.0121768187376	-0.0	0.0124994699696	-0.0	0.0157408447483	-0.0	0.013171016056	-0.0	0.0174666586304	-0.0	0.0139170472046	-0.0	0.0159693365279	-0.0	0.0130438871134	-0.0	0.0166164709711	-0.0	0.0140382690087	-0.0	0.0146058855799	-0.0	0.0152653105139	-0.0	0.0163754038938	-0.0	0.0139845958551	-0.0	0.0182203603206	-0.0	0.0149109541562	-0.0	0.0173426532382
b0024	21181	21399	1	gene		21210	0	P75620				4.59165577905e-07			3.28585747978	-0.0	0.0119242086959	-0.0	0.0121768187376	-0.0	0.0124994699696	-0.0	0.0157408447483	-0.0	0.013171016056	-0.0	0.0174666586304	-0.0	0.0139170472046	-0.0	0.0159693365279	-0.0	0.0130438871134	-0.0	0.0166164709711	-0.0	0.0140382690087	-0.0	0.0146058855799	-0.0	0.0152653105139	-0.0	0.0163754038938	-0.0	0.0139845958551	-0.0	0.0182203603206	-0.0	0.0149109541562	-0.0	0.0173426532382
PM0-8866	21383	21406	1	promoter	[b0025, b0026, b0027, b0028, b0029]	21399	0					4.59165577905e-07			3.28585793895	-0.0	0.0119242086959	-0.0	0.0121768187376	-0.0	0.0124994699696	-0.0	0.0157408447483	-0.0	0.013171016056	-0.0	0.0174666586304	-0.0	0.0139170472046	-0.0	0.0159693365279	-0.0	0.0130438871134	-0.0	0.0166164709711	-0.0	0.0140382690087	-0.0	0.0146058855799	-0.0	0.0152653105139	-0.0	0.0163754038938	-0.0	0.0139845958551	-0.0	0.0182203603206	-0.0	0.0149109541562	-0.0	0.0173426532382
b0025	21407	22348	1	gene		21407	0	P0AG40				4.59165577905e-07			3.28585839811	5.07064102363e-05	0.0119242086959	2.72144715024e-05	0.0121768187376	4.57205543085e-05	0.0124994699696	3.93799185287e-05	0.0157408447483	5.41990543755e-05	0.013171016056	3.88620766667e-05	0.0174666586304	4.31397090046e-05	0.0139170472046	3.60006489227e-05	0.0159693365279	3.9563727447e-05	0.0130438871134	4.67273929354e-05	0.0166164709711	4.75603144047e-05	0.0140382690087	3.69639380307e-05	0.0146058855799	5.1766101188e-05	0.0152653105139	4.44672186023e-05	0.0163754038938	3.76870727061e-05	0.0139845958551	4.26363913137e-05	0.0182203603206	5.15962261991e-05	0.0149109541562	4.38750240644e-05	0.0173426532382
PM0-9552	21833	22390	1	promoter	[b0029, b0028, b0027, b0026]	22348	0					4.59165577905e-07			3.28585885728	-0.0	0.0119749151061	-0.0	0.0122040332091	-0.0	0.0125451905239	-0.0	0.0157802246669	-0.0	0.0132252151104	-0.0	0.0175055207071	-0.0	0.0139601869136	-0.0	0.0160053371769	-0.0	0.0130834508409	-0.0	0.0166631983641	-0.0	0.0140858293231	-0.0	0.0146428495179	-0.0	0.0153170766151	-0.0	0.0164198711124	-0.0	0.0140222829278	-0.0	0.0182629967119	-0.0	0.0149625503824	-0.0	0.0173865282622
b0026	22391	25207	1	gene		22391	0	P00956	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	Cytoplasm	0.374859990798	0.37808994614	0.374424653727	3.28585931645	0.00108850485018	0.0119749151061	0.00122099767134	0.0122040332091	0.00114886895504	0.0125451905239	0.00126526852885	0.0157802246669	0.00101998389603	0.0132252151104	0.00124193901548	0.0175055207071	0.00111892726085	0.0139601869136	0.00106139860229	0.0160053371769	0.00120984690899	0.0130834508409	0.00115078743456	0.0166631983641	0.00111789613426	0.0140858293231	0.00129062600712	0.0146428495179	0.00110498997496	0.0153170766151	0.001402479078	0.0164198711124	0.00116804809393	0.0140222829278	0.00131457457909	0.0182629967119	0.00106225787597	0.0149625503824	0.00107269898259	0.0173865282622
PM0-9328	25014	25206	1	promoter	[b0029, b0028, b0027]	25207	1					4.59165577905e-07			3.66071930724	-0.0	0.0130634199563	-0.0	0.0134250308804	-0.0	0.013694059479	-0.0	0.0170454931957	-0.0	0.0142451990064	-0.0	0.0187474597226	-0.0	0.0150791141744	-0.0	0.0170667357791	-0.0	0.0142932977499	-0.0	0.0178139857986	-0.0	0.0152037254574	-0.0	0.015933475525	-0.0	0.01642206659	-0.0	0.0178223501904	-0.0	0.0151903310218	-0.0	0.019577571291	-0.0	0.0160248082583	-0.0	0.0184592272448
b0027	25207	25701	1	gene		25207	0	P00804				4.59165577905e-07			3.66071976641	-0.0	0.0130634199563	-0.0	0.0134250308804	-0.0	0.013694059479	-0.0	0.0170454931957	-0.0	0.0142451990064	-0.0	0.0187474597226	-0.0	0.0150791141744	-0.0	0.0170667357791	-0.0	0.0142932977499	-0.0	0.0178139857986	-0.0	0.0152037254574	-0.0	0.015933475525	-0.0	0.01642206659	-0.0	0.0178223501904	-0.0	0.0151903310218	-0.0	0.019577571291	-0.0	0.0160248082583	-0.0	0.0184592272448
b0028	25826	26275	1	gene		25826	0	P0AEM0				4.59165577905e-07			3.66072022557	7.32663473729e-06	0.0130634199563	1.14875923149e-05	0.0134250308804	1.1973820152e-05	0.013694059479	1.32294519508e-05	0.0170454931957	8.98991300721e-06	0.0142451990064	6.21735556019e-06	0.0187474597226	8.74795079055e-06	0.0150791141744	1.59712423083e-05	0.0170667357791	2.12669265869e-05	0.0142932977499	4.7743248383e-06	0.0178139857986	6.37702503993e-06	0.0152037254574	1.4049353172e-05	0.015933475525	5.85677908148e-06	0.01642206659	1.37909265115e-05	0.0178223501904	8.21901404299e-06	0.0151903310218	1.2774625686e-05	0.019577571291	2.92781900337e-06	0.0160248082583	2.63242243285e-05	0.0184592272448
b0029	26277	27227	1	gene		26277	0	P62623				4.59165577905e-07			3.66072068474	0.000135906527129	0.013070746591	0.000147916854706	0.0134365184727	0.000125817041316	0.0137060332991	0.000156448295977	0.0170587226477	0.0001097153218	0.0142541889194	0.00017779485364	0.0187536770781	0.000120174058358	0.0150878621252	7.96151242308e-05	0.0170827070215	0.000118342023917	0.0143145646765	0.000145690294133	0.0178187601235	0.000133240167612	0.0152101024824	0.000109850612964	0.0159475248782	0.000131414897906	0.0164279233691	0.000118651870769	0.0178361411169	0.000127197033937	0.0151985500358	9.45912253107e-05	0.0195903459166	0.000123708108365	0.0160277360773	9.42112203447e-05	0.0184855514692
b0030	27293	28207	1	gene		27293	0	P22564				4.59165577905e-07			3.66072114391	0.0	0.0132066531182	0.0	0.0135844353274	0.0	0.0138318503404	0.0	0.0172151709436	0.0	0.0143639042412	0.0	0.0189314719318	0.0	0.0152080361836	6.32895156369e-06	0.0171623221457	4.50952677238e-06	0.0144329067004	1.21081024067e-06	0.0179644504176	5.61230073874e-07	0.01534334265	0.0	0.0160573754912	0.0	0.016559338267	0.0	0.0179547929877	0.0	0.0153257470698	2.86941969995e-06	0.019684937142	0.0	0.0161514441857	7.37138579272e-06	0.0185797626895
PM0-9557	28288	28373	1	promoter	[b0031]	28288	0					4.59165577905e-07			3.66072160307	-0.0	0.0132066531182	-0.0	0.0135844353274	-0.0	0.0138318503404	-0.0	0.0172151709436	-0.0	0.0143639042412	-0.0	0.0189314719318	-0.0	0.0152080361836	-0.0	0.0171686510972	-0.0	0.0144374162272	-0.0	0.0179656612279	-0.0	0.0153439038801	-0.0	0.0160573754912	-0.0	0.016559338267	-0.0	0.0179547929877	-0.0	0.0153257470698	-0.0	0.0196878065617	-0.0	0.0161514441857	-0.0	0.0185871340753
b0031	28374	29195	1	gene		28374	0	P04036	Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	dapB	Cytoplasm	0.146974326696	0.148858692285	0.14479858336	3.66072206224	0.000121449527658	0.0132066531182	0.00011305302501	0.0135844353274	0.00012726858323	0.0138318503404	0.00011898555969	0.0172151709436	0.000125293231839	0.0143639042412	0.000132450418371	0.0189314719318	0.000132345715506	0.0152080361836	0.000125320396599	0.0171686510972	0.000139478857432	0.0144374162272	0.000100115842078	0.0179656612279	0.000143566340039	0.0153439038801	0.000131869982434	0.0160573754912	0.000148183117654	0.016559338267	0.000122743657411	0.0179547929877	0.000149432911775	0.0153257470698	0.000131496498273	0.0196878065617	0.000156540309105	0.0161514441857	0.000118131158251	0.0185871340753
PM00151	29551	29650	1	promoter	[b0032, b0033]	29551	0					4.59165577905e-07			3.80769638893	-0.0	0.0133281026458	-0.0	0.0136974883524	-0.0	0.0139591189237	-0.0	0.0173341565033	-0.0	0.0144891974731	-0.0	0.0190639223501	-0.0	0.0153403818991	-0.0	0.0172939714938	-0.0	0.0145768950846	-0.0	0.0180657770699	-0.0	0.0154874702202	-0.0	0.0161892454736	-0.0	0.0167075213847	-0.0	0.0180775366451	-0.0	0.0154751799815	-0.0	0.0198193030599	-0.0	0.0163079844948	-0.0	0.0187052652335
b0032	29651	30799	1	gene		29651	0	P0A6F1	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1	carA	Cytoplasm	0.634904795643	0.645944242603	0.636126122663	3.8076968481	0.00104323481991	0.0133281026458	0.000889768764419	0.0136974883524	0.0016764031501	0.0139591189237	0.00122383602113	0.0173341565033	0.00169253051414	0.0144891974731	0.00128773918547	0.0190639223501	0.00225339118567	0.0153403818991	0.0015283129082	0.0172939714938	0.00250259379592	0.0145768950846	0.00120181724341	0.0180657770699	0.00195950060044	0.0154874702202	0.00142571019584	0.0161892454736	0.00179960263235	0.0167075213847	0.00121025875459	0.0180775366451	0.000541278804059	0.0154751799815	0.000487825293913	0.0198193030599	0.000474559100364	0.0163079844948	0.000561914521019	0.0187052652335
