E_coli_K12	E_coli_W3110	Identity_E_coli_K12.to.E_coli_W3110	Identity_E_coli_W3110.to.E_coli_K12
sp|P39187|YTFJ_ECOLI	W3110_lambdaRed.CDS.4241	100.0	100.0
sp|P39196|LPLT_ECOLI	W3110_lambdaRed.CDS.2836	100.0	100.0
sp|P39199|PRMB_ECOLI	W3110_lambdaRed.CDS.2337	100.0	100.0
sp|P39206|CAIE_ECOLI	W3110_lambdaRed.CDS.31	100.0	100.0
sp|P39208|IDNK_ECOLI	W3110_lambdaRed.CDS.4291	100.0	100.0
sp|P39212|INSN2_ECOLI	W3110_lambdaRed.CDS.4306	100.0	100.0
sp|P39220|YABP_ECOLI	W3110_lambdaRed.CDS.52	100.0	100.0
sp|P39221|YABQ_ECOLI	W3110_lambdaRed.CDS.53	100.0	100.0
sp|P39263|YFCC_ECOLI	W3110_lambdaRed.CDS.2304	100.0	100.0
sp|P39264|FIMI_ECOLI	W3110_lambdaRed.CDS.4347	100.0	100.0
sp|P39265|ALSB_ECOLI	W3110_lambdaRed.CDS.4114	100.0	100.0
sp|P39267|YJCZ_ECOLI	W3110_lambdaRed.CDS.4136	100.0	100.0
sp|P39270|YJDF_ECOLI	W3110_lambdaRed.CDS.4147	100.0	100.0
sp|P39274|YJDJ_ECOLI	W3110_lambdaRed.CDS.4154	100.0	100.0
sp|P39343|IDNR_ECOLI	W3110_lambdaRed.CDS.4287	100.0	100.0
sp|P39344|IDNT_ECOLI	W3110_lambdaRed.CDS.4288	100.0	100.0
sp|P39347|INTB_ECOLI	W3110_lambdaRed.CDS.4294	100.0	100.0
sp|P39389|YJIR_ECOLI	W3110_lambdaRed.CDS.4377	100.0	100.0
sp|P39393|YJIV_ECOLI	W3110_lambdaRed.CDS.4381	100.0	100.0
sp|P39394|SYME_ECOLI	W3110_lambdaRed.CDS.4384	100.0	100.0
sp|P39396|BTST_ECOLI	W3110_lambdaRed.CDS.4391	100.0	100.0
sp|P39398|LGOT_ECOLI	W3110_lambdaRed.CDS.4393	100.0	100.0
sp|P39399|LGOR_ECOLI	W3110_lambdaRed.CDS.4394	100.0	100.0
sp|P39400|LGOD_ECOLI	W3110_lambdaRed.CDS.4395	100.0	100.0
sp|P39401|OPGB_ECOLI	W3110_lambdaRed.CDS.4396	100.0	100.0
sp|P39404|BGLJ_ECOLI	W3110_lambdaRed.CDS.4403	100.0	100.0
sp|P39405|FHUF_ECOLI	W3110_lambdaRed.CDS.4404	100.0	100.0
sp|P39406|RSMC_ECOLI	W3110_lambdaRed.CDS.4406	100.0	100.0
sp|P39407|YJJU_ECOLI	W3110_lambdaRed.CDS.4413	100.0	100.0
sp|P39408|YJJV_ECOLI	W3110_lambdaRed.CDS.4414	100.0	100.0
sp|P39410|YJJJ_ECOLI	W3110_lambdaRed.CDS.4423	100.0	100.0
sp|P39411|NCPP_ECOLI	W3110_lambdaRed.CDS.4433	100.0	100.0
sp|P39414|TTDT_ECOLI	W3110_lambdaRed.CDS.3063	100.0	100.0
sp|P39451|ADHP_ECOLI	W3110_lambdaRed.CDS.1461	100.0	100.0
sp|P39452|RIR3_ECOLI	W3110_lambdaRed.CDS.2668	100.0	100.0
sp|P39829|GARD_ECOLI	W3110_lambdaRed.CDS.3130	100.0	100.0
sp|P39830|YBAL_ECOLI	W3110_lambdaRed.CDS.479	100.0	100.0
sp|P39831|YDFG_ECOLI	W3110_lambdaRed.CDS.1525	100.0	100.0
sp|P39832|ZNUB_ECOLI	W3110_lambdaRed.CDS.1851	100.0	100.0
sp|P39834|YGIL_ECOLI	W3110_lambdaRed.CDS.3042	100.0	100.0
sp|P39835|GNTT_ECOLI	W3110_lambdaRed.CDS.3882	100.0	100.0
sp|P39836|YFEH_ECOLI	W3110_lambdaRed.CDS.2414	100.0	100.0
sp|P39838|RCSD_ECOLI	W3110_lambdaRed.CDS.2213	100.0	100.0
sp|P39902|SPRT_ECOLI	W3110_lambdaRed.CDS.2941	100.0	100.0
sp|P40120|OPGD_ECOLI	W3110_lambdaRed.CDS.1404	100.0	100.0
sp|P40191|PDXK_ECOLI	W3110_lambdaRed.CDS.2423	100.0	100.0
sp|P40710|NLPE_ECOLI	W3110_lambdaRed.CDS.194	100.0	100.0
sp|P39390|YJIS_ECOLI	W3110_lambdaRed.CDS.4378	100.0	100.0
sp|P39386|MDTM_ECOLI	W3110_lambdaRed.CDS.4373	100.0	100.0
sp|P39349|YJGX_ECOLI	W3110_lambdaRed.CDS.4299	100.0	100.0
sp|P39385|YJIN_ECOLI	W3110_lambdaRed.CDS.4372	100.0	100.0
sp|P39352|YJHB_ECOLI	W3110_lambdaRed.CDS.4302	100.0	100.0
sp|P39353|YJHC_ECOLI	W3110_lambdaRed.CDS.4303	100.0	100.0
sp|P39355|YJHE_ECOLI	W3110_lambdaRed.CDS.4305	100.0	100.0
sp|P39356|YJHU_ECOLI	W3110_lambdaRed.CDS.4321	100.0	100.0
sp|P39357|YJHF_ECOLI	W3110_lambdaRed.CDS.4323	100.0	100.0
sp|P39358|YJHG_ECOLI	W3110_lambdaRed.CDS.4324	100.0	100.0
sp|P39359|YJHH_ECOLI	W3110_lambdaRed.CDS.4325	100.0	100.0
sp|P39360|YJHI_ECOLI	W3110_lambdaRed.CDS.4326	100.0	100.0
sp|P39361|SGCR_ECOLI	W3110_lambdaRed.CDS.4327	100.0	100.0
sp|P39362|SGCE_ECOLI	W3110_lambdaRed.CDS.4328	100.0	100.0
sp|P39363|SGCA_ECOLI	W3110_lambdaRed.CDS.4329	100.0	100.0
sp|P39364|SGCQ_ECOLI	W3110_lambdaRed.CDS.4330	100.0	100.0
sp|P39365|SGCC_ECOLI	W3110_lambdaRed.CDS.4331	100.0	100.0
sp|P39366|SGCX_ECOLI	W3110_lambdaRed.CDS.4333	100.0	100.0
sp|P39367|YJHP_ECOLI	W3110_lambdaRed.CDS.4334	100.0	100.0
sp|P39368|YJHQ_ECOLI	W3110_lambdaRed.CDS.4335	100.0	100.0
sp|P39369|YJHR_ECOLI	W3110_lambdaRed.CDS.4339	100.0	100.0
sp|P39370|NANS_ECOLI	W3110_lambdaRed.CDS.4340	100.0	100.0
sp|P39371|NANM_ECOLI	W3110_lambdaRed.CDS.4341	100.0	100.0
sp|P39374|YJIC_ECOLI	W3110_lambdaRed.CDS.4357	100.0	100.0
sp|P39375|IRAD_ECOLI	W3110_lambdaRed.CDS.4360	100.0	100.0
sp|P39376|YJIE_ECOLI	W3110_lambdaRed.CDS.4361	100.0	100.0
sp|P39377|IADA_ECOLI	W3110_lambdaRed.CDS.4362	100.0	100.0
sp|P39379|YJIH_ECOLI	W3110_lambdaRed.CDS.4364	100.0	100.0
sp|P39380|KPTA_ECOLI	W3110_lambdaRed.CDS.4366	100.0	100.0
sp|P39381|YJIJ_ECOLI	W3110_lambdaRed.CDS.4367	100.0	100.0
sp|P39382|YJIK_ECOLI	W3110_lambdaRed.CDS.4368	100.0	100.0
sp|P39383|YJIL_ECOLI	W3110_lambdaRed.CDS.4370	100.0	100.0
sp|P39384|YJIM_ECOLI	W3110_lambdaRed.CDS.4371	100.0	100.0
sp|P38135|FADK_ECOLI	W3110_lambdaRed.CDS.1686	100.0	100.0
sp|P38134|ETK_ECOLI	W3110_lambdaRed.CDS.986	100.0	100.0
sp|P38105|RSPB_ECOLI	W3110_lambdaRed.CDS.1562	100.0	100.0
sp|P37387|XYLF_ECOLI	W3110_lambdaRed.CDS.3719	100.0	100.0
sp|P37440|UCPA_ECOLI	W3110_lambdaRed.CDS.2431	100.0	100.0
sp|P37443|YCAI_ECOLI	W3110_lambdaRed.CDS.917	100.0	100.0
sp|P37590|PMRD_ECOLI	W3110_lambdaRed.CDS.2262	100.0	100.0
sp|P37595|IAAA_ECOLI	W3110_lambdaRed.CDS.830	100.0	100.0
sp|P37596|NORW_ECOLI	W3110_lambdaRed.CDS.2703	100.0	100.0
sp|P37597|YDHC_ECOLI	W3110_lambdaRed.CDS.1645	100.0	100.0
sp|P37610|TAUD_ECOLI	W3110_lambdaRed.CDS.364	100.0	100.0
sp|P37613|PANZ_ECOLI	W3110_lambdaRed.CDS.3837	100.0	100.0
sp|P37614|YHHL_ECOLI	W3110_lambdaRed.CDS.3830	100.0	100.0
sp|P37615|YHHM_ECOLI	W3110_lambdaRed.CDS.3829	100.0	100.0
sp|P37617|ZNTA_ECOLI	W3110_lambdaRed.CDS.3827	100.0	100.0
sp|P37619|QPTR_ECOLI	W3110_lambdaRed.CDS.3825	100.0	100.0
sp|P37621|YHHS_ECOLI	W3110_lambdaRed.CDS.3823	100.0	100.0
sp|P37623|ACPT_ECOLI	W3110_lambdaRed.CDS.3821	100.0	100.0
sp|P37624|RBBA_ECOLI	W3110_lambdaRed.CDS.3811	100.0	100.0
sp|P37626|YHII_ECOLI	W3110_lambdaRed.CDS.3810	100.0	100.0
sp|P37627|YHIJ_ECOLI	W3110_lambdaRed.CDS.3808	100.0	100.0
sp|P37630|YHIM_ECOLI	W3110_lambdaRed.CDS.3804	100.0	100.0
sp|P37631|YHIN_ECOLI	W3110_lambdaRed.CDS.3803	100.0	100.0
sp|P37634|RLMJ_ECOLI	W3110_lambdaRed.CDS.3796	100.0	100.0
sp|P37635|YHIS_ECOLI	W3110_lambdaRed.CDS.3788	100.0	100.0
sp|P37636|MDTE_ECOLI	W3110_lambdaRed.CDS.3778	100.0	100.0
sp|P37637|MDTF_ECOLI	W3110_lambdaRed.CDS.3777	100.0	100.0
sp|P37639|GADX_ECOLI	W3110_lambdaRed.CDS.3775	100.0	100.0
sp|P37640|YHJB_ECOLI	W3110_lambdaRed.CDS.3771	100.0	100.0
sp|P37641|YHJC_ECOLI	W3110_lambdaRed.CDS.3770	100.0	100.0
sp|P37642|YHJD_ECOLI	W3110_lambdaRed.CDS.3769	100.0	100.0
sp|P37643|YHJE_ECOLI	W3110_lambdaRed.CDS.3768	100.0	100.0
sp|P37645|YHJG_ECOLI	W3110_lambdaRed.CDS.3767	100.0	100.0
sp|P37388|XYLG_ECOLI	W3110_lambdaRed.CDS.3718	100.0	100.0
sp|P37355|MENH_ECOLI	W3110_lambdaRed.CDS.2266	100.0	100.0
sp|P37648|YHJJ_ECOLI	W3110_lambdaRed.CDS.3763	100.0	100.0
sp|P37353|MENE_ECOLI	W3110_lambdaRed.CDS.2263	100.0	100.0
sp|P37095|PEPB_ECOLI	W3110_lambdaRed.CDS.2525	100.0	100.0
sp|P37127|AEGA_ECOLI	W3110_lambdaRed.CDS.2464	100.0	100.0
sp|P37128|NUDK_ECOLI	W3110_lambdaRed.CDS.2463	100.0	100.0
sp|P37146|RIR4_ECOLI	W3110_lambdaRed.CDS.2669	100.0	100.0
sp|P37147|FXSA_ECOLI	W3110_lambdaRed.CDS.4167	100.0	100.0
sp|P37177|PT1P_ECOLI	W3110_lambdaRed.CDS.2829	100.0	100.0
sp|P37180|HYBB_ECOLI	W3110_lambdaRed.CDS.2995	100.0	100.0
sp|P37182|HYBD_ECOLI	W3110_lambdaRed.CDS.2993	100.0	100.0
sp|P37188|PTKB_ECOLI	W3110_lambdaRed.CDS.2079	100.0	100.0
sp|P37194|SLP_ECOLI	W3110_lambdaRed.CDS.3785	100.0	100.0
sp|P37195|DCTR_ECOLI	W3110_lambdaRed.CDS.3784	100.0	100.0
sp|P37197|YHJA_ECOLI	W3110_lambdaRed.CDS.3773	100.0	100.0
sp|P37305|HOKA_ECOLI	W3110_lambdaRed.CDS.3730	100.0	100.0
sp|P37306|ARCC_ECOLI	W3110_lambdaRed.CDS.520	100.0	100.0
sp|P37309|ARSR_ECOLI	W3110_lambdaRed.CDS.3792	100.0	100.0
sp|P37313|DPPF_ECOLI	W3110_lambdaRed.CDS.3748	100.0	100.0
sp|P37325|YBCH_ECOLI	W3110_lambdaRed.CDS.567	100.0	100.0
sp|P37326|INTS_ECOLI	W3110_lambdaRed.CDS.2356	100.0	100.0
sp|P37327|YFDC_ECOLI	W3110_lambdaRed.CDS.2355	100.0	100.0
sp|P37329|MODA_ECOLI	W3110_lambdaRed.CDS.760	100.0	100.0
sp|P37330|MASZ_ECOLI	W3110_lambdaRed.CDS.2975	100.0	100.0
sp|P37338|CSIR_ECOLI	W3110_lambdaRed.CDS.2657	100.0	100.0
sp|P37339|LHGO_ECOLI	W3110_lambdaRed.CDS.2653	100.0	100.0
sp|P37340|MDTK_ECOLI	W3110_lambdaRed.CDS.1648	100.0	100.0
sp|P37342|YJJI_ECOLI	W3110_lambdaRed.CDS.4417	100.0	100.0
sp|P37344|PSPF_ECOLI	W3110_lambdaRed.CDS.1279	100.0	100.0
sp|P37348|YECE_ECOLI	W3110_lambdaRed.CDS.1860	100.0	100.0
sp|P37349|DHAM_ECOLI	W3110_lambdaRed.CDS.1166	100.0	100.0
sp|P37351|RPIB_ECOLI	W3110_lambdaRed.CDS.4116	100.0	100.0
sp|P37647|KDGK_ECOLI	W3110_lambdaRed.CDS.3764	100.0	100.0
sp|P37649|PDEK_ECOLI	W3110_lambdaRed.CDS.3760	100.0	100.0
sp|P38104|RSPA_ECOLI	W3110_lambdaRed.CDS.1563	100.0	100.0
sp|P37744|RMLA1_ECOLI	W3110_lambdaRed.CDS.2024	100.0	100.0
sp|P37747|GLF_ECOLI	W3110_lambdaRed.CDS.2021	100.0	100.0
sp|P37748|RFC_ECOLI	W3110_lambdaRed.CDS.2020	100.0	100.0
sp|P37749|WBBI_ECOLI	W3110_lambdaRed.CDS.2019	100.0	100.0
sp|P37751|WBBK_ECOLI	W3110_lambdaRed.CDS.2018	100.0	100.0
sp|P37757|YDDE_ECOLI	W3110_lambdaRed.CDS.1446	100.0	100.0
sp|P37758|NARU_ECOLI	W3110_lambdaRed.CDS.1451	100.0	100.0
sp|P37759|RMLB1_ECOLI	W3110_lambdaRed.CDS.2026	100.0	100.0
sp|P37760|RMLD_ECOLI	W3110_lambdaRed.CDS.2025	100.0	100.0
sp|P37765|RLUB_ECOLI	W3110_lambdaRed.CDS.1239	100.0	100.0
sp|P37766|YDIF_ECOLI	W3110_lambdaRed.CDS.1678	100.0	100.0
sp|P37767|YFHH_ECOLI	W3110_lambdaRed.CDS.2564	100.0	100.0
sp|P37769|KDUD_ECOLI	W3110_lambdaRed.CDS.2843	100.0	100.0
sp|P37772|YJFF_ECOLI	W3110_lambdaRed.CDS.4255	100.0	100.0
sp|P37773|MPL_ECOLI	W3110_lambdaRed.CDS.4257	100.0	100.0
sp|P37774|YECC_ECOLI	W3110_lambdaRed.CDS.1909	100.0	100.0
sp|P37794|CHBG_ECOLI	W3110_lambdaRed.CDS.1719	100.0	100.0
sp|P37902|GLTI_ECOLI	W3110_lambdaRed.CDS.666	100.0	100.0
sp|P37903|USPF_ECOLI	W3110_lambdaRed.CDS.1354	100.0	100.0
sp|P37906|PUUB_ECOLI	W3110_lambdaRed.CDS.1277	100.0	100.0
sp|P37909|YBGD_ECOLI	W3110_lambdaRed.CDS.722	100.0	100.0
sp|P38035|RTCR_ECOLI	W3110_lambdaRed.CDS.3876	100.0	100.0
sp|P38036|CAS3_ECOLI	W3110_lambdaRed.CDS.2757	100.0	100.0
sp|P38038|CYSJ_ECOLI	W3110_lambdaRed.CDS.2760	100.0	100.0
sp|P38051|MENF_ECOLI	W3110_lambdaRed.CDS.2268	100.0	100.0
sp|P38052|SFMF_ECOLI	W3110_lambdaRed.CDS.534	100.0	100.0
sp|P38054|CUSA_ECOLI	W3110_lambdaRed.CDS.576	100.0	100.0
sp|P38055|YDJE_ECOLI	W3110_lambdaRed.CDS.1757	100.0	100.0
sp|P38097|DGCE_ECOLI	W3110_lambdaRed.CDS.2053	100.0	100.0
sp|P38101|EAMB_ECOLI	W3110_lambdaRed.CDS.2581	100.0	100.0
sp|P37746|RFBX_ECOLI	W3110_lambdaRed.CDS.2022	100.0	100.0
sp|P37692|RFAF_ECOLI	W3110_lambdaRed.CDS.3662	100.0	100.0
sp|P37650|BCSC_ECOLI	W3110_lambdaRed.CDS.3759	100.0	100.0
sp|P37691|YIBQ_ECOLI	W3110_lambdaRed.CDS.3668	100.0	100.0
sp|P37651|GUN_ECOLI	W3110_lambdaRed.CDS.3758	100.0	100.0
sp|P37652|BCSB_ECOLI	W3110_lambdaRed.CDS.3757	100.0	100.0
sp|P37653|BCSA_ECOLI	W3110_lambdaRed.CDS.3756	100.0	100.0
sp|P37659|BCSG_ECOLI	W3110_lambdaRed.CDS.3751	100.0	100.0
sp|P37660|YHJV_ECOLI	W3110_lambdaRed.CDS.3749	100.0	100.0
sp|P37661|EPTB_ECOLI	W3110_lambdaRed.CDS.3741	100.0	100.0
sp|P37662|YHJX_ECOLI	W3110_lambdaRed.CDS.3740	100.0	100.0
sp|P37663|YHJY_ECOLI	W3110_lambdaRed.CDS.3739	100.0	100.0
sp|P37664|YIAC_ECOLI	W3110_lambdaRed.CDS.3737	100.0	100.0
sp|P37665|YIAD_ECOLI	W3110_lambdaRed.CDS.3735	100.0	100.0
sp|P37666|GHRB_ECOLI	W3110_lambdaRed.CDS.3734	100.0	100.0
sp|P37669|WECH_ECOLI	W3110_lambdaRed.CDS.3724	100.0	100.0
sp|P37671|YIAJ_ECOLI	W3110_lambdaRed.CDS.3711	100.0	100.0
sp|P37672|DLGD_ECOLI	W3110_lambdaRed.CDS.3710	100.0	100.0
sp|P37673|YIAL_ECOLI	W3110_lambdaRed.CDS.3709	100.0	100.0
sp|P37674|YIAM_ECOLI	W3110_lambdaRed.CDS.3708	100.0	100.0
sp|P37675|YIAN_ECOLI	W3110_lambdaRed.CDS.3707	100.0	100.0
sp|P37676|YIAO_ECOLI	W3110_lambdaRed.CDS.3706	100.0	100.0
sp|P37677|LYXK_ECOLI	W3110_lambdaRed.CDS.3705	100.0	100.0
sp|P37678|SGBH_ECOLI	W3110_lambdaRed.CDS.3704	100.0	100.0
sp|P37679|SGBU_ECOLI	W3110_lambdaRed.CDS.3703	100.0	100.0
sp|P37680|SGBE_ECOLI	W3110_lambdaRed.CDS.3702	100.0	100.0
sp|P37681|YIAT_ECOLI	W3110_lambdaRed.CDS.3701	100.0	100.0
sp|P37682|YIAU_ECOLI	W3110_lambdaRed.CDS.3700	100.0	100.0
sp|P37683|YIAV_ECOLI	W3110_lambdaRed.CDS.3699	100.0	100.0
sp|P37685|ALDB_ECOLI	W3110_lambdaRed.CDS.3696	100.0	100.0
sp|P37686|ADH2_ECOLI	W3110_lambdaRed.CDS.3695	100.0	100.0
sp|P37689|GPMI_ECOLI	W3110_lambdaRed.CDS.3670	100.0	100.0
sp|P37690|ENVC_ECOLI	W3110_lambdaRed.CDS.3669	100.0	100.0
sp|P40711|ARFB_ECOLI	W3110_lambdaRed.CDS.193	100.0	100.0
sp|P40874|MTOX_ECOLI	W3110_lambdaRed.CDS.1022	100.0	100.0
sp|P60785|LEPA_ECOLI	W3110_lambdaRed.CDS.2572	100.0	100.0
sp|P52073|GLCE_ECOLI	W3110_lambdaRed.CDS.2978	100.0	100.0
sp|P51025|SFGH1_ECOLI	W3110_lambdaRed.CDS.352	100.0	100.0
sp|P51981|AEEP_ECOLI	W3110_lambdaRed.CDS.1302	100.0	100.0
sp|P52005|TORY_ECOLI	W3110_lambdaRed.CDS.1865	100.0	100.0
sp|P52006|NUDI_ECOLI	W3110_lambdaRed.CDS.2253	100.0	100.0
sp|P52007|YECM_ECOLI	W3110_lambdaRed.CDS.1867	100.0	100.0
sp|P52043|SCPC_ECOLI	W3110_lambdaRed.CDS.2919	100.0	100.0
sp|P52044|YGFI_ECOLI	W3110_lambdaRed.CDS.2920	100.0	100.0
sp|P52045|SCPB_ECOLI	W3110_lambdaRed.CDS.2918	100.0	100.0
sp|P52048|YGGP_ECOLI	W3110_lambdaRed.CDS.2930	100.0	100.0
sp|P52052|YGGR_ECOLI	W3110_lambdaRed.CDS.2948	100.0	100.0
sp|P52060|YGGU_ECOLI	W3110_lambdaRed.CDS.2951	100.0	100.0
sp|P52061|IXTPA_ECOLI	W3110_lambdaRed.CDS.2952	100.0	100.0
sp|P52062|YGGW_ECOLI	W3110_lambdaRed.CDS.2953	100.0	100.0
sp|P52067|FSR_ECOLI	W3110_lambdaRed.CDS.480	100.0	100.0
sp|P52074|GLCF_ECOLI	W3110_lambdaRed.CDS.2977	100.0	100.0
sp|P41036|NANT_ECOLI	W3110_lambdaRed.CDS.3228	100.0	100.0
sp|P52076|QSEB_ECOLI	W3110_lambdaRed.CDS.3025	100.0	100.0
sp|P52086|COBC_ECOLI	W3110_lambdaRed.CDS.649	100.0	100.0
sp|P52094|HISQ_ECOLI	W3110_lambdaRed.CDS.2314	100.0	100.0
sp|P52095|DCLZ_ECOLI	W3110_lambdaRed.CDS.187	100.0	100.0
sp|P52096|YAER_ECOLI	W3110_lambdaRed.CDS.188	100.0	100.0
sp|P52097|TILS_ECOLI	W3110_lambdaRed.CDS.189	100.0	100.0
sp|P52101|GLRK_ECOLI	W3110_lambdaRed.CDS.2559	100.0	100.0
sp|P52102|YFHL_ECOLI	W3110_lambdaRed.CDS.2565	100.0	100.0
sp|P52107|CSGC_ECOLI	W3110_lambdaRed.CDS.1003	100.0	100.0
sp|P52108|RSTA_ECOLI	W3110_lambdaRed.CDS.1590	100.0	100.0
sp|P52119|RATB_ECOLI	W3110_lambdaRed.CDS.2617	100.0	100.0
sp|P52123|YFJH_ECOLI	W3110_lambdaRed.CDS.2621	100.0	100.0
sp|P52124|YFJI_ECOLI	W3110_lambdaRed.CDS.2623	100.0	100.0
sp|P52126|YFJK_ECOLI	W3110_lambdaRed.CDS.2624	100.0	100.0
sp|P51024|YAIL_ECOLI	W3110_lambdaRed.CDS.351	100.0	100.0
sp|P51020|HOA_ECOLI	W3110_lambdaRed.CDS.349	100.0	100.0
sp|P50466|AER_ECOLI	W3110_lambdaRed.CDS.3072	100.0	100.0
sp|P50465|END8_ECOLI	W3110_lambdaRed.CDS.717	100.0	100.0
sp|P46136|YDDG_ECOLI	W3110_lambdaRed.CDS.1454	100.0	100.0
sp|P46139|DGCN_ECOLI	W3110_lambdaRed.CDS.2603	100.0	100.0
sp|P46141|YGBE_ECOLI	W3110_lambdaRed.CDS.2743	100.0	100.0
sp|P46142|YGGM_ECOLI	W3110_lambdaRed.CDS.2954	100.0	100.0
sp|P46144|YEDJ_ECOLI	W3110_lambdaRed.CDS.1950	100.0	100.0
sp|P46187|RSEC_ECOLI	W3110_lambdaRed.CDS.2573	100.0	100.0
sp|P46478|AAEX_ECOLI	W3110_lambdaRed.CDS.3246	100.0	100.0
sp|P46481|AAEB_ECOLI	W3110_lambdaRed.CDS.3244	100.0	100.0
sp|P46482|AAEA_ECOLI	W3110_lambdaRed.CDS.3245	100.0	100.0
sp|P46837|YHGF_ECOLI	W3110_lambdaRed.CDS.3890	100.0	100.0
sp|P46846|GNTX_ECOLI	W3110_lambdaRed.CDS.3884	100.0	100.0
sp|P46849|RTCA_ECOLI	W3110_lambdaRed.CDS.3878	100.0	100.0
sp|P46850|RTCB_ECOLI	W3110_lambdaRed.CDS.3877	100.0	100.0
sp|P46852|YHHW_ECOLI	W3110_lambdaRed.CDS.3859	100.0	100.0
sp|P46853|YHHX_ECOLI	W3110_lambdaRed.CDS.3858	100.0	100.0
