$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	MGF-01_control	MGF-01_control_cumulative_abundance
b1583	9	gene	0.014900302416	2.44094231041e-05	0.276663536141
b1588	9	gene	0.014900302416	5.6045975585e-06	0.276800832413
b1585	9	gene	0.014900302416	7.6982478875e-07	0.276755709829
b1591	9	gene	0.014900302416	0.0	0.27680643701
b1590	9	gene	0.014900302416	-0.0	0.27680643701
b1589	9	gene	0.014900302416	0.0	0.27680643701
b1587	9	gene	0.014900302416	-0.0	0.276800832413
PM0-5721	9	promoter	0.014900302416	-0.0	0.276800832413
PM0-10047	9	promoter	0.014900302416	-0.0	0.276663536141
b1582	9	gene	0.014900302416	-0.0	0.276663536141
b1579	9	gene	0.014900302416	-0.0	0.261906134594
b1578	9	gene	0.014900302416	-0.0	0.261906134594
b1577	9	gene	0.014900302416	-0.0	0.261906134594
b1576	9	gene	0.014900302416	-0.0	0.261906134594
b1575	9	gene	0.014900302416	-0.0	0.261906134594
PM0-9327	9	promoter	0.014900302416	-0.0	0.261906134594
b1574	9	gene	0.014900302416	-0.0	0.261906134594
b1241	8	gene	0.01215861664	0.0052925198493	0.220845681514
b1243	8	gene	0.01215861664	0.00529177457155	0.226138201364
b1251	8	gene	0.01215861664	0.000450405775542	0.232519983693
b1247	8	gene	0.01215861664	0.000369347040267	0.232085119137
b1246	8	gene	0.01215861664	0.000323964369443	0.231761154768
b1244	8	gene	0.01215861664	0.000166193110341	0.231429975935
b1245	8	gene	0.01215861664	0.000164985722066	0.231596169046
b1250	8	gene	0.01215861664	3.92347591715e-05	0.232480748934
b1238	8	gene	0.01215861664	3.390868647e-05	0.220811772828
b1248	8	gene	0.01215861664	1.34445291968e-05	0.232454466177
b1249	8	gene	0.01215861664	1.28382269618e-05	0.232467910707
PM0-10028	8	promoter	0.01215861664	-0.0	0.232970389468
b4595	8	gene	0.01215861664	-0.0	0.232480748934
PM1023	8	promoter	0.01215861664	-0.0	0.232480748934
PM00306	8	promoter	0.01215861664	-0.0	0.226138201364
b1242	8	gene	0.01215861664	-0.0	0.226138201364
PM00279	8	promoter	0.01215861664	-0.0	0.226138201364
b4573	8	gene	0.01215861664	-0.0	0.220845681514
b4015	7	gene	0.011872659087	0.00899040597759	0.913856954235
b4014	7	gene	0.011872659087	0.00287591926003	0.910981034975
b4016	7	gene	0.011872659087	6.33384980518e-06	0.922847360212
b4017	7	gene	0.011872659087	-0.0	0.922853694062
PM00001	7	promoter	0.011872659087	-0.0	0.910981034975
b0436	6	gene	0.011471494051	0.00901165534754	0.0838964426393
b0437	6	gene	0.011471494051	0.0010228367009	0.0929080979868
b0439	6	gene	0.011471494051	0.000753308651428	0.0946146280389
b0438	6	gene	0.011471494051	0.00068369335114	0.0939309346877
PM00511	6	promoter	0.011471494051	-0.0	0.0946146280389
sraA	6	gene	0.011471494051	-0.0	0.0946146280389
PM0-9696	6	promoter	0.011471494051	-0.0	0.0939309346877
PM00569	6	promoter	0.011471494051	-0.0	0.0929080979868
PM0-9744	6	promoter	0.011471494051	-0.0	0.0929080979868
PM00339	6	promoter	0.011471494051	-0.0	0.0929080979868
PM0-9980	6	promoter	0.011471494051	-0.0	0.0838964426393
b2465	5	gene	0.007345236996	0.0050589228785	0.398240026231
b2463	5	gene	0.007345236996	0.000573702589662	0.397187619488
b2468	5	gene	0.007345236996	0.000523637936035	0.403311470736
b2464	5	gene	0.007345236996	0.000478704153089	0.397761322078
b2431	5	gene	0.007345236996	0.000354271758587	0.39668413751
b2470	5	gene	0.007345236996	0.000190316352368	0.403835108672
b2439	5	gene	0.007345236996	4.22327023194e-05	0.397119265827
b2432	5	gene	0.007345236996	3.44310473472e-05	0.397038409269
b2434	5	gene	0.007345236996	2.89710687248e-05	0.397072840316
b2441	5	gene	0.007345236996	2.27273848761e-05	0.397164892104
b2467	5	gene	0.007345236996	1.25216266673e-05	0.40329894911
b2435	5	gene	0.007345236996	1.07431021937e-05	0.397101811385
b2436	5	gene	0.007345236996	6.71134020126e-06	0.397112554487
b2471	5	gene	0.007345236996	3.94948131763e-06	0.404025425025
b2440	5	gene	0.007345236996	3.39357382584e-06	0.39716149853
PM0-36248	5	promoter	0.007345236996	-0.0	0.404025425025
b4606	5	gene	0.007345236996	-0.0	0.404025425025
PM0-8401	5	promoter	0.007345236996	-0.0	0.403835108672
b2469	5	gene	0.007345236996	-0.0	0.403835108672
PM0-36247	5	promoter	0.007345236996	-0.0	0.403835108672
b2466	5	gene	0.007345236996	-0.0	0.40329894911
PM0-7682	5	promoter	0.007345236996	-0.0	0.398240026231
PM0-10095	5	promoter	0.007345236996	-0.0	0.397761322078
PM0-8523	5	promoter	0.007345236996	-0.0	0.397761322078
b2462	5	gene	0.007345236996	-0.0	0.397187619488
b2461	5	gene	0.007345236996	-0.0	0.397187619488
b2460	5	gene	0.007345236996	-0.0	0.397187619488
b2459	5	gene	0.007345236996	-0.0	0.397187619488
b2458	5	gene	0.007345236996	-0.0	0.397187619488
b2457	5	gene	0.007345236996	-0.0	0.397187619488
b2456	5	gene	0.007345236996	-0.0	0.397187619488
b2455	5	gene	0.007345236996	-0.0	0.397187619488
b2454	5	gene	0.007345236996	-0.0	0.397187619488
b2453	5	gene	0.007345236996	-0.0	0.397187619488
b2452	5	gene	0.007345236996	-0.0	0.397187619488
b2451	5	gene	0.007345236996	-0.0	0.397187619488
b2450	5	gene	0.007345236996	-0.0	0.397187619488
b2449	5	gene	0.007345236996	-0.0	0.397187619488
b2448	5	gene	0.007345236996	-0.0	0.397187619488
b2447	5	gene	0.007345236996	-0.0	0.397187619488
b2446	5	gene	0.007345236996	-0.0	0.397187619488
PM0-46124	5	promoter	0.007345236996	-0.0	0.397187619488
b2445	5	gene	0.007345236996	-0.0	0.397187619488
b2444	5	gene	0.007345236996	-0.0	0.397187619488
b2443	5	gene	0.007345236996	-0.0	0.397187619488
b2442	5	gene	0.007345236996	-0.0	0.397187619488
b2438	5	gene	0.007345236996	-0.0	0.397119265827
b2437	5	gene	0.007345236996	-0.0	0.397119265827
PM0-2922	5	promoter	0.007345236996	-0.0	0.397112554487
PM0-2921	5	promoter	0.007345236996	-0.0	0.397101811385
b2433	5	gene	0.007345236996	-0.0	0.397072840316
PM0-3684	5	promoter	0.007345236996	-0.0	0.397072840316
b3984	4	gene	0.007057637179	0.00466619060252	0.872597145952
b3983	4	gene	0.007057637179	0.00239144657636	0.870205699376
PM00496	4	promoter	0.007057637179	-0.0	0.870205699376
b0605	3	gene	0.007052538187	0.00594208870725	0.10781219041
b0606	3	gene	0.007052538187	0.000586199158624	0.113754279117
b0607	3	gene	0.007052538187	0.000372089926985	0.114340478276
b0611	3	gene	0.007052538187	0.000127044466747	0.114734356275
b0610	3	gene	0.007052538187	2.17880723447e-05	0.114712568203
b0604	3	gene	0.007052538187	3.32785424203e-06	0.107808862555
PM0-9991	3	promoter	0.007052538187	-0.0	0.114861400742
b0608	3	gene	0.007052538187	0.0	0.114712568203
PM0-9990	3	promoter	0.007052538187	-0.0	0.114712568203
PM-8821	3	promoter	0.007052538187	-0.0	0.113754279117
PM00102	3	promoter	0.007052538187	-0.0	0.10781219041
PM0-10408	3	promoter	0.007052538187	-0.0	0.10781219041
PM0-10406	3	promoter	0.007052538187	-0.0	0.10781219041
b0603	3	gene	0.007052538187	-0.0	0.107808862555
PM0-10368	3	promoter	0.007052538187	-0.0	0.107808862555
b0602	3	gene	0.007052538187	-0.0	0.107808862555
b0601	3	gene	0.007052538187	-0.0	0.107808862555
b0600	3	gene	0.007052538187	-0.0	0.107808862555
b1676	1	gene	0.006834257463	0.00461168022445	0.286632732688
b1677	1	gene	0.006834257463	0.00111501200645	0.291244412913
b1687	1	gene	0.006834257463	0.000333606736878	0.292821498626
b1678	1	gene	0.006834257463	0.000196481058678	0.292359424919
b1675	1	gene	0.006834257463	0.000115340233867	0.286517392454
b1664	1	gene	0.006834257463	0.000106095706068	0.2863208479
b1667	1	gene	0.006834257463	6.87156356691e-05	0.286426943606
b1682	1	gene	0.006834257463	6.11992702223e-05	0.292650756274
b1683	1	gene	0.006834257463	5.43151434632e-05	0.292711955544
b1681	1	gene	0.006834257463	4.76713113119e-05	0.292603084962
b1680	1	gene	0.006834257463	4.71789848293e-05	0.292555905978
b1686	1	gene	0.006834257463	3.46344156123e-05	0.29278686421
b1685	1	gene	0.006834257463	2.05935229487e-05	0.292766270687
b1674	1	gene	0.006834257463	1.48615124944e-05	0.286502530942
b1668	1	gene	0.006834257463	4.50094416245e-06	0.286495659241
b1673	1	gene	0.006834257463	2.37075618885e-06	0.286500160186
b4430	1	gene	0.006834257463	-0.0	0.292766270687
PM0-2801	1	promoter	0.006834257463	-0.0	0.292766270687
b1684	1	gene	0.006834257463	0.0	0.292766270687
b1679	1	gene	0.006834257463	-0.0	0.292555905978
PM0-8763	1	promoter	0.006834257463	-0.0	0.291244412913
PM00585	1	promoter	0.006834257463	-0.0	0.286632732688
PM0-10196	1	promoter	0.006834257463	-0.0	0.286517392454
b1672	1	gene	0.006834257463	-0.0	0.286500160186
b1671	1	gene	0.006834257463	-0.0	0.286500160186
b1670	1	gene	0.006834257463	-0.0	0.286500160186
b1669	1	gene	0.006834257463	-0.0	0.286500160186
b1666	1	gene	0.006834257463	-0.0	0.286426943606
b1665	1	gene	0.006834257463	-0.0	0.286426943606
PM00648	1	promoter	0.006834257463	-0.0	0.286426943606
PM0-9712	1	promoter	0.006834257463	-0.0	0.286426943606
b0014	2	gene	0.00666335614583	0.00627738399741	0.00380081568167
b0015	2	gene	0.00666335614583	0.000385972148444	0.0100781996791
PM00316	2	promoter	0.00666335614583	-0.0	0.00380081568167
b0013	2	gene	0.00666335614583	-0.0	0.00380081568167
b0011	2	gene	0.00666335614583	-0.0	0.00380081568167
