$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_16_cumate	Step_16_cumate_cumulative_abundance
PM0-36233	13	promoter	0.02132274418	-0.0	0.199394585194
PM0-36232	13	promoter	0.02132274418	-0.0	0.199394585194
b0959	13	gene	0.02132274418	-0.0	0.199371086638
PM0-46336	13	promoter	0.02132274418	-0.0	0.199371086638
PM00092	13	promoter	0.02132274418	-0.0	0.199371086638
b0958	13	gene	0.02132274418	-0.0	0.199371086638
PM00064	13	promoter	0.02132274418	-0.0	0.199371086638
PM0-10011	13	promoter	0.02132274418	-0.0	0.178618426407
b1241	12	gene	0.0206817527	0.0101267741529	0.231998275405
b1243	12	gene	0.0206817527	0.00884130922082	0.242125049558
b1251	12	gene	0.0206817527	0.000519208562692	0.252122089031
b1246	12	gene	0.0206817527	0.000387989827375	0.251320350767
b1247	12	gene	0.0206817527	0.000363522765503	0.251708340594
b1245	12	gene	0.0206817527	0.000226214135178	0.251094136631
b1244	12	gene	0.0206817527	0.000127777852721	0.250966358779
b1238	12	gene	0.0206817527	3.87305121047e-05	0.231959544893
b1250	12	gene	0.0206817527	3.09484245475e-05	0.252091140606
b1248	12	gene	0.0206817527	1.77118944907e-05	0.252071863359
b1249	12	gene	0.0206817527	1.56535217654e-06	0.252089575254
PM0-10028	12	promoter	0.0206817527	-0.0	0.252641297593
b4595	12	gene	0.0206817527	-0.0	0.252091140606
PM1023	12	promoter	0.0206817527	-0.0	0.252091140606
PM00306	12	promoter	0.0206817527	-0.0	0.242125049558
b1242	12	gene	0.0206817527	-0.0	0.242125049558
PM00279	12	promoter	0.0206817527	-0.0	0.242125049558
b4573	12	gene	0.0206817527	-0.0	0.231998275405
b1580	11	gene	0.017678088001	0.0103180211085	0.286337663176
b1581	11	gene	0.017678088001	0.0070780323539	0.296655684284
b1584	11	gene	0.017678088001	9.52230057208e-05	0.303789074976
b1588	11	gene	0.017678088001	6.28219858594e-05	0.303939855966
b1583	11	gene	0.017678088001	5.53583379867e-05	0.303733716638
b1586	11	gene	0.017678088001	5.29399718433e-05	0.303886915994
b1589	11	gene	0.017678088001	1.21379365644e-05	0.304002677951
b1585	11	gene	0.017678088001	2.61801202755e-06	0.303884297982
b1591	11	gene	0.017678088001	9.35288988158e-07	0.304014815888
b1590	11	gene	0.017678088001	-0.0	0.304014815888
b1587	11	gene	0.017678088001	-0.0	0.303939855966
PM0-5721	11	promoter	0.017678088001	-0.0	0.303939855966
PM0-10047	11	promoter	0.017678088001	-0.0	0.303733716638
b1582	11	gene	0.017678088001	-0.0	0.303733716638
b0605	10	gene	0.015445759082	0.0133224524504	0.112344110085
b0606	10	gene	0.015445759082	0.00172769689298	0.125666562536
b0607	10	gene	0.015445759082	0.000316917506075	0.127394259429
b0611	10	gene	0.015445759082	5.77977743991e-05	0.127729437054
b0610	10	gene	0.015445759082	1.82601195284e-05	0.127711176935
b0604	10	gene	0.015445759082	2.6343381248e-06	0.112341475747
b0612	10	gene	0.015445759082	-0.0	0.127787234829
PM0-9991	10	promoter	0.015445759082	-0.0	0.127787234829
b0608	10	gene	0.015445759082	0.0	0.127711176935
PM0-9990	10	promoter	0.015445759082	-0.0	0.127711176935
PM-8821	10	promoter	0.015445759082	-0.0	0.125666562536
PM00102	10	promoter	0.015445759082	-0.0	0.112344110085
PM0-10408	10	promoter	0.015445759082	-0.0	0.112344110085
PM0-10406	10	promoter	0.015445759082	-0.0	0.112344110085
b2414	9	gene	0.014118291363	0.0141055729857	0.40533859748
b2413	9	gene	0.014118291363	1.27183771309e-05	0.405325879102
PM0-10091	9	promoter	0.014118291363	-0.0	0.40533859748
b0436	8	gene	0.0136758048125	0.0102104466991	0.0856304563956
b0439	8	gene	0.0136758048125	0.00145336661134	0.0978528945967
b0437	8	gene	0.0136758048125	0.00128012038339	0.0958409030947
b0438	8	gene	0.0136758048125	0.000731871118633	0.0971210234781
PM00511	8	promoter	0.0136758048125	-0.0	0.0978528945967
sraA	8	gene	0.0136758048125	-0.0	0.0978528945967
PM0-9696	8	promoter	0.0136758048125	-0.0	0.0971210234781
PM00569	8	promoter	0.0136758048125	-0.0	0.0958409030947
PM0-9744	8	promoter	0.0136758048125	-0.0	0.0958409030947
PM00339	8	promoter	0.0136758048125	-0.0	0.0958409030947
PM0-9980	8	promoter	0.0136758048125	-0.0	0.0856304563956
b0014	7	gene	0.00831943408778	0.00770673858657	0.00451712683102
b0015	7	gene	0.00831943408778	0.000612695501239	0.0122238654176
b0018	7	gene	0.00831943408778	-0.0	0.0128365609188
b0016	7	gene	0.00831943408778	-0.0	0.0128365609188
PM00316	7	promoter	0.00831943408778	-0.0	0.00451712683102
b0013	7	gene	0.00831943408778	-0.0	0.00451712683102
b3984	6	gene	0.007754204615	0.00520696836893	0.888939154219
b3983	6	gene	0.007754204615	0.00254723624612	0.886391917973
PM00496	6	promoter	0.007754204615	-0.0	0.886391917973
b1676	5	gene	0.007370901971	0.00515809128298	0.313636608794
b1677	5	gene	0.007370901971	0.0014845444871	0.318794700077
b1687	5	gene	0.007370901971	0.000294035910344	0.320495413648
b1667	5	gene	0.007370901971	9.58255744178e-05	0.31348893152
b1664	5	gene	0.007370901971	7.03839331969e-05	0.313418547587
b1678	5	gene	0.007370901971	7.0211468407e-05	0.320279244564
b1686	5	gene	0.007370901971	4.38331895417e-05	0.320451580458
b1682	5	gene	0.007370901971	4.10891360962e-05	0.320386541624
b1675	5	gene	0.007370901971	3.09803560957e-05	0.313605628437
b1681	5	gene	0.007370901971	1.98807334185e-05	0.32036666089
b1674	5	gene	0.007370901971	1.77132176765e-05	0.31358791522
b1680	5	gene	0.007370901971	1.72048580348e-05	0.320349456032
b1683	5	gene	0.007370901971	1.49751826925e-05	0.32042763076
b1685	5	gene	0.007370901971	8.97451583179e-06	0.320442605942
b1668	5	gene	0.007370901971	2.02469705884e-06	0.313584757094
b1673	5	gene	0.007370901971	1.13342856303e-06	0.313586781791
b4430	5	gene	0.007370901971	-0.0	0.320442605942
PM0-2801	5	promoter	0.007370901971	-0.0	0.320442605942
b1684	5	gene	0.007370901971	0.0	0.320442605942
b1679	5	gene	0.007370901971	-0.0	0.320349456032
PM0-8763	5	promoter	0.007370901971	-0.0	0.318794700077
PM00585	5	promoter	0.007370901971	-0.0	0.313636608794
PM0-10196	5	promoter	0.007370901971	-0.0	0.313605628437
b1672	5	gene	0.007370901971	-0.0	0.313586781791
b1671	5	gene	0.007370901971	-0.0	0.313586781791
b1670	5	gene	0.007370901971	-0.0	0.313586781791
b1669	5	gene	0.007370901971	-0.0	0.313586781791
b1666	5	gene	0.007370901971	-0.0	0.31348893152
b1665	5	gene	0.007370901971	-0.0	0.31348893152
PM00648	5	promoter	0.007370901971	-0.0	0.31348893152
PM0-9712	5	promoter	0.007370901971	-0.0	0.31348893152
b2296	4	gene	0.006882002061	0.00347531370331	0.392277952137
b2297	4	gene	0.006882002061	0.0024778910879	0.39575326584
b2294	4	gene	0.006882002061	0.000357196964091	0.391918668713
b2303	4	gene	0.006882002061	0.000127270627893	0.398404804269
b2300	4	gene	0.006882002061	0.000126605315745	0.398275037475
b2290	4	gene	0.006882002061	0.000101146407226	0.391801432748
b2309	4	gene	0.006882002061	9.98492806165e-05	0.398572021035
b2299	4	gene	0.006882002061	3.84450957325e-05	0.398236592379
b2304	4	gene	0.006882002061	2.67352455515e-05	0.398532074897
b2306	4	gene	0.006882002061	1.32108932441e-05	0.398558810142
b2310	4	gene	0.006882002061	1.1564493283e-05	0.398671870316
b2293	4	gene	0.006882002061	1.10180327393e-05	0.39190765068
b2298	4	gene	0.006882002061	5.43545132498e-06	0.398231156928
b2291	4	gene	0.006882002061	5.07152512684e-06	0.391902579155
b2301	4	gene	0.006882002061	3.16147809884e-06	0.398401642791
b2295	4	gene	0.006882002061	2.08645921742e-06	0.392275865677
PM0-3781	4	promoter	0.006882002061	-0.0	0.398683434809
PM0-9577	4	promoter	0.006882002061	-0.0	0.398671870316
b2308	4	gene	0.006882002061	-0.0	0.398572021035
b2307	4	gene	0.006882002061	-0.0	0.398572021035
b2305	4	gene	0.006882002061	-0.0	0.398558810142
b2302	4	gene	0.006882002061	-0.0	0.398404804269
PM00524	4	promoter	0.006882002061	-0.0	0.392277952137
PM0-46328	4	promoter	0.006882002061	-0.0	0.392275865677
b2292	4	gene	0.006882002061	-0.0	0.39190765068
PM0-45323	4	promoter	0.006882002061	-0.0	0.391902579155
PM0-45322	4	promoter	0.006882002061	-0.0	0.391801432748
b3871	3	gene	0.006218344032	0.00308558156897	0.869222506074
b3870	3	gene	0.006218344032	0.00261450460431	0.86660800147
b3893	3	gene	0.006218344032	0.00021403556583	0.872407326968
b3895	3	gene	0.006218344032	0.000158177171018	0.87266816833
b3891	3	gene	0.006218344032	9.68389750317e-05	0.872310487993
b3894	3	gene	0.006218344032	4.68057962772e-05	0.872621362534
b3878	3	gene	0.006218344032	1.51802434999e-06	0.872308087643
b3885	3	gene	0.006218344032	6.39721597933e-07	0.87230973779
b3884	3	gene	0.006218344032	1.32122246077e-07	0.872309605668
b3887	3	gene	0.006218344032	1.10481819922e-07	0.872310377512
b3897	3	gene	0.006218344032	-0.0	0.872826345502
b3896	3	gene	0.006218344032	-0.0	0.872826345502
b3892	3	gene	0.006218344032	-0.0	0.872407326968
b3890	3	gene	0.006218344032	-0.0	0.872310487993
b3889	3	gene	0.006218344032	-0.0	0.872310487993
b3888	3	gene	0.006218344032	0.0	0.872310487993
b3886	3	gene	0.006218344032	-0.0	0.872310377512
PM0-10169	3	promoter	0.006218344032	-0.0	0.87230973779
b3883	3	gene	0.006218344032	-0.0	0.872309605668
b3882	3	gene	0.006218344032	-0.0	0.872309605668
b3881	3	gene	0.006218344032	-0.0	0.872309605668
b3880	3	gene	0.006218344032	-0.0	0.872309605668
b3879	3	gene	0.006218344032	-0.0	0.872309605668
b3877	3	gene	0.006218344032	-0.0	0.872308087643
b3876	3	gene	0.006218344032	-0.0	0.872308087643
b3875	3	gene	0.006218344032	-0.0	0.872308087643
b3874	3	gene	0.006218344032	-0.0	0.872308087643
b3873	3	gene	0.006218344032	-0.0	0.872308087643
b3872	3	gene	0.006218344032	-0.0	0.872308087643
PM00034	3	promoter	0.006218344032	-0.0	0.869222506074
b2465	1	gene	0.006181416508	0.00438700876937	0.427591803046
b2468	1	gene	0.006181416508	0.000765102458079	0.431988538994
b2463	1	gene	0.006181416508	0.000355172545962	0.427107871101
b2431	1	gene	0.006181416508	0.000287334184134	0.426619128393
b2464	1	gene	0.006181416508	0.000128759398723	0.427463043647
b2439	1	gene	0.006181416508	6.4818429873e-05	0.42699139805
b2441	1	gene	0.006181416508	4.19201255303e-05	0.427065950976
b2470	1	gene	0.006181416508	3.48330689977e-05	0.432753641453
b2432	1	gene	0.006181416508	2.99194330267e-05	0.426906462577
b2434	1	gene	0.006181416508	2.21228081138e-05	0.42693638201
b2435	1	gene	0.006181416508	1.85041571651e-05	0.426958504818
b2436	1	gene	0.006181416508	1.43890751724e-05	0.426977008975
b2471	1	gene	0.006181416508	1.20703791838e-05	0.432788474522
b2440	1	gene	0.006181416508	9.73449579062e-06	0.42705621648
b2467	1	gene	0.006181416508	9.72717910249e-06	0.431978811815
PM0-36248	1	promoter	0.006181416508	-0.0	0.432788474522
b4606	1	gene	0.006181416508	-0.0	0.432788474522
PM0-8401	1	promoter	0.006181416508	-0.0	0.432753641453
b2469	1	gene	0.006181416508	-0.0	0.432753641453
PM0-36247	1	promoter	0.006181416508	-0.0	0.432753641453
b2466	1	gene	0.006181416508	-0.0	0.431978811815
PM0-7682	1	promoter	0.006181416508	-0.0	0.427591803046
PM0-10095	1	promoter	0.006181416508	-0.0	0.427463043647
PM0-8523	1	promoter	0.006181416508	-0.0	0.427463043647
b2462	1	gene	0.006181416508	-0.0	0.427107871101
b2461	1	gene	0.006181416508	-0.0	0.427107871101
b2460	1	gene	0.006181416508	-0.0	0.427107871101
b2459	1	gene	0.006181416508	-0.0	0.427107871101
b2458	1	gene	0.006181416508	-0.0	0.427107871101
b2457	1	gene	0.006181416508	-0.0	0.427107871101
b2456	1	gene	0.006181416508	-0.0	0.427107871101
b2455	1	gene	0.006181416508	-0.0	0.427107871101
b2454	1	gene	0.006181416508	-0.0	0.427107871101
b2453	1	gene	0.006181416508	-0.0	0.427107871101
b2452	1	gene	0.006181416508	-0.0	0.427107871101
b2451	1	gene	0.006181416508	-0.0	0.427107871101
b2450	1	gene	0.006181416508	-0.0	0.427107871101
b2449	1	gene	0.006181416508	-0.0	0.427107871101
b2448	1	gene	0.006181416508	-0.0	0.427107871101
b2447	1	gene	0.006181416508	-0.0	0.427107871101
b2446	1	gene	0.006181416508	-0.0	0.427107871101
PM0-46124	1	promoter	0.006181416508	-0.0	0.427107871101
b2445	1	gene	0.006181416508	-0.0	0.427107871101
b2444	1	gene	0.006181416508	-0.0	0.427107871101
b2443	1	gene	0.006181416508	-0.0	0.427107871101
b2442	1	gene	0.006181416508	-0.0	0.427107871101
b2438	1	gene	0.006181416508	-0.0	0.42699139805
b2437	1	gene	0.006181416508	-0.0	0.42699139805
PM0-2922	1	promoter	0.006181416508	-0.0	0.426977008975
PM0-2921	1	promoter	0.006181416508	-0.0	0.426958504818
b2433	1	gene	0.006181416508	-0.0	0.42693638201
PM0-3684	1	promoter	0.006181416508	-0.0	0.42693638201
b2039	2	gene	9.704675e-06	9.70467549358e-06	0.376623824882
