$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	MGF-02_cumate	MGF-02_cumate_cumulative_abundance
PM00064	9	promoter	0.018694728579	-0.0	0.196017559403
PM0-10011	9	promoter	0.018694728579	-0.0	0.177942366008
b1580	8	gene	0.017339732495	0.0102275457927	0.30092306823
b1581	8	gene	0.017339732495	0.00685210876316	0.311150614023
b1584	8	gene	0.017339732495	0.00013652816142	0.318063242311
b1583	8	gene	0.017339732495	6.05195253702e-05	0.318002722786
b1586	8	gene	0.017339732495	3.70366933247e-05	0.318201495872
b1588	8	gene	0.017339732495	1.70847259818e-05	0.318238532565
b1589	8	gene	0.017339732495	6.55296906179e-06	0.318255617291
b1585	8	gene	0.017339732495	1.72539933214e-06	0.318199770473
b1591	8	gene	0.017339732495	6.30464590837e-07	0.31826217026
b1592	8	gene	0.017339732495	-0.0	0.318262800725
b1590	8	gene	0.017339732495	-0.0	0.31826217026
b1587	8	gene	0.017339732495	-0.0	0.318238532565
PM0-5721	8	promoter	0.017339732495	-0.0	0.318238532565
PM0-10047	8	promoter	0.017339732495	-0.0	0.318002722786
b1582	8	gene	0.017339732495	-0.0	0.318002722786
b1579	8	gene	0.017339732495	-0.0	0.30092306823
b1578	8	gene	0.017339732495	-0.0	0.30092306823
b1577	8	gene	0.017339732495	-0.0	0.30092306823
b1576	8	gene	0.017339732495	-0.0	0.30092306823
b1575	8	gene	0.017339732495	-0.0	0.30092306823
PM0-9327	8	promoter	0.017339732495	-0.0	0.30092306823
b1574	8	gene	0.017339732495	-0.0	0.30092306823
b2414	7	gene	0.015550297773	0.0155368695088	0.416800815059
b2413	7	gene	0.015550297773	1.34282639955e-05	0.416787386795
PM0-10091	7	promoter	0.015550297773	-0.0	0.416800815059
b4382	6	gene	0.01493381966	0.00406752368887	0.988233963055
b4381	6	gene	0.01493381966	0.00370166567529	0.984532297379
b4384	6	gene	0.01493381966	0.00342489706658	0.99437136783
b4383	6	gene	0.01493381966	0.00206988108611	0.992301486743
b4376	6	gene	0.01493381966	0.000822203185197	0.983699560948
b4375	6	gene	0.01493381966	0.000686823945077	0.983012737003
b4371	6	gene	0.01493381966	0.000109130970344	0.982869689156
b4373	6	gene	0.01493381966	1.85570038869e-05	0.982978820126
b4374	6	gene	0.01493381966	1.53598734356e-05	0.98299737713
b4380	6	gene	0.01493381966	9.55604431039e-06	0.984522741335
b4386	6	gene	0.01493381966	4.136820892e-06	0.997798337179
b4385	6	gene	0.01493381966	2.07228284753e-06	0.997796264896
b4387	6	gene	0.01493381966	1.03481634126e-06	0.997802474
b4378	6	gene	0.01493381966	9.77201552569e-07	0.984521764133
PM00508	6	promoter	0.01493381966	-0.0	0.997803508816
PM00507	6	promoter	0.01493381966	-0.0	0.992301486743
PM00024	6	promoter	0.01493381966	-0.0	0.984532297379
b4379	6	gene	0.01493381966	0.0	0.984522741335
b4377	6	gene	0.01493381966	0.0	0.984521764133
b4568	6	gene	0.01493381966	-0.0	0.984521764133
PM00529	6	promoter	0.01493381966	-0.0	0.983699560948
b4372	6	gene	0.01493381966	0.0	0.982978820126
PM0-10195	6	promoter	0.01493381966	-0.0	0.982978820126
PM00676	6	promoter	0.01493381966	-0.0	0.982869689156
b4370	6	gene	0.01493381966	-0.0	0.982869689156
b4369	6	gene	0.01493381966	-0.0	0.982869689156
b4368	6	gene	0.01493381966	-0.0	0.982869689156
b0605	5	gene	0.014073008	0.0124449862001	0.111808647336
b0606	5	gene	0.014073008	0.00161410315405	0.124253633536
b0607	5	gene	0.014073008	6.8133086971e-06	0.12586773669
b0610	5	gene	0.014073008	3.7362767251e-06	0.125874549999
b0604	5	gene	0.014073008	2.770011526e-06	0.111805877325
b0611	5	gene	0.014073008	5.99048733684e-07	0.125878286276
PM0-9991	5	promoter	0.014073008	-0.0	0.125878885325
b0608	5	gene	0.014073008	0.0	0.125874549999
PM0-9990	5	promoter	0.014073008	-0.0	0.125874549999
PM-8821	5	promoter	0.014073008	-0.0	0.124253633536
PM00102	5	promoter	0.014073008	-0.0	0.111808647336
PM0-10408	5	promoter	0.014073008	-0.0	0.111808647336
PM0-10406	5	promoter	0.014073008	-0.0	0.111808647336
b0603	5	gene	0.014073008	-0.0	0.111805877325
PM0-10368	5	promoter	0.014073008	-0.0	0.111805877325
b0602	5	gene	0.014073008	-0.0	0.111805877325
b0436	4	gene	0.0133610605269	0.0102156604658	0.0869341148831
b0439	4	gene	0.0133610605269	0.00135506511065	0.0989401102989
b0437	4	gene	0.0133610605269	0.00106631476919	0.097149775349
b0438	4	gene	0.0133610605269	0.000724020180785	0.0982160901181
PM00511	4	promoter	0.0133610605269	-0.0	0.0989401102989
sraA	4	gene	0.0133610605269	-0.0	0.0989401102989
PM0-9696	4	promoter	0.0133610605269	-0.0	0.0982160901181
PM00569	4	promoter	0.0133610605269	-0.0	0.097149775349
PM0-9744	4	promoter	0.0133610605269	-0.0	0.097149775349
PM00339	4	promoter	0.0133610605269	-0.0	0.097149775349
PM0-9980	4	promoter	0.0133610605269	-0.0	0.0869341148831
b0014	3	gene	0.010063282263	0.00951641103396	0.00433751833944
b0015	3	gene	0.010063282263	0.00054687122899	0.0138539293734
b0016	3	gene	0.010063282263	-0.0	0.0144008006024
PM00316	3	promoter	0.010063282263	-0.0	0.00433751833944
b0013	3	gene	0.010063282263	-0.0	0.00433751833944
b1676	2	gene	0.008170034043	0.00509530044286	0.327674390762
b1677	2	gene	0.008170034043	0.00178510384981	0.332769691204
b1687	2	gene	0.008170034043	0.000689060233158	0.334939878169
b1667	2	gene	0.008170034043	0.000101348366971	0.327525384553
b1682	2	gene	0.008170034043	9.45835389341e-05	0.334710468188
b1686	2	gene	0.008170034043	8.93869891348e-05	0.33485049118
b1678	2	gene	0.008170034043	7.26272050758e-05	0.334554795054
b1664	2	gene	0.008170034043	5.96226256257e-05	0.327465761928
b1681	2	gene	0.008170034043	4.44770308596e-05	0.334665991157
b1680	2	gene	0.008170034043	3.85688973289e-05	0.334627422259
b1683	2	gene	0.008170034043	3.75545578654e-05	0.334805051726
b1675	2	gene	0.008170034043	3.16280737572e-05	0.327642762688
b1674	2	gene	0.008170034043	9.38807952495e-06	0.327633374608
b1685	2	gene	0.008170034043	6.8958100059e-06	0.33484359537
b1688	2	gene	0.008170034043	6.85756919561e-06	0.335628938402
b1668	2	gene	0.008170034043	6.50429251438e-06	0.32762673292
b1684	2	gene	0.008170034043	9.89085633633e-07	0.334842606284
b1673	2	gene	0.008170034043	1.37395477641e-07	0.327633237213
b4430	2	gene	0.008170034043	-0.0	0.33484359537
PM0-2801	2	promoter	0.008170034043	-0.0	0.33484359537
b1679	2	gene	0.008170034043	-0.0	0.334627422259
PM0-8763	2	promoter	0.008170034043	-0.0	0.332769691204
PM00585	2	promoter	0.008170034043	-0.0	0.327674390762
PM0-10196	2	promoter	0.008170034043	-0.0	0.327642762688
b1672	2	gene	0.008170034043	-0.0	0.327633237213
b1671	2	gene	0.008170034043	-0.0	0.327633237213
b1670	2	gene	0.008170034043	-0.0	0.327633237213
b1669	2	gene	0.008170034043	-0.0	0.327633237213
b1666	2	gene	0.008170034043	-0.0	0.327525384553
b1665	2	gene	0.008170034043	-0.0	0.327525384553
PM00648	2	promoter	0.008170034043	-0.0	0.327525384553
PM0-9712	2	promoter	0.008170034043	-0.0	0.327525384553
b3984	1	gene	0.007282978277	0.00488831778881	0.88508403779
b3983	1	gene	0.007282978277	0.00239466048821	0.882689377302
PM00496	1	promoter	0.007282978277	-0.0	0.882689377302
