$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	A14.07036	cumulativeMass	start	end	strand	W3110-startbase	W3110-endbase	W3110-strand
b0600	6	gene	2.29285010737	0.00396964657241	24.2890296641	633586	634746	1	632809.0	633969.0	+
b0611	6	gene	2.29285010737	0.0024775884634	26.5393075146	644197	645003	-1	643420.0	644226.0	-
PM0-10377	6	promoter	2.29285010737	4.59165577905e-07	26.5417887764	651857	652039	-1			
PM0-9889	6	promoter	2.29285010737	4.59165577905e-07	26.5417892355	651857	651952	-1			
b0618	6	gene	2.29285010737	4.59165577905e-07	26.5417883172	650798	651856	-1	650021.0	651079.0	-
b0617	6	gene	2.29285010737	4.59165577905e-07	26.541787858	650487	650783	-1	649710.0	650006.0	-
b0616	6	gene	2.29285010737	4.59165577905e-07	26.5417873989	649582	650490	-1	648805.0	649713.0	-
b0615	6	gene	2.29285010737	4.59165577905e-07	26.5417869397	648039	649571	-1	647262.0	648794.0	-
b0614	6	gene	2.29285010737	4.59165577905e-07	26.5417864805	647484	648035	-1	646707.0	647258.0	-
b0613	6	gene	2.29285010737	4.59165577905e-07	26.5417860214	646631	647509	-1	645854.0	646732.0	-
b0612	6	gene	2.29285010737	4.59165577905e-07	26.5417855622	645117	646580	-1	644340.0	645803.0	-
PM0-9991	6	promoter	2.29285010737	4.59165577905e-07	26.541785103	645004	645034	-1			
b0610	6	gene	2.29285010737	4.59165577905e-07	26.5393070554	643557	643967	-1	642780.0	643190.0	-
b0608	6	gene	2.29285010737	4.59165577905e-07	26.5393065962	642088	643326	1	641311.0	642549.0	+
PM0-9990	6	promoter	2.29285010737	4.59165577905e-07	26.5393061371	641868	641903	-1			
b0607	6	gene	2.29285010737	4.59165577905e-07	26.5393056779	641439	641867	-1	640662.0	641090.0	-
PM-8821	6	promoter	2.29285010737	4.59165577905e-07	26.3123755554	639002	639752	1			
PM00102	6	promoter	2.29285010737	4.59165577905e-07	24.2990358371	638921	638944	1			
PM0-10408	6	promoter	2.29285010737	4.59165577905e-07	24.299035378	638693	638944	1			
PM0-10406	6	promoter	2.29285010737	4.59165577905e-07	24.2990349188	638574	638800	-1			
b0603	6	gene	2.29285010737	4.59165577905e-07	24.2930006882	636716	637618	-1	635939.0	636841.0	-
PM0-10368	6	promoter	2.29285010737	4.59165577905e-07	24.293000229	636570	636686	-1			
b0602	6	gene	2.29285010737	4.59165577905e-07	24.2929997699	635349	636569	-1	634572.0	635792.0	-
b0601	6	gene	2.29285010737	4.59165577905e-07	24.2929993107	634747	635376	-1	633970.0	634599.0	-
b0599	6	gene	2.29285010737	4.59165577905e-07	24.289029205	632389	633477	-1	631612.0	632700.0	-
b4512	6	gene	2.29285010737	4.59165577905e-07	24.2890287458	632182	632379	1	631405.0	631602.0	+
PM0-7163	6	promoter	2.29285010737	4.59165577905e-07	24.2489395873	629855	629893	1			
b2215	5	gene	2.25128345572	2.25128070072	67.8755591381	2311646	2312749	-1	2314980.0	2316083.0	-
b2216	5	gene	2.25128345572	4.59165577905e-07	70.1268416755	2313488	2316160	1	2316822.0	2319494.0	+
PM0-36140	5	promoter	2.25128345572	4.59165577905e-07	70.1268412163	2313452	2313487	1			
PM00401	5	promoter	2.25128345572	4.59165577905e-07	70.126840298	2313084	2313083	1			
b4439	5	gene	2.25128345572	4.59165577905e-07	70.1268407571	2313084	2313176	1			
PM00630	5	promoter	2.25128345572	4.59165577905e-07	70.1268398388	2312750	2312887	-1			
b2214	5	gene	2.25128345572	4.59165577905e-07	67.8755586789	2310479	2311534	-1	2313813.0	2314868.0	-
b0014	4	gene	2.16137739411	2.11444145515	0.654045715297	12163	14079	1	12163.0	14079.0	+
b0015	4	gene	2.16137739411	0.046931806474	2.76848717045	14168	15298	1	14168.0	15298.0	+
b0019	4	gene	2.16137739411	4.59165577905e-07	2.81542081358	17489	18655	1	17489.0	18655.0	+
b4413	4	gene	2.16137739411	4.59165577905e-07	2.81542035442	16952	17006	1			
b0018	4	gene	2.16137739411	4.59165577905e-07	2.81541943609	16751	16960	-1			
b4412	4	gene	2.16137739411	4.59165577905e-07	2.81541989525	16751	16903	-1			
b0016	4	gene	2.16137739411	4.59165577905e-07	2.81541897692	15445	16557	1			
PM00316	4	promoter	2.16137739411	4.59165577905e-07	0.654045256131	12048	12162	1			
b0013	4	gene	2.16137739411	4.59165577905e-07	0.654044796966	11382	11786	-1	11382.0	11786.0	-
b0011	4	gene	2.16137739411	4.59165577905e-07	0.6540443378	10643	11356	-1	10643.0	11356.0	-
b0010	4	gene	2.16137739411	4.59165577905e-07	0.654043878635	9928	10494	-1	9928.0	10494.0	-
b3460	3	gene	1.68793052141	1.48689548358	149.204923068	3598555	3599658	-1	4040757.0	4041860.0	+
b3458	3	gene	1.68793052141	0.174767562229	149.030154587	3596451	3597560	-1	4042855.0	4043964.0	+
b3449	3	gene	1.68793052141	0.00898395163656	149.003894459	3587370	3588113	-1	4052302.0	4053045.0	+
b3453	3	gene	1.68793052141	0.00884652964209	149.014760031	3591009	3592325	-1	4048090.0	4049406.0	+
b3456	3	gene	1.68793052141	0.00654618984527	149.023607938	3594203	3595480	-1	4044935.0	4046212.0	+
b3450	3	gene	1.68793052141	0.00188070283563	149.01287841	3588110	3589180	-1	4051235.0	4052305.0	+
PM00256	3	promoter	1.68793052141	4.59165577905e-07	150.691818552	3599659	3599762	-1			
b3459	3	gene	1.68793052141	4.59165577905e-07	149.204922609	3597984	3598367	1	4042048.0	4042431.0	-
PM00257	3	promoter	1.68793052141	4.59165577905e-07	149.20492215	3597561	3597755	-1			
b3457	3	gene	1.68793052141	4.59165577905e-07	149.030154128	3595477	3596403	-1	4044012.0	4044938.0	+
b3455	3	gene	1.68793052141	4.59165577905e-07	149.023607479	3593439	3594206	-1	4046209.0	4046976.0	+
b3454	3	gene	1.68793052141	4.59165577905e-07	149.02360702	3592724	3593437	-1	4046978.0	4047691.0	+
PM00449	3	promoter	1.68793052141	4.59165577905e-07	149.023606561	3592326	3592426	-1			
b3452	3	gene	1.68793052141	4.59165577905e-07	149.014759572	3590024	3590911	-1	4049504.0	4050391.0	+
b3451	3	gene	1.68793052141	4.59165577905e-07	149.014759113	3589182	3590027	-1	4050388.0	4051233.0	+
b3448	3	gene	1.68793052141	4.59165577905e-07	149.003893999	3586943	3587383	1	4053032.0	4053472.0	-
b3447	3	gene	1.68793052141	4.59165577905e-07	149.00389354	3585081	3586823	-1	4053592.0	4055334.0	+
b3446	3	gene	1.68793052141	4.59165577905e-07	149.003893081	3584759	3585043	1	4055372.0	4055656.0	-
b3445	3	gene	1.68793052141	4.59165577905e-07	149.003892622	3583677	3584180	1			
b3444	3	gene	1.68793052141	4.59165577905e-07	149.003892163	3583483	3583758	1			
b3443	3	gene	1.68793052141	4.59165577905e-07	149.003891704	3583038	3584309	1			
b3442	3	gene	1.68793052141	4.59165577905e-07	149.003891244	3581863	3583041	1	4057374.0	4058552.0	-
b3441	3	gene	1.68793052141	4.59165577905e-07	149.003890785	3581138	3581626	1	4058789.0	4059277.0	-
PM0-8042	3	promoter	1.68793052141	4.59165577905e-07	149.003890326	3581111	3581137	1			
PM0-3601	3	promoter	1.68793052141	4.59165577905e-07	149.003889867	3581017	3581016	-1			
b4451	3	gene	1.68793052141	4.59165577905e-07	149.003889408	3580927	3581016	-1			
b3440	3	gene	1.68793052141	4.59165577905e-07	149.003888949	3579768	3580805	-1	4059610.0	4060647.0	+
b3439	3	gene	1.68793052141	4.59165577905e-07	149.003888489	3578950	3579645	-1	4060770.0	4061465.0	+
b0929	2	gene	1.66565829362	1.66565783446	39.0063421783	985894	986982	-1	986316.0	987404.0	-
PM00066	2	promoter	1.66565829362	4.59165577905e-07	40.6720000127	986983	987092	-1			
b0197	1	gene	1.54524943381	1.44076596897	14.7422055452	220113	220928	-1	220113.0	220928.0	-
b0199	1	gene	1.54524943381	0.0658412911778	16.20333567	221614	222645	-1	221614.0	222645.0	-
b0198	1	gene	1.54524943381	0.0203641558361	16.1829715142	220968	221621	-1	220968.0	221621.0	-
b0196	1	gene	1.54524943381	0.0182770994904	14.7239284457	219591	219995	-1	219591.0	219995.0	-
PM0-2482	1	promoter	1.54524943381	4.59165577905e-07	16.2691769612	222646	222714	-1			
b0195	1	gene	1.54524943381	4.59165577905e-07	14.7239279865	218887	219594	-1	218887.0	219594.0	-
